eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,2050782,2050798,18,1918.2,1044.5,2042.4,1139.2,1.6,116
L,2050932,2051074,144,2115.3,1193.3,1904.0,1178.5,1.8,476
L,2051260,2051284,26,1890.4,1125.1,1627.6,1162.9,2.3,113
L,2051618,2051638,22,1543.2,1156.9,1714.6,1142.6,1.5,86
L,2051850,2051922,74,1770.3,1132.8,1604.2,2149.7,12.0,231
L,2052034,2052076,44,1618.9,2276.3,1503.2,2740.0,5.2,156
L,2052200,2052234,36,1342.8,2974.0,1351.0,3045.6,0.8,3270
L,2052260,2052302,44,1342.8,2974.0,1351.0,3045.6,0.8,0
L,2052448,2053942,1496,-3221.3,1390.3,1844.3,948.5,34.3,476
L,2054096,2054118,24,1884.2,924.2,1627.6,1074.3,2.9,165
L,2054442,2054464,24,1654.1,1109.4,1780.9,922.6,2.5,141
L,2054688,2054700,14,1861.6,887.7,1883.0,950.4,0.8,68
L,2055442,2055474,34,1890.1,975.2,2285.1,936.7,3.5,132
L,2055662,2055696,36,2462.2,916.1,2933.2,925.1,4.1,135
L,2055972,2056026,56,3064.0,907.6,2164.7,1088.6,8.0,188
L,2056348,2056362,16,2030.6,1105.1,1934.8,1062.9,1.0,78
L,2059310,2059458,150,1929.0,1111.9,1971.6,1096.6,0.4,388
L,2059672,2059718,48,1963.7,1045.0,2786.6,1208.6,7.4,198
L,2060318,2060516,200,2881.9,1262.4,2964.4,1227.1,0.8,425
L,2060570,2060822,254,2939.7,1226.2,2988.0,1152.4,1.0,455
L,2060846,2060992,148,2983.9,1126.8,2931.0,1191.7,0.9,491
L,2061160,2061172,14,2912.5,1205.1,2851.6,1261.9,0.9,78
L,2061604,2061614,12,2867.8,1221.6,2888.0,1179.8,0.5,54
L,2061964,2062006,44,2876.8,1135.8,2050.6,1036.2,7.2,215
L,2062664,2062772,110,1937.0,1071.9,2117.1,2656.0,18.2,237
L,2062888,2063174,288,2255.5,3025.8,2190.2,3248.2,2.3,1787
L,2063460,2063486,28,2044.9,3223.2,2141.9,3235.2,0.8,256
L,2063510,2063648,140,1975.1,1648.3,1901.3,1071.2,7.0,419
L,2068816,2068942,128,1943.6,1085.0,1930.7,1140.9,0.7,505
L,2080330,2080492,164,1898.5,1088.8,1879.6,1129.7,0.5,508
L,2089214,2089356,144,1906.3,1082.9,1866.9,1159.4,1.0,498
L,2093552,2093574,24,1958.2,1045.2,2161.7,1075.4,1.8,98
L,2093664,2093692,30,2281.8,1091.5,2616.7,1193.9,3.2,132
L,2094206,2094388,184,2805.4,1259.6,1934.7,1088.2,7.8,323
L,2106628,2106788,162,1886.9,1150.5,1885.3,1154.9,0.1,518
L,2116262,2116428,168,1877.8,1051.9,1913.8,1151.5,1.2,506
L,2122674,2122688,16,1986.7,1064.1,2065.8,1090.8,0.8,59
