eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,1778284,1778500,220,1897.4,1050.2,1715.1,967.5,2.0,1845
L,1778672,1778704,36,1720.7,1001.8,1149.6,1009.9,5.2,195
L,1778952,1779008,60,1208.6,1122.7,2617.6,1057.8,12.9,299
L,1779084,1779104,24,2547.5,1071.3,2813.8,1090.9,2.5,144
L,1779332,1779360,32,2868.3,1141.1,2298.8,1359.5,5.9,292
L,1779516,1779548,36,2355.0,1323.4,1706.3,1257.2,6.0,245
L,1779868,1779892,28,1761.7,1251.8,1938.7,1031.4,3.2,152
L,1780732,1780944,216,1901.3,921.0,1920.8,984.8,0.8,1825
L,1782312,1782540,232,1934.4,921.8,1913.5,1141.8,2.8,1588
L,1789700,1790320,624,1907.6,1029.3,1888.6,574.2,5.7,1848
L,1790760,1790772,16,1951.0,563.4,2033.9,575.5,0.8,65
L,1791120,1791308,192,2125.2,635.4,2060.7,630.6,0.6,2199
L,1792124,1792164,44,2082.9,418.1,1905.5,1006.9,7.5,262
L,1792980,1793168,192,1914.5,1119.6,1933.8,1109.9,0.2,1556
L,1793904,1793940,40,1913.0,1035.3,1887.5,561.8,5.9,219
L,1794284,1794316,36,1927.9,782.5,1992.1,1272.4,6.2,246
L,1794720,1794760,44,1961.2,1154.9,1986.7,637.0,6.5,213
L,1795228,1795240,16,2004.1,625.8,2061.1,595.6,0.6,54
L,1795512,1795532,24,2063.9,548.4,1801.0,521.1,2.4,133
L,1795728,1795764,40,1779.2,536.5,1844.6,936.5,5.0,170
L,1795832,1796880,1052,1857.9,1016.9,1871.1,870.9,1.9,1494
L,1797540,1797568,32,1882.8,987.1,1412.4,1002.7,4.3,187
L,1797736,1797772,40,1466.6,1185.0,2047.5,566.4,9.4,359
L,1798052,1798088,40,2023.2,719.3,2465.8,1271.1,8.1,306
L,1798288,1798316,32,2397.3,1191.0,1883.4,1282.4,4.9,218
L,1798572,1798600,32,1907.0,1258.2,1536.3,1260.1,3.4,149
L,1798776,1798804,32,1574.3,1218.5,2107.1,1170.6,4.9,237
L,1798936,1801580,2648,2120.8,1126.4,1923.4,1128.3,1.8,1391
L,1801936,1801960,28,1929.4,1039.7,1478.0,955.0,4.2,214
L,1802136,1802172,40,1494.5,1032.7,2324.4,988.0,7.5,280
L,1802748,1802768,24,2216.6,1016.7,1898.8,1126.2,3.2,187
L,1804520,1804544,28,1920.0,835.7,1990.8,536.2,3.7,279
L,1804576,1804656,84,1920.0,835.7,1990.8,536.2,3.7,0
L,1804844,1804856,16,1995.8,649.4,2098.1,648.8,0.9,80
L,1805252,1805400,152,1968.2,1085.5,1960.6,1097.0,0.2,22
L,1805624,1806132,512,1966.5,875.2,1966.6,875.6,0.0,1
