eye,tStart,tEnd,duration
R,69044,69098,56
R,71646,72282,638
R,80138,80162,26
R,95270,95294,26
R,127224,127292,70
R,136622,136682,62
R,148958,149246,290
R,150186,150326,142
R,150542,151534,994
R,169016,169028,14
R,179878,180014,138
R,194462,194612,152
R,199904,199986,84
R,204338,204432,96
R,205734,205824,92
R,206188,206342,156
R,222258,222326,70
R,230494,230602,110
R,236652,236776,126
R,238848,238938,92
R,239032,239192,162
R,239322,239568,248
R,240728,241046,320
R,241316,241794,480
R,268000,268050,52
R,278260,278352,94
R,295868,295966,100
R,299622,299938,318
R,300164,300294,132
R,311774,311860,88
R,323858,323926,70
R,327548,327746,200
R,327844,328114,272
R,328286,330302,2018
R,350032,350098,68
R,361908,361998,92
R,369242,369302,62
R,374644,374646,4
R,378056,378126,72
R,381414,381618,206
R,387994,388018,26
R,393852,393944,94
R,402024,402066,44
R,410064,410120,58
R,412570,414480,1912
R,414548,414642,96
R,414686,416150,1466
R,440376,440490,116
R,440674,440870,198
R,447562,447596,36
R,455540,455542,4
R,456058,456180,124
R,456478,456620,144
R,456780,456906,128
R,460700,460794,96
R,464852,464930,80
R,469156,469202,48
R,474512,474580,70
R,481426,481470,46
R,487138,487192,56
R,499838,499884,48
R,501754,501998,246
R,502136,508336,6202
R,510876,511870,996
R,516258,516338,82
R,519430,519512,84
R,531578,531598,22
R,556900,556914,16
R,568760,568870,112
R,580682,582014,1334
R,582724,584228,1506
R,584560,584718,160
R,584926,585106,182
R,585260,585522,264
R,585610,587256,1648
R,587320,588044,726
R,595840,595884,46
R,604064,604148,86
R,610740,610816,78
R,617480,617598,120
R,650488,650634,148
R,664572,664640,70
R,666420,666608,190
R,666718,670574,3858
R,670670,672270,1602
R,684194,684230,38
R,687214,687256,44
R,695468,695556,90
R,706892,706990,100
R,729036,729096,62
R,734472,734576,106
R,742860,742960,102
R,743696,744804,1110
R,748926,749020,96
R,757354,757458,106
R,757628,757832,206
R,757986,758212,228
R,758422,758602,182
R,759266,767870,8606
R,768180,778466,10288
R,784740,785708,970
R,790374,790878,506
R,808978,809120,144
R,830346,830424,80
R,838746,838878,134
R,856582,856642,62
R,866120,866596,478
R,866760,870348,3590
R,875048,875188,142
R,877244,877412,170
R,908334,908424,92
R,930658,930846,190
R,938272,938374,104
R,939852,940392,542
R,943580,943814,236
R,945382,945712,332
R,946150,951768,5620
R,951918,954932,3016
R,955436,956296,862
R,956798,957530,734
R,961652,962132,482
R,972848,972900,54
R,995454,995542,90
R,1004870,1004908,40
R,1008726,1008898,174
R,1011372,1011522,152
R,1025852,1025966,116
R,1028354,1028570,218
R,1032392,1032594,204
R,1032740,1033550,812
R,1033854,1033930,78
R,1034044,1034164,122
R,1034384,1034606,224
R,1034784,1034794,12
R,1034944,1034994,52
R,1035104,1035680,578
R,1035722,1037052,1332
R,1089548,1089588,42
R,1099974,1100080,108
R,1106118,1106318,202
R,1115454,1115506,54
R,1115906,1116062,158
R,1116154,1116392,240
R,1117194,1118874,1682
R,1121464,1121538,76
R,1127890,1127890,2
R,1130276,1131246,972
R,1141760,1141900,142
R,1144018,1144178,162
R,1155318,1155444,128
R,1158370,1158536,168
R,1161390,1161524,136
R,1163890,1164028,140
R,1168324,1168378,56
R,1168782,1172330,3550
R,1178922,1178970,50
R,1183204,1183312,110
R,1186390,1186570,182
R,1192568,1192628,62
R,1195362,1195466,106
R,1199576,1199704,130
R,1202532,1202694,164
R,1208964,1209136,174
R,1213172,1213280,110
R,1218344,1218436,94
R,1218524,1221396,2874
R,1238702,1238862,162
R,1242064,1242130,68
R,1249250,1249376,128
R,1256350,1256518,170
R,1258640,1258856,218
R,1267738,1267968,232
R,1271340,1271982,644
R,1272108,1272330,224
R,1272446,1272466,22
R,1272632,1282192,9562
R,1301336,1301490,156
R,1308834,1308914,82
R,1314368,1314464,98
R,1316326,1316438,114
R,1321664,1321760,98
R,1326076,1326288,214
R,1329028,1329138,112
R,1329274,1333626,4354
R,1352840,1352846,8
R,1358672,1358784,114
R,1363276,1363434,160
R,1368192,1368418,228
R,1376444,1376594,152
R,1377192,1377314,124
R,1380330,1380426,98
R,1380910,1385640,4732
R,1390286,1390380,96
R,1394378,1394580,204
R,1395340,1395502,164
R,1397110,1397310,202
R,1403846,1403850,6
R,1410340,1410446,108
R,1415402,1415502,102
R,1419238,1419378,142
R,1429074,1429216,144
R,1432760,1436358,3600
R,1443596,1443602,8
R,1463440,1463522,84
R,1473310,1473348,40
R,1479812,1484482,4672
R,1486482,1486662,182
R,1492926,1493022,98
R,1517104,1517186,84
R,1522510,1522604,96
R,1525854,1526450,598
R,1527234,1529658,2426
R,1535524,1535568,46
R,1538462,1538536,76
R,1542518,1542736,220
R,1547784,1547808,26
