eye,tStart,tEnd,duration
R,4184553,4184641,92
R,4187493,4187577,88
R,4190297,4190425,132
R,4195165,4195325,164
R,4208233,4208353,124
R,4217861,4218017,160
R,4240373,4240525,156
R,4245313,4245437,128
R,4247421,4247449,32
R,4252033,4252165,136
R,4261085,4261297,216
R,4261425,4261577,156
R,4264601,4264717,120
R,4264913,4264985,76
R,4266177,4266401,228
R,4266933,4267053,124
R,4271129,4271293,168
R,4274673,4274789,120
R,4274965,4275113,152
R,4277149,4277253,108
R,4277417,4277865,452
R,4278065,4279585,1524
R,4280273,4280549,280
R,4280701,4280825,128
R,4281541,4281809,272
R,4282497,4284297,1804
R,4284581,4284661,84
R,4288721,4288821,104
R,4292041,4292181,144
R,4298101,4298229,132
R,4303221,4303421,204
R,4307277,4307345,72
R,4316549,4316637,92
R,4330249,4330377,132
R,4333125,4333293,172
R,4337133,4337257,128
R,4344661,4344801,144
R,4348501,4348637,140
R,4350637,4350685,52
R,4356909,4357013,108
R,4370217,4370305,92
R,4370557,4370753,200
R,4388597,4388777,184
R,4389065,4389245,184
R,4395869,4396013,148
R,4396161,4396329,172
R,4396709,4397441,736
R,4398945,4399057,116
R,4400401,4402769,2372
R,4402953,4403069,120
R,4410701,4410829,132
R,4416969,4417085,120
R,4425401,4425573,176
R,4435801,4435873,76
R,4437365,4437541,180
R,4440581,4440797,220
R,4446297,4446409,116
R,4461653,4461889,240
R,4467181,4467365,188
R,4476593,4476677,88
R,4487409,4487577,172
R,4491729,4491921,196
R,4497541,4497645,108
R,4503381,4503553,176
R,4504009,4507985,3980
R,4508085,4508229,148
R,4508421,4508621,204
R,4508941,4509081,144
R,4510069,4510193,128
R,4510613,4510781,172
R,4515201,4515305,108
R,4520065,4520109,48
R,4526085,4526225,144
R,4531889,4532085,200
R,4552029,4552221,196
R,4558285,4558453,172
R,4573669,4573677,12
R,4577873,4577933,64
R,4591957,4591969,16
R,4597029,4597173,148
R,4610877,4611005,132
R,4616165,4616273,112
R,4616505,4623673,7172
R,4623897,4623989,96
R,4624369,4624505,140
R,4627489,4627665,180
R,4631845,4632005,164
R,4632157,4632305,152
R,4632577,4632673,100
R,4633009,4633181,176
R,4633389,4633481,96
R,4636409,4636429,24
R,4637085,4637181,100
R,4637925,4637965,44
R,4638341,4638429,92
R,4639273,4639409,140
R,4639589,4639689,104
R,4640053,4640233,184
R,4640465,4642657,2196
R,4642985,4643125,144
R,4645133,4646373,1244
R,4646997,4647129,136
R,4648265,4648341,80
R,4653977,4654069,96
R,4656089,4656173,88
R,4672757,4672865,112
R,4683509,4683665,160
R,4707205,4707301,100
R,4707889,4708029,144
R,4726085,4726209,128
R,4740473,4740621,152
R,4740909,4741197,292
R,4741429,4741813,388
R,4745397,4745481,88
R,4745677,4745837,164
R,4766593,4766809,220
R,4790889,4791037,152
R,4807657,4807805,152
R,4808953,4809101,152
R,4812745,4812853,112
R,4835013,4835133,124
R,4848329,4848453,128
R,4848989,4859645,10660
R,4859909,4860017,112
R,4860465,4860561,100
R,4865881,4866069,192
R,4883849,4883865,20
R,4886905,4887053,152
R,4915917,4916093,180
R,4929637,4929653,20
R,4932029,4932185,160
R,4951985,4952093,112
R,4954545,4961737,7196
R,4961965,4962113,152
R,4964101,4964197,100
R,4970621,4970725,108
R,4973769,4973873,108
R,4983521,4983681,164
R,4988285,4988381,100
R,4995001,4995081,84
R,4996277,4996413,140
R,4997317,4997541,228
R,5002345,5002357,16
R,5004373,5004473,104
R,5008653,5008765,116
R,5010229,5010433,208
R,5011505,5011665,164
R,5014257,5014281,28
R,5021673,5021765,96
R,5021881,5022089,212
R,5022237,5022273,40
R,5023657,5023757,104
R,5026369,5026497,132
R,5032101,5032169,72
R,5038013,5038257,248
R,5040621,5040653,36
R,5043857,5043881,28
R,5044193,5044373,184
R,5060097,5060101,8
R,5066237,5066785,552
R,5067541,5067977,440
R,5069393,5069565,176
R,5070313,5073273,2964
R,5077201,5077277,80
R,5080429,5080637,212
R,5086769,5086849,84
R,5107161,5107373,216
R,5113961,5114085,128
R,5115845,5115989,148
R,5126173,5126209,40
R,5133713,5133793,84
R,5162673,5162757,88
R,5173453,5173637,188
R,5177589,5177601,16
R,5186021,5186189,172
R,5186513,5197841,11332
R,5198093,5198253,164
R,5203265,5203369,108
R,5208441,5208553,116
R,5211777,5211913,140
R,5214789,5214933,148
R,5224457,5224661,208
R,5234305,5234461,160
R,5240973,5241001,32
R,5246533,5246713,184
R,5248013,5248129,120
R,5248873,5248993,124
R,5255913,5255977,68
R,5260385,5260841,460
R,5261005,5261181,180
R,5261381,5261393,16
R,5261529,5261701,176
R,5261881,5265913,4036
R,5266389,5266489,104
R,5268817,5268857,44
R,5269089,5269209,124
R,5270533,5270677,148
R,5273349,5273465,120
R,5297973,5298109,140
R,5299969,5300013,48
R,5302217,5302385,172
R,5302705,5302709,8
R,5308709,5308713,8
R,5309093,5309253,164
R,5312613,5312829,220
R,5314621,5314769,152
R,5315293,5320177,4888
R,5322121,5322157,40
R,5328509,5328657,152
R,5349785,5349893,112
R,5353785,5354077,296
R,5354301,5354565,268
R,5357417,5357585,172
R,5359041,5359129,92
R,5366713,5366897,188
R,5369041,5369185,148
R,5374913,5375057,148
R,5379509,5379733,228
R,5379893,5379921,32
R,5380129,5380385,260
R,5381133,5381293,164
R,5384705,5384765,64
R,5385113,5385173,64
R,5395277,5395465,192
R,5398837,5399005,172
R,5399237,5399329,96
R,5405105,5405261,160
R,5405453,5405581,132
R,5410773,5410957,188
R,5411229,5411413,188
R,5415853,5415857,8
R,5416237,5416409,176
R,5420373,5420481,112
R,5423045,5423057,16
R,5426549,5426705,160
R,5433693,5433973,284
R,5434093,5434669,580
R,5434809,5434837,32
R,5435153,5445809,10660
R,5445977,5446277,304
R,5446445,5446457,16
R,5449277,5449477,204
R,5455177,5455293,120
R,5457145,5457245,104
R,5469609,5469725,120
R,5475573,5475873,304
R,5493629,5493793,168
R,5494433,5494457,28
R,5495461,5495581,124
R,5507045,5507181,140
R,5507921,5507965,48
R,5508281,5508421,144
R,5514701,5514865,168
R,5516989,5517017,32
R,5520245,5520413,172
R,5521813,5521865,56
R,5525737,5525881,148
R,5530533,5530765,236
R,5531229,5531265,40
R,5536573,5536873,304
R,5539165,5539169,8
R,5539517,5539517,4
R,5545157,5545181,28
R,5548213,5548481,272
R,5548769,5548777,12
R,5553445,5553481,40
R,5556357,5556477,124
R,5559009,5559069,64
R,5562513,5562521,12
R,5563285,5563289,8
R,5563353,5563365,16
R,5563621,5563933,316
R,5564025,5564157,136
R,5565309,5565337,32
R,5566097,5566105,12
R,5566597,5566725,132
R,5569069,5569073,8
R,5570517,5570777,264
R,5571293,5571353,64
R,5572301,5572309,12
R,5576993,5577101,112
R,5577305,5577549,248
R,5579777,5579865,92
R,5580037,5580053,20
R,5580105,5580185,84
R,5580465,5580585,124
R,5580773,5580813,44
R,5582329,5582381,56
R,5583521,5585957,2440
R,5587265,5587297,36
R,5588225,5588309,88
R,5592813,5592937,128
R,5594161,5594245,88
R,5597193,5597261,72
R,5605273,5605325,56
R,5605673,5605901,232
R,5610301,5610413,116
R,5612833,5613229,400
R,5613505,5613573,72
R,5615981,5616237,260
R,5620381,5620437,60
R,5621533,5621565,36
R,5622249,5622525,280
R,5627685,5627745,64
R,5632405,5632409,8
R,5632641,5632761,124
R,5633061,5633161,104
R,5635681,5635709,32
