eye,tStart,tEnd,duration
L,3763868,3763920,56
L,3764516,3764596,84
L,3765020,3765732,716
L,3771172,3771288,120
L,3782868,3782960,96
L,3789648,3789732,88
L,3790004,3790224,224
L,3793464,3793560,100
L,3795220,3795276,60
L,3799288,3799540,256
L,3802796,3803096,304
L,3807028,3807040,16
L,3811500,3811676,180
L,3819144,3819224,84
L,3831624,3831632,12
L,3836980,3837044,68
L,3844268,3844532,268
L,3844924,3845104,184
L,3845376,3845568,196
L,3845928,3846104,180
L,3854324,3854380,60
L,3866300,3866572,276
L,3873712,3873896,188
L,3880048,3880128,84
L,3883508,3883820,316
L,3899864,3900108,248
L,3900456,3901264,812
L,3904544,3904640,100
L,3907380,3908340,964
L,3914716,3914808,96
L,3919988,3920052,68
L,3927820,3928280,464
L,3928680,3928812,136
L,3929632,3929792,164
L,3931616,3931800,188
L,3937140,3937268,132
L,3965936,3965952,20
L,3967108,3967468,364
L,3967904,3968192,292
L,3972100,3972212,116
L,3975940,3976020,84
L,3981784,3981800,20
L,3985220,3985256,40
L,3995996,3996176,184
L,3997320,3997376,60
L,4006396,4007148,756
L,4007536,4007732,200
L,4009476,4009620,148
L,4010376,4013268,2896
L,4013364,4013364,4
L,4013620,4013792,176
L,4013980,4018444,4468
L,4018612,4018992,384
L,4019076,4019380,308
L,4019496,4022540,3048
L,4022752,4023072,324
L,4023244,4023464,224
L,4023780,4027448,3672
L,4027696,4028588,896
L,4028908,4029024,120
L,4029368,4029492,128
L,4029664,4029856,196
L,4030316,4030448,136
L,4036636,4036920,288
L,4042272,4042436,168
L,4043604,4043876,276
L,4046220,4047016,800
L,4047284,4047444,164
L,4048264,4048472,212
L,4053544,4054180,640
L,4054652,4054864,216
L,4064096,4064288,196
L,4064884,4065272,392
L,4068960,4069108,152
L,4075360,4075560,204
L,4076540,4076876,340
L,4081716,4081788,76
L,4085440,4086220,784
L,4089788,4089888,104
L,4093516,4094020,508
L,4097192,4097280,92
L,4109332,4109472,144
L,4114496,4114688,196
L,4114740,4116136,1400
L,4116656,4116860,208
L,4117468,4117652,188
L,4126896,4127012,120
L,4128348,4128564,220
L,4128748,4129204,460
L,4133308,4133408,104
L,4136392,4136576,188
L,4137028,4137284,260
L,4137920,4138148,232
L,4138540,4138780,244
L,4146860,4146928,72
L,4147224,4147496,276
L,4149788,4150028,244
L,4153388,4153496,112
L,4158920,4159068,152
L,4164836,4165128,296
L,4168616,4168872,260
L,4172212,4172796,588
L,4173068,4173124,60
L,4181052,4181172,124
L,4185904,4186036,136
L,4203932,4204088,160
L,4205204,4205464,264
L,4206368,4206624,260
L,4213700,4214028,332
L,4214108,4214116,12
L,4222704,4225084,2384
L,4225404,4225740,340
L,4226392,4226652,264
L,4226932,4227208,280
L,4227408,4227644,240
L,4231304,4232512,1212
L,4236728,4236888,164
L,4240420,4240500,84
L,4243984,4244172,192
L,4246936,4247392,460
L,4249256,4249588,336
L,4251136,4251208,76
L,4251848,4252084,240
L,4255308,4255644,340
L,4258940,4259192,256
L,4274156,4274300,148
L,4282700,4282816,120
L,4283280,4283536,260
L,4283744,4286220,2480
L,4289956,4290160,208
L,4290432,4290620,192
L,4290848,4291024,180
L,4301224,4301392,172
L,4314728,4314812,88
L,4315800,4316116,320
L,4324512,4325488,980
L,4325580,4326268,692
L,4326440,4326988,552
L,4327792,4328112,324
L,4342272,4342288,20
L,4345292,4345336,48
L,4348576,4348808,236
L,4364300,4364524,228
L,4367804,4367856,56
L,4370740,4370860,124
L,4374252,4374312,64
L,4378820,4378888,72
L,4380848,4381260,416
L,4385936,4386176,244
L,4387652,4387760,112
L,4396536,4396660,128
L,4399664,4399672,12
L,4400500,4400884,388
L,4407748,4407792,48
L,4408520,4410392,1876
L,4410588,4410608,24
L,4410916,4411632,720
L,4411728,4411944,220
L,4412448,4414432,1988
L,4424300,4424300,4
L,4427084,4427308,228
L,4457552,4457672,124
L,4479628,4479960,336
L,4484716,4484788,76
L,4489064,4490352,1292
L,4490544,4490772,232
L,4491316,4491516,204
L,4495992,4496164,176
L,4497176,4497328,156
L,4503792,4503964,176
L,4508580,4508712,136
L,4519008,4519048,44
L,4529248,4529444,200
L,4533260,4533268,12
L,4543604,4543660,60
L,4550384,4550888,508
L,4553908,4554120,216
L,4557440,4557724,288
L,4567336,4568076,744
L,4572744,4572768,28
L,4573744,4574816,1076
L,4575048,4575760,716
L,4576276,4576476,204
L,4576672,4581316,4648
L,4581612,4582828,1220
L,4583296,4583524,232
L,4583792,4584056,268
L,4594512,4594704,196
L,4604276,4604460,188
L,4607836,4607908,76
L,4610904,4610920,20
L,4614952,4615076,128
L,4616644,4617408,768
L,4632216,4632228,16
L,4633348,4633416,72
L,4636012,4636224,216
L,4636592,4636992,404
L,4644560,4644796,240
L,4653328,4653484,160
L,4658300,4659712,1416
L,4660220,4660376,160
L,4667236,4670448,3216
L,4673892,4674128,240
L,4676972,4676996,28
L,4680600,4680680,84
L,4681332,4681552,224
L,4688172,4688404,236
L,4691180,4691348,172
L,4692784,4692964,184
L,4698396,4698620,228
L,4708808,4708904,100
L,4716052,4716576,528
L,4717992,4718212,224
L,4718480,4718944,468
L,4722740,4722780,44
