time,text
1630698,TRIALID 24
1630700,FIX_START
1631698,FIX_END
1631715,STIM_START
1631965,STIM_END
1632465,RESP_START
1636931,RESP_END
1636931,TRIAL_END 24
1636931,TRIALID 25
1636933,FIX_START
1638432,FIX_END
1638449,STIM_START
1638699,STIM_END
1639199,RESP_START
1642782,RESP_END
1642782,TRIAL_END 25
1642782,TRIALID 26
1642784,FIX_START
1643783,FIX_END
1643799,STIM_START
1644066,STIM_END
1644566,RESP_START
1648982,RESP_END
1648982,TRIAL_END 26
1648982,TRIALID 27
1648984,FIX_START
1649483,FIX_END
1649499,STIM_START
1649766,STIM_END
1650267,RESP_START
1654134,RESP_END
1654134,TRIAL_END 27
1654134,TRIALID 28
1654135,FIX_START
1654634,FIX_END
1654650,STIM_START
1654917,STIM_END
1655417,RESP_START
1661268,RESP_END
1661268,TRIAL_END 28
1661268,TRIALID 29
1661270,FIX_START
1662768,FIX_END
1662784,STIM_START
1663051,STIM_END
1663551,RESP_START
1670885,RESP_END
1670885,TRIAL_END 29
1670885,TRIALID 30
1670887,FIX_START
1671885,FIX_END
1671902,STIM_START
1672169,STIM_END
1672668,RESP_START
1676785,RESP_END
1676785,TRIAL_END 30
1676785,TRIALID 31
1676787,FIX_START
1677786,FIX_END
1677802,STIM_START
1678053,STIM_END
1678553,RESP_START
1683002,RESP_END
1683002,TRIAL_END 31
1683002,TRIALID 32
1683005,FIX_START
1683503,FIX_END
1683520,STIM_START
1683786,STIM_END
1684286,RESP_START
1689470,RESP_END
1689470,TRIAL_END 32
1689470,TRIALID 33
1689472,FIX_START
1690470,FIX_END
1690487,STIM_START
1690737,STIM_END
1691237,RESP_START
1700287,RESP_END
1700287,TRIAL_END 33
1700287,TRIALID 34
1700289,FIX_START
1700788,FIX_END
1700805,STIM_START
1701071,STIM_END
1701571,RESP_START
1705421,RESP_END
1705421,TRIAL_END 34
1705421,TRIALID 35
1705423,FIX_START
1706931,FIX FAILED
1707422,FIX_SUCCEED
1707672,FIX_END
1707689,STIM_START
1707955,STIM_END
1708456,RESP_START
1721039,RESP_END
1721039,TRIAL_END 35
1721039,TRIALID 36
1721041,FIX_START
1722040,FIX_END
1722057,STIM_START
1722323,STIM_END
1722823,RESP_START
1727990,RESP_END
1727990,TRIAL_END 36
1727990,TRIALID 37
1727992,FIX_START
1728490,FIX_END
1728508,STIM_START
1728757,STIM_END
1729257,RESP_START
1738441,RESP_END
1738441,TRIAL_END 37
1738441,TRIALID 38
1738443,FIX_START
1739942,FIX FAILED
1740442,FIX_SUCCEED
1740692,FIX_END
1740709,STIM_START
1740959,STIM_END
1741458,RESP_START
1747592,RESP_END
1747592,TRIAL_END 38
1747592,TRIALID 39
1747595,FIX_START
1748093,FIX_END
1748109,STIM_START
1748376,STIM_END
1748876,RESP_START
1756427,RESP_END
1756427,TRIAL_END 39
1756427,TRIALID 40
1768641,FIX_START
1770144,FIX_END
1770161,STIM_START
1770411,STIM_END
1770911,RESP_START
1777695,RESP_END
1777695,TRIAL_END 40
1777695,TRIALID 41
1777697,FIX_START
1778695,FIX_END
1778712,STIM_START
1778979,STIM_END
1779479,RESP_START
1787996,RESP_END
1787996,TRIAL_END 41
1787996,TRIALID 42
1787998,FIX_START
1788496,FIX_END
1788514,STIM_START
1788780,STIM_END
1789280,RESP_START
1794747,RESP_END
1794747,TRIAL_END 42
1794747,TRIALID 43
1794749,FIX_START
1795747,FIX_END
1795764,STIM_START
1796030,STIM_END
1796530,RESP_START
1801497,RESP_END
1801497,TRIAL_END 43
1801497,TRIALID 44
1801499,FIX_START
1802498,FIX_END
1802515,STIM_START
1802764,STIM_END
1803265,RESP_START
1812248,RESP_END
1812248,TRIAL_END 44
1812248,TRIALID 45
1812250,FIX_START
1813249,FIX_END
1813265,STIM_START
1813532,STIM_END
1814032,RESP_START
1819715,RESP_END
1819715,TRIAL_END 45
1819715,TRIALID 46
1819717,FIX_START
1820216,FIX_END
1820233,STIM_START
1820482,STIM_END
1820983,RESP_START
1825349,RESP_END
1825349,TRIAL_END 46
1825349,TRIALID 47
1825351,FIX_START
1825850,FIX_END
1825866,STIM_START
1826116,STIM_END
1826616,RESP_START
1830633,RESP_END
1830633,TRIAL_END 47
1830633,TRIALID 48
1830635,FIX_START
1832134,FIX FAILED
1832634,FIX_SUCCEED
1832884,FIX_END
1832900,STIM_START
1833151,STIM_END
1833650,RESP_START
1843135,RESP_END
1843135,TRIAL_END 48
1843135,TRIALID 49
1843137,FIX_START
1844135,FIX_END
1844151,STIM_START
1844402,STIM_END
1844902,RESP_START
1848618,RESP_END
1848618,TRIAL_END 49
1848618,TRIALID 50
1848620,FIX_START
1849119,FIX_END
1849135,STIM_START
1849385,STIM_END
1849885,RESP_START
1859986,RESP_END
1859986,TRIAL_END 50
1859986,TRIALID 51
1859988,FIX_START
1860987,FIX_END
1861003,STIM_START
1861253,STIM_END
1861753,RESP_START
1867503,RESP_END
1867503,TRIAL_END 51
1867503,TRIALID 52
1867505,FIX_START
1869005,FIX FAILED
1869504,FIX_SUCCEED
1869754,FIX_END
1869771,STIM_START
1870037,STIM_END
1870537,RESP_START
1874237,RESP_END
1874237,TRIAL_END 52
1874237,TRIALID 53
1874239,FIX_START
1875738,FIX FAILED
1876738,FIX_SUCCEED
1876988,FIX_END
1877005,STIM_START
1877255,STIM_END
1877755,RESP_START
1883805,RESP_END
1883805,TRIAL_END 53
1883805,TRIALID 54
1883807,FIX_START
1884305,FIX_END
1884322,STIM_START
1884589,STIM_END
1885089,RESP_START
1889523,RESP_END
1889523,TRIAL_END 54
1889523,TRIALID 55
1889525,FIX_START
1890523,FIX_END
1890540,STIM_START
1890789,STIM_END
1891289,RESP_START
1897890,RESP_END
1897890,TRIAL_END 55
1897890,TRIALID 56
1897892,FIX_START
1898390,FIX_END
1898407,STIM_START
1898657,STIM_END
1899157,RESP_START
1904124,RESP_END
1904124,TRIAL_END 56
1904124,TRIALID 57
1904126,FIX_START
1905124,FIX_END
1905141,STIM_START
1905407,STIM_END
1905907,RESP_START
1912008,RESP_END
1912008,TRIAL_END 57
1912008,TRIALID 58
1912010,FIX_START
1912508,FIX_END
1912525,STIM_START
1912775,STIM_END
1913275,RESP_START
1917541,RESP_END
1917541,TRIAL_END 58
1917541,TRIALID 59
1917543,FIX_START
1918542,FIX_END
1918559,STIM_START
1918825,STIM_END
1919325,RESP_START
1922792,RESP_END
1922792,TRIAL_END 59
1922792,TRIALID 60
1929947,FIX_START
1930943,FIX_END
1930960,STIM_START
1931227,STIM_END
1931727,RESP_START
1940394,RESP_END
1940394,TRIAL_END 60
1940394,TRIALID 61
1940395,FIX_START
1941894,FIX FAILED
1943394,FIX_SUCCEED
1943644,FIX_END
1943661,STIM_START
1943911,STIM_END
1944411,RESP_START
1951378,RESP_END
1951378,TRIAL_END 61
1951378,TRIALID 62
1951380,FIX_START
1952379,FIX_END
1952395,STIM_START
1952662,STIM_END
1953162,RESP_START
1959095,RESP_END
1959095,TRIAL_END 62
1959095,TRIALID 63
1959097,FIX_START
1959596,FIX_END
1959613,STIM_START
1959880,STIM_END
1960380,RESP_START
1965879,RESP_END
1965879,TRIAL_END 63
1965879,TRIALID 64
1965881,FIX_START
1966380,FIX_END
1966397,STIM_START
1966647,STIM_END
1967147,RESP_START
1975264,RESP_END
1975264,TRIAL_END 64
1975264,TRIALID 65
1975265,FIX_START
1975764,FIX_END
1975781,STIM_START
1976048,STIM_END
1976548,RESP_START
1980414,RESP_END
1980415,TRIAL_END 65
1980415,TRIALID 66
1980417,FIX_START
1980915,FIX_END
1980931,STIM_START
1981181,STIM_END
1981681,RESP_START
1985315,RESP_END
1985315,TRIAL_END 66
1985315,TRIALID 67
1985317,FIX_START
1985815,FIX_END
1985832,STIM_START
1986082,STIM_END
1986581,RESP_START
1990465,RESP_END
1990465,TRIAL_END 67
1990465,TRIALID 68
1990467,FIX_START
1990965,FIX_END
1990982,STIM_START
1991249,STIM_END
1991749,RESP_START
1995366,RESP_END
1995366,TRIAL_END 68
1995366,TRIALID 69
1995367,FIX_START
1996366,FIX_END
1996382,STIM_START
1996633,STIM_END
1997133,RESP_START
2001083,RESP_END
2001083,TRIAL_END 69
2001083,TRIALID 70
2001085,FIX_START
2002583,FIX_END
2002600,STIM_START
2002867,STIM_END
2003367,RESP_START
2006784,RESP_END
2006784,TRIAL_END 70
2006784,TRIALID 71
2006786,FIX_START
2007284,FIX_END
2007301,STIM_START
2007551,STIM_END
2008051,RESP_START
2011884,RESP_END
2011884,TRIAL_END 71
2011884,TRIALID 72
2011886,FIX_START
2012885,FIX_END
2012901,STIM_START
2013151,STIM_END
2013651,RESP_START
2017018,RESP_END
2017018,TRIAL_END 72
2017018,TRIALID 73
2017020,FIX_START
2017518,FIX_END
2017535,STIM_START
2017802,STIM_END
2018301,RESP_START
2021168,RESP_END
2021168,TRIAL_END 73
2021168,TRIALID 74
2021170,FIX_START
2022169,FIX_END
2022185,STIM_START
2022452,STIM_END
2022952,RESP_START
2025802,RESP_END
2025802,TRIAL_END 74
2025802,TRIALID 75
2025804,FIX_START
2026303,FIX_END
2026319,STIM_START
2026569,STIM_END
2027069,RESP_START
2031952,RESP_END
2031953,TRIAL_END 75
2031953,TRIALID 76
2031954,FIX_START
2032453,FIX_END
2032470,STIM_START
2032736,STIM_END
2033236,RESP_START
2038586,RESP_END
2038586,TRIAL_END 76
2038586,TRIALID 77
2038588,FIX_START
2040087,FIX_END
2040104,STIM_START
2040354,STIM_END
2040854,RESP_START
2044204,RESP_END
2044204,TRIAL_END 77
2044204,TRIALID 78
2044205,FIX_START
2044704,FIX_END
2044721,STIM_START
2044987,STIM_END
2045488,RESP_START
2049087,RESP_END
2049087,TRIAL_END 78
2049088,TRIALID 79
2049089,FIX_START
2049588,FIX_END
2049604,STIM_START
2049871,STIM_END
2050371,RESP_START
2055505,RESP_END
2055505,TRIAL_END 79
2055505,TRIALID 80
2062671,FIX_START
2063172,FIX_END
2063189,STIM_START
2063439,STIM_END
2063939,RESP_START
2067923,RESP_END
2067923,TRIAL_END 80
2067923,TRIALID 81
2067925,FIX_START
2068924,FIX_END
2068940,STIM_START
2069190,STIM_END
2069690,RESP_START
2074090,RESP_END
2074090,TRIAL_END 81
2074090,TRIALID 82
2074092,FIX_START
2074590,FIX_END
2074606,STIM_START
2074857,STIM_END
2075357,RESP_START
2082574,RESP_END
2082574,TRIAL_END 82
2082574,TRIALID 83
2082576,FIX_START
2083575,FIX_END
2083591,STIM_START
2083841,STIM_END
2084341,RESP_START
2088375,RESP_END
2088375,TRIAL_END 83
2088375,TRIALID 84
2088377,FIX_START
2088875,FIX_END
2088892,STIM_START
2089141,STIM_END
2089642,RESP_START
2095692,RESP_END
2095692,TRIAL_END 84
2095692,TRIALID 85
2095694,FIX_START
2096192,FIX_END
2096209,STIM_START
2096459,STIM_END
2096959,RESP_START
2100959,RESP_END
2100959,TRIAL_END 85
2100959,TRIALID 86
2100961,FIX_START
2101960,FIX_END
2101976,STIM_START
2102226,STIM_END
2102726,RESP_START
2106159,RESP_END
2106159,TRIAL_END 86
2106159,TRIALID 87
2106161,FIX_START
2107660,FIX_END
2107676,STIM_START
2107944,STIM_END
2108444,RESP_START
2112594,RESP_END
2112594,TRIAL_END 87
2112594,TRIALID 88
2112596,FIX_START
2113594,FIX_END
2113610,STIM_START
2113877,STIM_END
2114377,RESP_START
2119077,RESP_END
2119077,TRIAL_END 88
2119077,TRIALID 89
2119079,FIX_START
2120578,FIX_END
2120595,STIM_START
2120845,STIM_END
2121345,RESP_START
2125244,RESP_END
2125244,TRIAL_END 89
