eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,1445322,1445464,144,677.9,1233.2,883.5,1263.6,1.7,1283
L,1445830,1445840,12,856.8,1182.7,781.0,1199.9,0.7,67
L,1446322,1446338,18,784.2,1168.1,930.9,1145.1,1.2,90
L,1446452,1446752,302,1013.1,1156.1,961.8,1237.1,1.0,1401
L,1447844,1447862,20,906.1,1163.7,695.6,1204.4,1.8,119
L,1448230,1448286,58,665.9,1227.4,1797.5,1085.3,9.5,229
L,1450118,1450166,50,1891.7,1074.1,1089.2,1055.0,6.8,184
L,1450514,1450528,16,1003.3,1115.2,1025.6,1212.4,1.1,92
L,1450708,1450818,112,1046.1,1261.4,1002.3,1422.9,1.9,1288
L,1451202,1451218,18,1012.1,1233.9,1049.6,1128.5,1.3,89
L,1452316,1452498,184,1089.1,1073.0,1021.3,1081.4,0.6,1240
L,1453228,1453268,42,1085.4,1053.2,1778.9,1066.1,5.8,182
L,1455420,1455458,40,1935.9,1125.7,2401.6,1321.0,4.6,159
L,1455612,1455632,22,2522.8,1343.3,2691.5,1413.1,1.7,97
L,1455830,1455958,130,2728.0,1443.9,2757.8,1521.7,0.9,841
L,1456916,1456958,44,2716.4,1440.2,2027.1,1177.3,6.7,214
L,1458066,1458110,46,1882.5,1094.5,931.4,1055.2,8.0,234
L,1458514,1458646,134,901.7,1067.7,1278.0,1165.7,3.3,767
L,1458818,1458838,22,1240.9,1064.0,989.6,1084.0,2.1,130
L,1460634,1460650,18,897.7,1193.2,733.0,1220.2,1.4,102
L,1461380,1461436,58,709.7,1196.4,1790.8,1059.3,9.1,209
L,1463242,1463288,48,1927.9,1114.2,2402.4,1401.9,5.3,143
L,1463602,1463618,18,2508.9,1413.1,2599.9,1477.5,1.1,77
L,1463846,1463860,16,2668.4,1501.4,2789.7,1529.7,1.1,86
L,1464424,1464442,20,2839.5,1554.4,2931.5,1418.3,1.8,124
L,1464978,1465150,174,2925.4,1405.9,2946.4,1470.1,0.8,706
L,1465662,1465706,46,2939.6,1326.5,2032.4,1186.6,7.9,276
L,1467934,1467976,44,1879.5,1100.2,1099.6,1027.9,6.6,193
L,1468684,1468778,96,1053.1,1079.4,983.0,1293.9,2.5,505
L,1469694,1469734,42,1049.4,1079.8,1794.8,1076.5,6.3,203
L,1471848,1471876,30,1906.3,1116.0,2216.8,1290.3,3.4,155
L,1471980,1471994,16,2446.0,1309.6,2545.3,1363.9,1.1,85
L,1472308,1472318,12,2634.1,1383.8,2692.1,1407.8,0.6,58
L,1472556,1472572,18,2700.9,1425.7,2555.4,1423.4,1.2,90
L,1472798,1472812,16,2532.8,1437.0,2617.3,1443.6,0.7,53
L,1473880,1473904,26,2666.6,1448.7,2316.7,1413.7,3.0,162
L,1474320,1474356,38,2244.1,1378.9,1728.5,1079.6,5.6,205
L,1474454,1474468,16,1651.0,1053.8,1552.9,968.9,1.3,105
L,1474604,1474628,26,1555.9,960.6,1889.2,1020.7,2.9,146
L,1474806,1474840,36,1986.1,1021.7,1649.0,618.6,5.5,202
L,1475134,1475262,130,1653.8,529.5,1711.9,1136.1,7.1,997
L,1475378,1475600,224,1681.2,1078.8,2137.8,1324.9,4.9,791
L,1475688,1475716,30,2099.7,1267.7,1704.3,1107.3,3.9,176
L,1475928,1477916,1990,1656.6,1108.4,1858.6,1080.0,1.8,916
L,1478074,1478096,24,1875.9,1057.6,2094.1,1098.7,1.9,105
L,1478430,1478464,36,2196.8,1101.7,1686.3,1059.0,4.4,160
L,1478670,1478692,24,1599.1,1064.6,1826.8,1116.0,2.0,112
L,1478900,1478920,22,1934.4,1168.4,2081.2,1229.9,1.5,84
L,1479094,1479134,42,2140.2,1259.2,1724.0,790.4,6.6,198
L,1479296,1479320,26,1722.7,689.4,1769.6,523.0,2.0,94
L,1479462,1479642,182,1794.6,476.1,1919.7,1164.7,8.1,762
L,1479850,1479868,20,1904.7,1108.8,2070.3,1216.1,1.9,122
