eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,4306964,4307052,92,2194.4,1119.7,1441.4,1326.2,7.0,595
L,4307104,4307152,52,1440.4,1244.1,1530.2,1667.1,5.2,130
L,4307304,4307432,132,645.9,1999.2,786.1,1887.6,1.8,118
L,4307564,4307572,12,897.3,1426.0,884.2,1362.0,0.8,102
L,4307788,4307872,88,948.5,1074.5,3053.8,1084.7,18.1,294
L,4308256,4308632,380,3142.8,1008.5,1661.1,1900.0,16.7,344
L,4308708,4308724,20,1730.6,1920.0,2063.1,1908.5,2.9,199
L,4308768,4308804,40,2035.1,1933.4,2106.0,1936.2,0.6,219
L,4308852,4308876,28,2060.0,1750.0,2011.2,1425.0,4.0,194
L,4309176,4309424,252,2024.4,1257.3,2210.1,1453.5,2.9,445
L,4309544,4309632,92,2211.2,1312.1,2208.3,1439.2,1.6,288
L,4309668,4309680,16,2118.7,1256.1,1995.2,1200.7,1.3,115
L,4309956,4310128,176,1867.2,1196.9,2901.5,1943.8,12.7,660
L,4310344,4310512,172,2854.2,1880.7,2159.5,1234.0,9.9,601
L,4310812,4310828,20,2127.5,1197.0,1982.7,1206.9,1.3,88
L,4313068,4313116,52,1935.2,1164.8,2651.7,1207.8,6.3,161
L,4313492,4313508,20,2724.0,1280.2,2850.7,1347.7,1.4,97
L,4314452,4314468,20,2959.3,1394.8,3072.3,1442.5,1.1,80
L,4315100,4315180,84,3104.2,1499.7,3072.9,1518.9,0.3,592
L,4315752,4315932,184,3104.5,1445.7,3053.9,1941.0,5.9,712
L,4316184,4316328,148,2949.7,1921.4,2979.4,1546.9,4.5,667
L,4316640,4316808,172,2994.6,1489.1,2575.1,1507.5,3.7,830
L,4317528,4317548,24,2550.3,1339.4,2835.2,1386.5,2.6,156
L,4317696,4317736,44,2859.4,1388.4,2069.0,1218.3,7.2,244
L,4317908,4318076,172,1974.1,1203.6,1909.8,1357.6,2.0,976
L,4320304,4320368,68,1874.2,1230.7,923.6,1323.3,8.3,154
L,4320660,4320668,12,731.1,1367.9,694.9,1394.1,0.4,54
L,4321240,4321344,108,671.7,1470.2,2250.7,1151.2,14.1,534
L,4321584,4321604,24,2013.7,1126.9,1763.8,1175.5,2.3,131
L,4321864,4321888,28,1594.5,1168.3,1835.5,1121.1,2.2,100
L,4323368,4323384,20,1945.6,1155.2,1928.3,1249.6,1.2,85
L,4324564,4324576,16,1889.9,1185.7,1888.0,1258.8,0.9,83
L,4325280,4325300,24,1920.3,1162.2,2125.0,1169.1,1.8,102
L,4326084,4326104,24,2397.6,1167.5,2639.1,1249.7,2.3,136
L,4326968,4327008,44,2786.6,1246.2,2161.9,1133.9,5.6,182
L,4328348,4328372,28,2098.5,1093.8,2325.1,1153.2,2.1,100
L,4328800,4328808,12,2248.8,1196.2,2201.3,1269.5,1.0,123
L,4329400,4329520,124,2224.6,1161.8,3027.8,1533.7,8.3,1370
L,4332380,4332428,52,3033.2,1447.5,3270.0,2704.4,14.5,644
L,4332456,4332508,56,3270.0,2709.3,3126.4,1616.6,12.5,617
L,4333828,4333840,16,3113.1,1467.0,3012.2,1468.8,0.9,74
L,4333876,4334176,304,2925.2,1483.1,1757.2,1088.5,11.2,1013
L,4334600,4334640,44,1993.0,1106.4,2781.0,1286.8,7.2,227
L,4335124,4335272,152,2968.8,1332.5,1881.4,1331.0,9.5,880
L,4335536,4335748,216,2003.3,1230.0,1918.7,1373.5,1.9,979
L,4336136,4336152,20,1944.5,1216.1,2112.3,1186.4,1.5,102
L,4336344,4336360,20,2227.2,1165.2,2088.0,1176.0,1.2,84
L,4341704,4341720,20,1802.1,1208.8,1911.6,1113.0,1.5,108
L,4344172,4344292,124,1901.5,1187.1,2458.9,1295.4,5.1,576
L,4346136,4346172,40,2557.8,1104.1,2077.1,1079.0,4.2,134
L,4352224,4352236,16,1780.5,1196.2,1856.1,1180.7,0.7,58
L,4356072,4356092,24,1922.2,1179.7,2111.1,1164.5,1.7,94
L,4356432,4356456,28,2363.6,1174.9,2035.2,1129.3,2.9,147
L,4361560,4361600,44,2376.4,1216.8,2000.0,1223.7,3.3,98
L,4362316,4362392,80,1885.5,1248.4,1845.1,1331.1,1.1,296
L,4362612,4362804,196,1848.3,1238.6,1843.2,1332.9,1.1,847
