time,text
41166,!CAL
41167,!CAL Calibration points:
41167,"!CAL 9.9, -25.7 2002, 4730"
41167,"!CAL 7.4, -41.3 2038, 7955"
41167,"!CAL 12.7, -11.9 1981, 1834"
41167,"!CAL -16.0, -20.7 -1723, 4591"
41167,"!CAL 43.2, -30.4 6265, 4914"
41167,"!CAL eye check box: (L,R,T,B)"
41167,"!CAL href cal range: (L,R,T,B)"
41167,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
41167,"!CAL Prenormalize: offx, offy = 9.8835 -25.709"
41168,!CAL Gains: cx:138.930 lx:159.307 rx:119.144
41168,!CAL Gains: cy:209.873 ty:199.362 by:206.160
41168,"!CAL Resolution (upd) at screen center: X=1.9, Y=1.3"
41168,!CAL Gain Change Proportion: X: 0.337 Y: 0.034
41168,!CAL Gain Ratio (Gy/Gx) = 1.511
41168,"!CAL Cross-Gain Ratios: X=0.198, Y=0.143"
41168,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
41168,"!CAL CR gain match(x,y) = 1.000, 1.000"
41168,!CAL Slip rotation correction OFF
41171,!CAL CALIBRATION HV5 R RIGHT GOOD
47947,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.42 avg. 0.73 max OFFSET 0.37 deg. 39.9,14.7 pix."
47947,"VALIDATE R 4POINT 0 RIGHT at 1920,1080 OFFSET 0.33 deg. 37.4,9.7 pix."
47947,"VALIDATE R 4POINT 1 RIGHT at 1920,184 OFFSET 0.58 deg. 69.8,-5.1 pix."
47947,"VALIDATE R 4POINT 2 RIGHT at 1920,1975 OFFSET 0.25 deg. 30.1,-4.7 pix."
47947,"VALIDATE R 4POINT 3 RIGHT at 230,1080 OFFSET 0.73 deg. 56.1,48.7 pix."
47947,"VALIDATE R 4POINT 4 RIGHT at 3609,1080 OFFSET 0.47 deg. 13.9,40.0 pix."
61073,DRIFTCORRECT R REPEATING due to large error
67107,"DRIFTCORRECT R RIGHT at 1920,1080 OFFSET 2.70 deg. 177.3,192.0 pix."
67687,RECCFG CR 500 2 1 R
67687,ELCLCFG RTABLER
67687,GAZE_COORDS 0.00 0.00 3839.00 2159.00
67687,THRESHOLDS R 50 183
67687,ELCL_PROC ELLIPSE (5)
67687,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
67688,!MODE RECORD CR 500 2 1 R
73541,TRIALID 1
73561,FIX_START
74558,FIX_END
74575,STIM_START
74841,STIM_END
75342,RESP_START
77976,RESP_END
77976,TRIAL_END 1
77976,TRIALID 2
77978,FIX_START
78475,FIX_END
78492,STIM_START
78742,STIM_END
79242,RESP_START
81676,RESP_END
81676,TRIAL_END 2
81677,TRIALID 3
81679,FIX_START
82176,FIX_END
82192,STIM_START
82459,STIM_END
82959,RESP_START
85660,RESP_END
85660,TRIAL_END 3
85660,TRIALID 4
85663,FIX_START
86160,FIX_END
86176,STIM_START
86426,STIM_END
86926,RESP_START
88743,RESP_END
88743,TRIAL_END 4
88744,TRIALID 5
88748,FIX_START
89743,FIX_END
89760,STIM_START
90010,STIM_END
90511,RESP_START
92729,RESP_END
92729,TRIAL_END 5
92729,TRIALID 6
92731,FIX_START
93227,FIX_END
93244,STIM_START
93494,STIM_END
93993,RESP_START
96694,RESP_END
96694,TRIAL_END 6
96694,TRIALID 7
96696,FIX_START
97194,FIX_END
97211,STIM_START
97477,STIM_END
97977,RESP_START
99911,RESP_END
99911,TRIAL_END 7
99911,TRIALID 8
99914,FIX_START
100411,FIX_END
100428,STIM_START
100678,STIM_END
101178,RESP_START
104561,RESP_END
104561,TRIAL_END 8
104561,TRIALID 9
104563,FIX_START
105062,FIX_END
105078,STIM_START
105345,STIM_END
105845,RESP_START
107746,RESP_END
107746,TRIAL_END 9
107746,TRIALID 10
107749,FIX_START
108245,FIX_END
108262,STIM_START
108512,STIM_END
109012,RESP_START
110912,RESP_END
110912,TRIAL_END 10
110912,TRIALID 11
110914,FIX_START
111412,FIX_END
111429,STIM_START
111696,STIM_END
112196,RESP_START
114763,RESP_END
114763,TRIAL_END 11
114763,TRIALID 12
114765,FIX_START
115263,FIX_END
115280,STIM_START
115529,STIM_END
116029,RESP_START
118364,RESP_END
118364,TRIAL_END 12
118364,TRIALID 13
118366,FIX_START
118863,FIX_END
118880,STIM_START
119147,STIM_END
119647,RESP_START
124149,RESP_END
124149,TRIAL_END 13
124149,TRIALID 14
124152,FIX_START
124647,FIX_END
124664,STIM_START
124914,STIM_END
125414,RESP_START
128214,RESP_END
128214,TRIAL_END 14
128214,TRIALID 15
128216,FIX_START
128714,FIX_END
128731,STIM_START
128997,STIM_END
129498,RESP_START
131982,RESP_END
131982,TRIAL_END 15
131982,TRIALID 16
131984,FIX_START
132482,FIX_END
132498,STIM_START
132748,STIM_END
133249,RESP_START
135482,RESP_END
135482,TRIAL_END 16
135482,TRIALID 17
135484,FIX_START
135982,FIX_END
135999,STIM_START
136265,STIM_END
136766,RESP_START
139666,RESP_END
139666,TRIAL_END 17
139666,TRIALID 18
139669,FIX_START
140166,FIX_END
140183,STIM_START
140450,STIM_END
140949,RESP_START
144916,RESP_END
144916,TRIAL_END 18
144916,TRIALID 19
144919,FIX_START
145416,FIX_END
145433,STIM_START
145684,STIM_END
146183,RESP_START
147900,RESP_END
147900,TRIAL_END 19
147900,TRIALID 20
152770,FIX_START
153768,FIX_END
153784,STIM_START
154034,STIM_END
154534,RESP_START
156535,RESP_END
156535,TRIAL_END 20
156535,TRIALID 21
156537,FIX_START
157035,FIX_END
157051,STIM_START
157318,STIM_END
157818,RESP_START
161485,RESP_END
161485,TRIAL_END 21
161485,TRIALID 22
161488,FIX_START
161985,FIX_END
162002,STIM_START
162269,STIM_END
162769,RESP_START
166669,RESP_END
166669,TRIAL_END 22
166669,TRIALID 23
166672,FIX_START
167169,FIX_END
167186,STIM_START
167452,STIM_END
167953,RESP_START
170186,RESP_END
170186,TRIAL_END 23
170186,TRIALID 24
170188,FIX_START
170686,FIX_END
170703,STIM_START
170969,STIM_END
171470,RESP_START
173487,RESP_END
173487,TRIAL_END 24
173487,TRIALID 25
173489,FIX_START
173987,FIX_END
174004,STIM_START
174254,STIM_END
174753,RESP_START
177504,RESP_END
177504,TRIAL_END 25
177504,TRIALID 26
177507,FIX_START
178003,FIX_END
178020,STIM_START
178287,STIM_END
178787,RESP_START
181121,RESP_END
181121,TRIAL_END 26
181121,TRIALID 27
181124,FIX_START
181621,FIX_END
181637,STIM_START
181888,STIM_END
182387,RESP_START
184922,RESP_END
184922,TRIAL_END 27
184922,TRIALID 28
184924,FIX_START
185421,FIX_END
185438,STIM_START
185688,STIM_END
186188,RESP_START
188088,RESP_END
188088,TRIAL_END 28
188088,TRIALID 29
188091,FIX_START
188589,FIX_END
188605,STIM_START
188872,STIM_END
189372,RESP_START
192055,RESP_END
192055,TRIAL_END 29
192055,TRIALID 30
192058,FIX_START
192556,FIX_END
192572,STIM_START
192839,STIM_END
193339,RESP_START
197023,RESP_END
197023,TRIAL_END 30
197023,TRIALID 31
197026,FIX_START
197523,FIX_END
197540,STIM_START
197790,STIM_END
198289,RESP_START
201374,RESP_END
201374,TRIAL_END 31
201374,TRIALID 32
201376,FIX_START
201874,FIX_END
201890,STIM_START
202140,STIM_END
202640,RESP_START
207974,RESP_END
207974,TRIAL_END 32
207974,TRIALID 33
207976,FIX_START
208474,FIX_END
208491,STIM_START
208758,STIM_END
209258,RESP_START
212024,RESP_END
212024,TRIAL_END 33
212024,TRIALID 34
212027,FIX_START
212525,FIX_END
212541,STIM_START
212808,STIM_END
213308,RESP_START
215242,RESP_END
215242,TRIAL_END 34
215242,TRIALID 35
215244,FIX_START
215742,FIX_END
215759,STIM_START
216009,STIM_END
216509,RESP_START
220126,RESP_END
220126,TRIAL_END 35
220126,TRIALID 36
220128,FIX_START
220626,FIX_END
220643,STIM_START
220892,STIM_END
221392,RESP_START
225643,RESP_END
225643,TRIAL_END 36
225643,TRIALID 37
225646,FIX_START
226143,FIX_END
226160,STIM_START
226410,STIM_END
226910,RESP_START
229294,RESP_END
229294,TRIAL_END 37
229294,TRIALID 38
229296,FIX_START
229794,FIX_END
229811,STIM_START
230061,STIM_END
230561,RESP_START
233427,RESP_END
233427,TRIAL_END 38
233427,TRIALID 39
233429,FIX_START
234428,FIX_END
234444,STIM_START
234694,STIM_END
235195,RESP_START
237811,RESP_END
237811,TRIAL_END 39
237811,TRIALID 40
242950,FIX_START
243445,FIX_END
243462,STIM_START
243712,STIM_END
244212,RESP_START
246579,RESP_END
246579,TRIAL_END 40
246579,TRIALID 41
246582,FIX_START
247579,FIX_END
247596,STIM_START
247863,STIM_END
248363,RESP_START
250346,RESP_END
250346,TRIAL_END 41
250346,TRIALID 42
250348,FIX_START
250846,FIX_END
250863,STIM_START
251129,STIM_END
251630,RESP_START
253263,RESP_END
253263,TRIAL_END 42
253263,TRIALID 43
253265,FIX_START
253763,FIX_END
253780,STIM_START
254030,STIM_END
254530,RESP_START
257481,RESP_END
257481,TRIAL_END 43
257481,TRIALID 44
257483,FIX_START
257981,FIX_END
257997,STIM_START
258264,STIM_END
258764,RESP_START
261048,RESP_END
261048,TRIAL_END 44
261048,TRIALID 45
261051,FIX_START
261548,FIX_END
261564,STIM_START
261831,STIM_END
262331,RESP_START
265198,RESP_END
265198,TRIAL_END 45
265198,TRIALID 46
265200,FIX_START
266198,FIX_END
266215,STIM_START
266482,STIM_END
266982,RESP_START
269015,RESP_END
269015,TRIAL_END 46
269015,TRIALID 47
269018,FIX_START
269515,FIX_END
269532,STIM_START
269799,STIM_END
270299,RESP_START
274100,RESP_END
274100,TRIAL_END 47
274100,TRIALID 48
274102,FIX_START
275099,FIX_END
275116,STIM_START
275366,STIM_END
275866,RESP_START
282001,RESP_END
282001,TRIAL_END 48
282001,TRIALID 49
282003,FIX_START
282501,FIX_END
282517,STIM_START
282784,STIM_END
283284,RESP_START
285701,RESP_END
285701,TRIAL_END 49
285701,TRIALID 50
285703,FIX_START
286701,FIX_END
286717,STIM_START
286984,STIM_END
287484,RESP_START
289701,RESP_END
289701,TRIAL_END 50
289701,TRIALID 51
289704,FIX_START
290201,FIX_END
290218,STIM_START
290468,STIM_END
290968,RESP_START
293168,RESP_END
293168,TRIAL_END 51
293168,TRIALID 52
293171,FIX_START
293668,FIX_END
293685,STIM_START
293952,STIM_END
294452,RESP_START
296802,RESP_END
296802,TRIAL_END 52
296802,TRIALID 53
296804,FIX_START
297802,FIX_END
297819,STIM_START
298086,STIM_END
298585,RESP_START
301886,RESP_END
301886,TRIAL_END 53
301886,TRIALID 54
301888,FIX_START
302386,FIX_END
302403,STIM_START
302653,STIM_END
303153,RESP_START
305836,RESP_END
305836,TRIAL_END 54
305836,TRIALID 55
305839,FIX_START
306337,FIX_END
306353,STIM_START
306620,STIM_END
307120,RESP_START
309153,RESP_END
309153,TRIAL_END 55
309153,TRIALID 56
309155,FIX_START
310154,FIX_END
310170,STIM_START
310437,STIM_END
310937,RESP_START
313404,RESP_END
313404,TRIAL_END 56
313404,TRIALID 57
313407,FIX_START
314404,FIX_END
314421,STIM_START
314671,STIM_END
315170,RESP_START
317305,RESP_END
317305,TRIAL_END 57
317305,TRIALID 58
317307,FIX_START
317805,FIX_END
317821,STIM_START
318088,STIM_END
318588,RESP_START
321155,RESP_END
321155,TRIAL_END 58
321155,TRIALID 59
321157,FIX_START
322155,FIX_END
322172,STIM_START
322439,STIM_END
322939,RESP_START
326689,RESP_END
326689,TRIAL_END 59
326689,TRIALID 60
331610,FIX_START
332607,FIX_END
332623,STIM_START
332890,STIM_END
333390,RESP_START
336290,RESP_END
336290,TRIAL_END 60
336290,TRIALID 61
336292,FIX_START
336790,FIX_END
336807,STIM_START
337073,STIM_END
337573,RESP_START
339474,RESP_END
339474,TRIAL_END 61
339474,TRIALID 62
339476,FIX_START
339974,FIX_END
339991,STIM_START
340258,STIM_END
340758,RESP_START
344175,RESP_END
344175,TRIAL_END 62
344175,TRIALID 63
344177,FIX_START
344675,FIX_END
344691,STIM_START
344941,STIM_END
345441,RESP_START
347558,RESP_END
347558,TRIAL_END 63
347558,TRIALID 64
347560,FIX_START
348058,FIX_END
348075,STIM_START
348325,STIM_END
348825,RESP_START
351342,RESP_END
351342,TRIAL_END 64
351342,TRIALID 65
351345,FIX_START
351842,FIX_END
351859,STIM_START
352109,STIM_END
352609,RESP_START
354343,RESP_END
354343,TRIAL_END 65
354343,TRIALID 66
354345,FIX_START
354843,FIX_END
354859,STIM_START
355110,STIM_END
355609,RESP_START
357160,RESP_END
357160,TRIAL_END 66
357160,TRIALID 67
357162,FIX_START
357660,FIX_END
357676,STIM_START
357926,STIM_END
358426,RESP_START
360660,RESP_END
360660,TRIAL_END 67
360660,TRIALID 68
360662,FIX_START
361160,FIX_END
361177,STIM_START
361443,STIM_END
361943,RESP_START
364927,RESP_END
364927,TRIAL_END 68
364927,TRIALID 69
364929,FIX_START
365427,FIX_END
365444,STIM_START
365711,STIM_END
366210,RESP_START
367994,RESP_END
367994,TRIAL_END 69
367994,TRIALID 70
367997,FIX_START
368494,FIX_END
368511,STIM_START
368778,STIM_END
369278,RESP_START
372311,RESP_END
372311,TRIAL_END 70
372311,TRIALID 71
372314,FIX_START
372811,FIX_END
