trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
1,1300534,1301540,,1353012.0,1301557,1301807,1302308,1329976
2,1329978,1331477,,1398550.0,1331493,1331760,1332260,1350996
3,1350998,1353262,,1410067.0,1353279,1353529,1354029,1361630
4,1361632,1362129,,1463406.0,1362146,1362413,1362913,1373647
5,1373651,1374148,,1708829.0,1374164,1374431,1374931,1381266
6,1381268,1382265,,1805872.0,1382281,1382548,1383048,1386848
7,1386850,1387849,,1817873.0,1387865,1388132,1388632,1396049
8,1396051,1398800,,1843692.0,1398816,1399066,1399566,1408067
9,1408069,1410317,,1864828.0,1410334,1410601,1411101,1417651
10,1417654,1418152,,1938101.0,1418168,1418435,1418935,1427285
11,1427287,1428285,,1974805.0,1428302,1428569,1429069,1441070
12,1441072,1441570,,2011892.0,1441587,1441837,1442337,1449071
13,1449073,1449571,,2020009.0,1449588,1449855,1450355,1454555
14,1454557,1455555,,2063463.0,1455572,1455838,1456339,1461405
15,1461407,1463656,,2079465.0,1463672,1463923,1464423,1467706
16,1467708,1468706,,2174508.0,1468723,1468989,1469490,1484624
17,1484626,1485624,,2279167.0,1485641,1485908,1486408,1490208
18,1490210,1490708,,2303069.0,1490725,1490975,1491475,1496875
19,1496877,1497876,,2348374.0,1497892,1498143,1498643,1503592
20,1512403,1513411,,2358292.0,1513427,1513694,1514194,1518411
21,1518413,1518911,,2365025.0,1518928,1519195,1519695,1522911
22,1522913,1523911,,2436782.0,1523928,1524195,1524695,1533379
23,1533381,1534379,,2480370.0,1534396,1534646,1535146,1540029
24,1540031,1540530,,2486987.0,1540546,1540797,1541297,1548197
25,1548199,1549197,,2543276.0,1549214,1549464,1549964,1557348
26,1557350,1558349,,2560211.0,1558365,1558631,1559131,1563515
27,1563517,1564515,,2593114.0,1564532,1564782,1565282,1573199
28,1573201,1573700,,2607665.0,1573716,1573983,1574483,1577001
29,1577003,1578000,,2634534.0,1578016,1578283,1578784,1583300
30,1583303,1584301,,2647169.0,1584317,1584584,1585084,1587551
31,1587553,1588551,,2674205.0,1588568,1588834,1589334,1594135
32,1594137,1595135,,2712392.0,1595152,1595401,1595902,1602368
33,1602370,1603869,,2734528.0,1603886,1604136,1604636,1610353
34,1610354,1611353,,2764630.0,1611370,1611637,1612137,1614620
35,1614622,1615120,,2803867.0,1615137,1615404,1615904,1617720
36,1617722,1618221,,2863223.0,1618237,1618487,1618987,1627721
37,1627723,1628222,,2875791.0,1628238,1628489,1628989,1633622
38,1633624,1634123,,2890076.0,1634139,1634389,1634889,1640539
39,1640541,1641040,,2895809.0,1641056,1641323,1641823,1646773
40,1652787,1653790,,2907560.0,1653807,1654057,1654557,1658690
41,1658692,1659191,,2915395.0,1659208,1659475,1659975,1667675
42,1667677,1668175,,2931580.0,1668192,1668459,1668959,1677243
43,1677244,1677743,,2967733.0,1677760,1678026,1678526,1682610
44,1682612,1683110,,2971784.0,1683127,1683393,1683893,1687460
45,1687462,1688460,,2976700.0,1688477,1688744,1689244,1695861
46,1695863,1696861,,3002570.0,1696878,1697128,1697628,1700962
47,1700963,1702462,,3010887.0,1702479,1702729,1703229,1706329
48,1706331,1709080,,3022572.0,1709096,1709362,1709863,1713946
49,1713948,1714946,,3027239.0,1714963,1715213,1715713,1719680
50,1719682,1720680,,3044841.0,1720697,1720948,1721447,1724597
51,1724599,1726097,,3059241.0,1726114,1726381,1726881,1729981
52,1729983,1730982,,3088811.0,1730998,1731265,1731765,1735415
53,1735417,1736416,,3092862.0,1736432,1736699,1737198,1741699
54,1741701,1742699,,3103429.0,1742716,1742982,1743483,1748916
55,1748918,1749917,,3139766.0,1749933,1750200,1750700,1756700
56,1756702,1757701,,3144584.0,1757717,1757967,1758468,1764268
57,1764269,1765268,,3152167.0,1765285,1765535,1766035,1768785
58,1768787,1769785,,3158734.0,1769802,1770068,1770568,1773736
59,1773738,1774236,,3180737.0,1774252,1774502,1775002,1778086
60,1783336,1784337,,3187404.0,1784353,1784620,1785120,1788136
61,1788138,1789637,,3192121.0,1789653,1789904,1790404,1793120
62,1793122,1794121,,3231575.0,1794137,1794387,1794887,1803371
63,1803373,1806122,,3249960.0,1806139,1806389,1806889,1810455
64,1810457,1811456,,3261645.0,1811472,1811723,1812222,1814872
65,1814874,1818123,,3309800.0,1818140,1818406,1818906,1824707
66,1824709,1825707,,3335935.0,1825724,1825990,1826490,1829474
67,1829476,1830475,,3359404.0,1830491,1830757,1831258,1835208
68,1835210,1836208,,3371072.0,1836225,1836492,1836992,1841191
69,1841193,1843942,,3375672.0,1843959,1844226,1844726,1848942
70,1848944,1849943,,3381573.0,1849959,1850209,1850710,1856193
71,1856195,1857194,,3385640.0,1857210,1857460,1857961,1861827
72,1861829,1865077,,3392307.0,1865094,1865344,1865844,1868427
73,1868429,1868928,,3404392.0,1868944,1869211,1869711,1873594
74,1873596,1874095,,3429794.0,1874112,1874362,1874862,1878028
75,1878030,1879029,,3434311.0,1879046,1879312,1879812,1882745
76,1882747,1883246,,3445845.0,1883262,1883529,1884029,1889313
77,1889315,1889813,,3486282.0,1889830,1890080,1890580,1896197
78,1896199,1897197,,3499784.0,1897214,1897481,1897981,1901497
79,1901499,1902498,,3510135.0,1902514,1902765,1903265,1905748
80,1911196,1912198,,3527803.0,1912215,1912482,1912982,1917532
81,1917534,1918033,,3547555.0,1918049,1918316,1918816,1921333
82,1921335,1921833,,3561107.0,1921850,1922100,1922600,1925883
83,1925886,1926383,,3565207.0,1926400,1926650,1927150,1929567
84,1929569,1930567,,3597610.0,1930584,1930834,1931334,1934101
85,1934102,1938351,,3609094.0,1938368,1938618,1939118,1944285
86,1944287,1945285,,3617896.0,1945302,1945552,1946052,1949468
87,1949470,1950469,,3635313.0,1950486,1950736,1951236,1953786
88,1953788,1954786,,,1954803,1955069,1955569,1960269
89,1960271,1960770,,,1960787,1961037,1961537,1964353
90,1964355,1965354,,,1965371,1965621,1966121,1968804
91,1968806,1975055,,,1975072,1975338,1975838,1978005
92,1978007,1979005,,,1979022,1979272,1979772,1982189
93,1982190,1983689,,,1983706,1983972,1984472,1987339
94,1987341,1988839,,,1988856,1989106,1989606,1992573
95,1992575,1993573,,,1993590,1993840,1994340,1996724
96,1996726,1998224,,,1998240,1998490,1998990,2002340
97,2002342,2003341,,,2003357,2003608,2004108,2006891
98,2006893,2012142,,,2012158,2012408,2012908,2018009
99,2018011,2020259,,,2020276,2020542,2021042,2023593
100,2028593,2029594,,,2029610,2029877,2030377,2032993
101,2032995,2033494,,,2033510,2033761,2034260,2037327
102,2037330,2038328,,,2038344,2038611,2039111,2046911
103,2046913,2047912,,,2047928,2048195,2048695,2053395
104,2053398,2053896,,,2053912,2054179,2054679,2056612
105,2056614,2058113,,,2058129,2058379,2058879,2061463
106,2061465,2063713,,,2063730,2063980,2064480,2069080
107,2069082,2070080,,,2070097,2070364,2070864,2075464
108,2075466,2079715,,,2079731,2079981,2080482,2084281
109,2084283,2084782,,,2084799,2085065,2085565,2088749
110,2088751,2090249,,,2090266,2090533,2091033,2094800
111,2094802,2095300,,,2095316,2095566,2096067,2099117
112,2099119,2100117,,,2100133,2100384,2100884,2105467
113,2105469,2105967,,,2105984,2106251,2106751,2110751
114,2110753,2111751,,,2111768,2112034,2112535,2115485
115,2115487,2116985,,,2117002,2117268,2117769,2119819
116,2119821,2120319,,,2120336,2120585,2121085,2123802
117,2123804,2124302,,,2124319,2124569,2125069,2129569
118,2129572,2130570,,,2130587,2130853,2131353,2135903
119,2135905,2136403,,,2136420,2136670,2137170,2141437
120,2146378,2147871,,,2147888,2148139,2148638,2150755
121,2150757,2151755,,,2151772,2152022,2152522,2157505
122,2157507,2158506,,,2158522,2158772,2159272,2161922
123,2161925,2163423,,,2163440,2163689,2164189,2166140
124,2166142,2167140,,,2167157,2167424,2167923,2171507
125,2171509,2174757,,,2174774,2175041,2175541,2179291
126,2179294,2180291,,,2180308,2180575,2181075,2184175
127,2184177,2184675,,,2184692,2184942,2185442,2187509
128,2187510,2188509,,,2188525,2188775,2189276,2192809
129,2192811,2193809,,,2193826,2194076,2194576,2198059
130,2198061,2199060,,,2199076,2199343,2199843,2204160
131,2204162,2205160,,,2205177,2205444,2205944,2210644
132,2210646,2211644,,,2211661,2211911,2212411,2218095
133,2218097,2219595,,,2219612,2219878,2220378,2224745
134,2224747,2225745,,,2225762,2226029,2226528,2230145
135,2230147,2231146,,,2231163,2231429,2231929,2235746
136,2235748,2236746,,,2236763,2237030,2237530,2240496
137,2240498,2241497,,,2241514,2241780,2242280,2244780
138,2244782,2245781,,,2245797,2246048,2246548,2249014
139,2249016,2250015,,,2250031,2250281,2250781,2255798
140,2260426,2261432,,,2261449,2261716,2262216,2267432
141,2267434,2268433,,,2268450,2268700,2269200,2272316
142,2272318,2273817,,,2273833,2274083,2274584,2277167
143,2277169,2279417,,,2279434,2279684,2280184,2284951
144,2284953,2285951,,,2285968,2286218,2286718,2296485
145,2296487,2297485,,,2297502,2297769,2298269,2301069
146,2301071,2303320,,,2303336,2303603,2304103,2309403
147,2309405,2310404,,,2310420,2310687,2311187,2313370
148,2313372,2314371,,,2314387,2314637,2315137,2318071
149,2318073,2319071,,,2319088,2319355,2319855,2321921
150,2321923,2322921,,,2322938,2323205,2323705,2325455
151,2325457,2326455,,,2326472,2326722,2327222,2334239
152,2334241,2335739,,,2335756,2336023,2336523,2341156
