trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
1,1461631,1464892,,1464642.0,1464908,1465159,1465659,1482943
2,1482945,1483444,,1574836.0,1483460,1483710,1484210,1489545
3,1489547,1490045,,1764787.0,1490061,1490311,1490811,1503796
4,1503798,1504296,,2003227.0,1504312,1504562,1505062,1515947
5,1515950,1516447,,2022162.0,1516464,1516730,1517231,1523249
6,1523251,1523748,,2206113.0,1523764,1524031,1524531,1561401
7,1561403,1562401,,2368795.0,1562418,1562684,1563185,1568185
8,1568187,1568685,,2644404.0,1568702,1568952,1569452,1572335
9,1572337,1575086,,2680208.0,1575102,1575352,1575852,1579436
10,1579438,1579936,,2785118.0,1579953,1580203,1580703,1582869
11,1582871,1583370,,3076412.0,1583386,1583653,1584153,1588503
12,1588505,1589004,,3201591.0,1589020,1589287,1589787,1593255
13,1593257,1593754,,3304118.0,1593770,1594038,1594537,1598371
14,1598373,1599871,,,1599888,1600155,1600655,1603138
15,1603140,1604138,,,1604155,1604422,1604922,1607039
16,1607041,1607539,,,1607555,1607805,1608306,1610989
17,1610991,1611489,,,1611506,1611756,1612256,1614806
18,1614808,1615306,,,1615322,1615573,1616073,1618906
19,1618909,1619406,,,1619423,1619690,1620190,1623357
20,1630166,1631158,,,1631175,1631441,1631941,1635091
21,1635094,1635592,,,1635608,1635875,1636375,1638142
22,1638144,1638642,,,1638659,1638925,1639425,1643692
23,1643694,1644192,,,1644209,1644459,1644959,1648059
24,1648061,1648559,,,1648576,1648842,1649343,1652526
25,1652528,1653027,,,1653043,1653310,1653810,1655976
26,1655979,1656477,,,1656493,1656743,1657243,1664412
27,1664413,1664911,,,1664927,1665194,1665694,1667927
28,1667929,1668428,,,1668445,1668695,1669195,1671311
29,1671313,1671812,,,1671828,1672079,1672579,1675345
30,1675347,1675845,,,1675862,1676129,1676629,1681679
31,1681681,1682179,,,1682196,1682462,1682963,1685796
32,1685798,1686296,,,1686313,1686563,1687063,1689229
33,1689231,1689730,,,1689746,1689996,1690497,1692847
34,1692849,1693347,,,1693364,1693614,1694114,1695980
35,1695982,1696481,,,1696498,1696764,1697264,1699797
36,1699799,1700298,,,1700314,1700564,1701064,1703498
37,1703499,1704498,,,1704515,1704781,1705282,1707832
38,1707833,1708332,,,1708348,1708598,1709099,1712632
39,1712634,1713132,,,1713148,1713416,1713915,1716516
40,1722254,1723250,,,1723266,1723533,1724033,1726800
41,1726802,1727300,,,1727316,1727566,1728067,1731100
42,1731102,1731600,,,1731617,1731867,1732367,1734734
43,1734736,1735734,,,1735751,1736001,1736501,1739468
44,1739470,1739968,,,1739985,1740235,1740735,1743001
45,1743003,1743502,,,1743519,1743785,1744285,1745968
46,1745970,1746468,,,1746486,1746735,1747236,1749835
47,1749837,1750336,,,1750352,1750602,1751102,1753819
48,1753821,1754319,,,1754336,1754586,1755086,1758253
49,1758255,1758753,,,1758770,1759036,1759536,1762287
50,1762289,1765037,,,1765054,1765320,1765821,1768054
51,1768056,1768554,,,1768571,1768821,1769321,1771954
52,1771956,1772454,,,1772471,1772738,1773238,1775888
53,1775890,1776388,,,1776405,1776655,1777155,1779438
54,1779440,1779938,,,1779955,1780205,1780705,1782572
55,1782574,1783072,,,1783089,1783339,1783839,1787239
56,1787241,1787739,,,1787756,1788022,1788523,1790839
57,1790841,1791340,,,1791356,1791607,1792106,1796140
58,1796142,1796640,,,1796657,1796924,1797424,1800374
59,1800376,1800874,,,1800891,1801157,1801657,1803707
60,1809725,1810725,,,1810741,1811008,1811508,1818642
61,1818644,1819142,,,1819159,1819409,1819909,1821626
62,1821628,1822126,,,1822143,1822393,1822893,1827493
63,1827495,1827993,,,1828010,1828259,1828760,1834110
64,1834112,1834610,,,1834627,1834877,1835377,1837327
65,1837329,1837827,,,1837844,1838111,1838611,1842861
66,1842862,1843361,,,1843378,1843644,1844144,1854078
67,1854080,1855079,,,1855096,1855362,1855862,1858263
68,1858265,1858763,,,1858780,1859030,1859530,1861863
69,1861864,1862863,,,1862880,1863130,1863630,1866413
70,1866415,1866914,,,1866931,1867180,1867680,1870314
71,1870316,1870814,,,1870831,1871080,1871580,1873814
72,1873816,1874814,,,1874831,1875098,1875598,1878014
73,1878016,1878514,,,1878531,1878798,1879298,1881198
74,1881200,1881699,,,1881715,1881965,1882465,1884398
75,1884400,1884899,,,1884915,1885182,1885682,1887482
76,1887484,1887982,,,1887999,1888266,1888766,1890583
77,1890585,1891583,,,1891599,1891866,1892366,1894066
78,1894068,1894566,,,1894583,1894850,1895350,1897766
79,1897768,1898267,,,1898283,1898533,1899033,1901200
80,1908576,1909084,,,1909101,1909368,1909868,1913218
81,1913220,1913718,,,1913735,1913985,1914485,1916518
82,1916520,1917019,,,1917035,1917285,1917785,1919785
83,1919787,1920286,,,1920302,1920569,1921069,1926503
84,1926505,1927003,,,1927019,1927269,1927769,1930036
85,1930038,1930536,,,1930553,1930819,1931320,1934186
86,1934188,1934687,,,1934703,1934953,1935453,1938103
87,1938105,1938604,,,1938620,1938887,1939387,1943120
88,1943122,1943620,,,1943637,1943904,1944404,1946804
89,1946806,1947304,,,1947321,1947572,1948072,1950155
90,1950157,1951155,,,1951171,1951422,1951921,1954654
