tSample,LX,LY,LPupil,RX,RY,RPupil
1778832,1195.4,1100.1,693.0,,,
1778836,1195.7,1098.3,690.0,,,
1778840,1195.6,1095.2,687.0,,,
1778844,1195.4,1091.8,684.0,,,
1778848,1194.8,1090.7,681.0,,,
1778852,1194.0,1091.8,678.0,,,
1778856,1193.8,1094.0,676.0,,,
1778860,1194.9,1097.2,675.0,,,
1778864,1196.2,1099.9,673.0,,,
1778868,1197.6,1102.3,671.0,,,
1778872,1197.6,1104.5,670.0,,,
1778876,1197.3,1105.1,668.0,,,
1778880,1197.0,1105.8,666.0,,,
1778884,1196.9,1106.2,664.0,,,
1778888,1198.1,1106.8,662.0,,,
1778892,1199.6,1108.7,660.0,,,
1778896,1200.7,1111.1,659.0,,,
1778900,1201.3,1112.1,657.0,,,
1778904,1200.4,1112.9,655.0,,,
1778908,1199.9,1112.5,653.0,,,
1778912,1199.3,1109.3,651.0,,,
1778916,1198.1,1105.0,650.0,,,
1778920,1197.2,1100.3,649.0,,,
1778924,1197.0,1098.8,648.0,,,
1778928,1197.6,1103.2,648.0,,,
1778932,1198.2,1110.4,647.0,,,
1778936,1196.9,1116.0,645.0,,,
1778940,1194.1,1119.6,643.0,,,
1778944,1190.0,1119.1,641.0,,,
1778948,1191.1,1119.1,640.0,,,
1778952,1208.6,1122.7,639.0,,,
1778956,1253.2,1129.2,638.0,,,
1778960,1330.2,1130.8,635.0,,,
1778964,1437.6,1119.1,630.0,,,
1778968,1559.2,1095.4,622.0,,,
1778972,1687.8,1068.2,611.0,,,
1778976,1810.4,1048.7,602.0,,,
1778980,1935.4,1038.6,592.0,,,
1778984,2062.9,1036.5,585.0,,,
1778988,2184.5,1040.4,580.0,,,
1778992,2295.9,1046.0,574.0,,,
1778996,2392.2,1052.9,571.0,,,
1779000,2478.4,1057.2,569.0,,,
1779004,2558.8,1057.1,567.0,,,
1779008,2617.6,1057.8,566.0,,,
1779012,2649.5,1058.9,564.0,,,
1779016,2650.9,1060.6,563.0,,,
1779020,2634.5,1062.2,561.0,,,
1779024,2615.0,1063.0,559.0,,,
1779028,2595.5,1063.5,557.0,,,
1779032,2582.6,1063.8,555.0,,,
1779036,2574.1,1064.1,554.0,,,
1779040,2565.7,1065.0,554.0,,,
1779044,2559.3,1066.8,553.0,,,
1779048,2553.3,1068.9,553.0,,,
1779052,2548.3,1073.3,553.0,,,
1779056,2544.8,1076.9,553.0,,,
1779060,2541.7,1080.0,552.0,,,
1779064,2538.7,1081.4,549.0,,,
1779068,2535.7,1080.5,547.0,,,
1779072,2532.8,1078.7,545.0,,,
1779076,2530.5,1075.9,545.0,,,
1779080,2533.7,1073.1,545.0,,,
1779084,2547.5,1071.3,545.0,,,
1779088,2581.5,1072.6,543.0,,,
1779092,2634.2,1076.2,540.0,,,
1779096,2698.2,1080.1,538.0,,,
1779100,2760.3,1086.2,537.0,,,
1779104,2813.8,1090.9,536.0,,,
1779108,2856.2,1095.1,534.0,,,
1779112,2889.1,1099.9,533.0,,,
1779116,2912.2,1102.3,531.0,,,
1779120,2924.3,1104.9,530.0,,,
1779124,2924.4,1105.9,530.0,,,
1779128,2917.8,1105.6,530.0,,,
1779132,2907.5,1104.8,529.0,,,
1779136,2897.2,1104.5,527.0,,,
1779140,2889.7,1104.7,526.0,,,
1779144,2885.8,1105.4,525.0,,,
1779148,2883.4,1106.1,524.0,,,
1779152,2882.2,1106.6,524.0,,,
1779156,2880.8,1107.2,523.0,,,
1779160,2879.3,1108.7,523.0,,,
1779164,2878.0,1110.9,522.0,,,
1779168,2877.1,1113.8,521.0,,,
1779172,2876.3,1116.3,520.0,,,
1779176,2875.8,1118.0,520.0,,,
1779180,2875.6,1118.7,519.0,,,
1779184,2875.6,1118.8,519.0,,,
1779188,2875.6,1118.6,519.0,,,
1779192,2875.7,1118.6,518.0,,,
1779196,2875.8,1119.7,517.0,,,
1779200,2876.1,1122.6,516.0,,,
1779204,2875.6,1126.2,515.0,,,
1779208,2874.1,1128.9,514.0,,,
1779212,2872.5,1130.2,513.0,,,
1779216,2871.4,1130.3,511.0,,,
1779220,2872.4,1130.6,509.0,,,
1779224,2873.9,1129.9,509.0,,,
1779228,2875.6,1127.8,508.0,,,
1779232,2876.7,1125.7,507.0,,,
1779236,2877.1,1124.0,506.0,,,
1779240,2876.5,1124.4,505.0,,,
1779244,2875.9,1125.3,505.0,,,
1779248,2876.1,1126.3,504.0,,,
1779252,2877.3,1128.4,504.0,,,
1779256,2878.9,1130.1,503.0,,,
1779260,2880.1,1131.4,503.0,,,
1779264,2881.0,1132.7,502.0,,,
1779268,2881.9,1133.2,501.0,,,
1779272,2883.1,1134.4,500.0,,,
1779276,2884.1,1135.1,499.0,,,
1779280,2884.8,1135.6,498.0,,,
1779284,2885.3,1137.6,497.0,,,
1779288,2885.0,1140.5,496.0,,,
1779292,2883.3,1143.2,496.0,,,
1779296,2881.7,1145.3,495.0,,,
1779300,2880.4,1145.6,494.0,,,
1779304,2880.7,1145.4,494.0,,,
1779308,2882.0,1144.7,493.0,,,
1779312,2883.7,1143.9,493.0,,,
1779316,2886.1,1144.1,492.0,,,
1779320,2888.3,1144.2,492.0,,,
1779324,2890.2,1143.9,493.0,,,
1779328,2886.5,1142.7,495.0,,,
1779332,2868.3,1141.1,500.0,,,
1779336,2826.0,1145.0,506.0,,,
1779340,2753.1,1169.5,512.0,,,
1779344,2656.5,1207.7,514.0,,,
1779348,2546.2,1258.2,514.0,,,
1779352,2441.7,1304.4,513.0,,,
1779356,2356.9,1337.5,511.0,,,
1779360,2298.8,1359.5,509.0,,,
1779364,2269.2,1368.2,507.0,,,
1779368,2259.7,1370.8,505.0,,,
1779372,2264.4,1371.1,503.0,,,
1779376,2274.7,1369.4,501.0,,,
1779380,2287.8,1365.7,500.0,,,
1779384,2299.0,1359.3,500.0,,,
1779388,2309.2,1352.6,499.0,,,
1779392,2318.6,1348.1,498.0,,,
1779396,2326.8,1344.0,497.0,,,
1779400,2333.2,1341.7,495.0,,,
1779404,2338.3,1339.4,494.0,,,
1779408,2342.8,1338.0,493.0,,,
1779412,2346.0,1338.0,492.0,,,
1779416,2348.7,1337.7,492.0,,,
1779420,2350.3,1336.4,491.0,,,
1779424,2351.2,1335.4,490.0,,,
1779428,2352.2,1334.9,489.0,,,
1779432,2352.7,1335.2,488.0,,,
1779436,2352.5,1335.5,488.0,,,
1779440,2352.3,1335.3,486.0,,,
1779444,2352.3,1335.6,485.0,,,
1779448,2352.9,1336.1,484.0,,,
1779452,2353.4,1336.2,484.0,,,
1779456,2353.9,1335.4,484.0,,,
1779460,2355.6,1334.3,484.0,,,
1779464,2357.4,1333.2,484.0,,,
1779468,2360.0,1331.8,484.0,,,
1779472,2362.1,1330.7,484.0,,,
1779476,2363.2,1329.0,483.0,,,
1779480,2364.0,1327.4,483.0,,,
1779484,2364.0,1326.7,482.0,,,
1779488,2363.9,1327.8,482.0,,,
1779492,2363.9,1329.3,481.0,,,
1779496,2364.1,1330.7,481.0,,,
1779500,2364.5,1330.0,481.0,,,
1779504,2365.5,1329.0,482.0,,,
1779508,2366.9,1327.6,482.0,,,
1779512,2367.3,1326.1,484.0,,,
1779516,2355.0,1323.4,487.0,,,
1779520,2315.7,1314.8,493.0,,,
1779524,2247.0,1304.2,500.0,,,
1779528,2149.9,1291.4,506.0,,,
1779532,2044.0,1278.3,510.0,,,
1779536,1939.7,1269.9,514.0,,,
1779540,1845.7,1262.0,518.0,,,
1779544,1764.7,1256.9,522.0,,,
1779548,1706.3,1257.2,527.0,,,
1779552,1664.6,1261.1,529.0,,,
1779556,1644.7,1270.1,531.0,,,
1779560,1639.0,1277.7,531.0,,,
1779564,1646.6,1282.3,531.0,,,
1779568,1660.8,1282.6,530.0,,,
1779572,1676.8,1281.0,529.0,,,
1779576,1687.1,1278.9,529.0,,,
1779580,1694.1,1277.5,529.0,,,
1779584,1701.2,1276.5,529.0,,,
1779588,1708.5,1275.5,529.0,,,
1779592,1715.2,1274.6,530.0,,,
1779596,1719.8,1274.1,531.0,,,
1779600,1722.6,1274.0,531.0,,,
1779604,1725.4,1274.7,532.0,,,
1779608,1727.8,1275.5,532.0,,,
1779612,1730.2,1276.0,532.0,,,
1779616,1732.5,1276.0,532.0,,,
1779620,1734.3,1275.6,532.0,,,
1779624,1736.3,1274.8,533.0,,,
1779628,1737.2,1274.3,534.0,,,
1779632,1738.0,1274.5,536.0,,,
1779636,1739.1,1275.2,537.0,,,
1779640,1740.0,1279.6,539.0,,,
1779644,1740.9,1284.5,539.0,,,
1779648,1741.5,1286.5,539.0,,,
1779652,1741.3,1285.9,540.0,,,
1779656,1741.8,1281.4,540.0,,,
1779660,1742.5,1279.5,540.0,,,
1779664,1743.6,1279.6,541.0,,,
1779668,1744.4,1280.4,541.0,,,
1779672,1744.6,1280.4,541.0,,,
1779676,1744.4,1281.5,543.0,,,
1779680,1744.0,1283.4,545.0,,,
1779684,1743.4,1285.5,548.0,,,
1779688,1742.6,1287.2,550.0,,,
1779692,1742.3,1286.6,551.0,,,
1779696,1742.3,1285.1,551.0,,,
1779700,1742.3,1285.3,552.0,,,
1779704,1741.8,1287.0,552.0,,,
1779708,1741.1,1290.5,553.0,,,
1779712,1740.8,1293.2,554.0,,,
1779716,1740.6,1292.6,555.0,,,
1779720,1741.0,1289.3,555.0,,,
1779724,1741.2,1286.3,555.0,,,
1779728,1741.5,1284.1,555.0,,,
1779732,1742.4,1282.3,555.0,,,
1779736,1744.1,1280.3,556.0,,,
1779740,1745.7,1277.6,556.0,,,
1779744,1747.0,1277.9,556.0,,,
1779748,1747.0,1279.9,556.0,,,
1779752,1746.4,1279.5,556.0,,,
1779756,1745.4,1277.1,557.0,,,
1779760,1744.0,1272.8,559.0,,,
1779764,1742.5,1270.2,560.0,,,
1779768,1741.4,1269.4,560.0,,,
1779772,1740.6,1268.9,562.0,,,
1779776,1739.9,1268.0,563.0,,,
1779780,1739.6,1267.3,565.0,,,
1779784,1739.2,1268.1,565.0,,,
1779788,1739.3,1268.4,566.0,,,
1779792,1739.6,1267.2,566.0,,,
1779796,1739.3,1263.8,566.0,,,
1779800,1738.4,1259.4,566.0,,,
1779804,1737.2,1257.4,567.0,,,
1779808,1736.2,1257.5,568.0,,,
1779812,1736.1,1258.4,569.0,,,
1779816,1736.2,1260.2,570.0,,,
1779820,1735.5,1262.4,572.0,,,
1779824,1733.4,1264.2,573.0,,,
1779828,1731.4,1264.3,574.0,,,
1779832,1729.9,1262.2,576.0,,,
1779836,1730.1,1259.4,577.0,,,
1779840,1731.0,1257.9,579.0,,,
1779844,1731.5,1257.1,581.0,,,
1779848,1730.6,1256.9,581.0,,,
1779852,1728.7,1259.0,582.0,,,
1779856,1727.4,1262.1,584.0,,,
1779860,1731.1,1265.8,586.0,,,
1779864,1741.8,1266.0,588.0,,,
1779868,1761.7,1251.8,590.0,,,
1779872,1791.1,1229.3,590.0,,,
1779876,1825.1,1190.7,588.0,,,
1779880,1860.0,1150.9,584.0,,,
1779884,1891.7,1108.0,581.0,,,
1779888,1917.4,1067.7,579.0,,,
1779892,1938.7,1031.4,582.0,,,
1779896,1951.5,1002.2,585.0,,,
1779900,1959.3,985.6,589.0,,,
1779904,1961.5,978.9,591.0,,,
1779908,1960.6,978.8,593.0,,,
1779912,1959.0,981.7,594.0,,,
1779916,1956.7,985.1,596.0,,,
1779920,1954.5,989.7,597.0,,,
1779924,1952.2,992.9,599.0,,,
1779928,1950.2,993.6,602.0,,,
1779932,1948.5,991.9,603.0,,,
1779936,1947.0,990.9,605.0,,,
1779940,1945.2,991.8,606.0,,,
1779944,1942.4,993.5,608.0,,,
1779948,1939.8,995.0,610.0,,,
1779952,1938.1,997.5,613.0,,,
1779956,1936.9,1001.5,615.0,,,
1779960,1936.2,1006.1,616.0,,,
1779964,1935.6,1009.2,616.0,,,
1779968,1935.8,1010.1,617.0,,,
1779972,1937.0,1010.3,619.0,,,
1779976,1938.3,1010.7,621.0,,,
1779980,1939.5,1011.3,622.0,,,
1779984,1939.9,1011.3,623.0,,,
1779988,1940.3,1008.3,623.0,,,
1779992,1940.3,1004.8,625.0,,,
1779996,1940.1,1002.1,627.0,,,
1780000,1940.2,1000.6,629.0,,,
1780004,1940.6,1002.7,631.0,,,
1780008,1941.3,1004.8,632.0,,,
1780012,1941.6,1008.5,632.0,,,
1780016,1941.2,1012.0,633.0,,,
1780020,1941.0,1013.8,634.0,,,
1780024,1941.1,1013.5,636.0,,,
1780028,1941.1,1010.7,638.0,,,
1780032,1941.0,1008.6,640.0,,,
1780036,1940.5,1009.1,642.0,,,
1780040,1939.7,1010.1,644.0,,,
1780044,1939.1,1010.6,645.0,,,
1780048,1938.8,1009.3,647.0,,,
1780052,1938.6,1007.6,648.0,,,
1780056,1938.4,1007.0,649.0,,,
1780060,1938.8,1009.2,650.0,,,
1780064,1939.5,1011.5,651.0,,,
1780068,1940.4,1012.9,652.0,,,
1780072,1941.2,1013.5,653.0,,,
1780076,1941.7,1013.5,654.0,,,
1780080,1942.1,1013.0,656.0,,,
1780084,1942.4,1012.3,658.0,,,
1780088,1942.5,1012.8,660.0,,,
1780092,1942.0,1014.9,662.0,,,
1780096,1941.7,1016.3,663.0,,,
1780100,1942.8,1017.4,664.0,,,
1780104,1944.6,1016.7,665.0,,,
1780108,1946.7,1015.3,666.0,,,
1780112,1948.1,1014.9,667.0,,,
1780116,1948.3,1013.8,667.0,,,
1780120,1948.5,1013.0,668.0,,,
1780124,1948.6,1012.2,669.0,,,
1780128,1948.5,1010.8,670.0,,,
1780132,1947.7,1011.7,672.0,,,
1780136,1945.8,1016.2,672.0,,,
1780140,1944.0,1020.9,673.0,,,
1780144,1942.6,1025.2,674.0,,,
1780148,1942.4,1025.4,676.0,,,
1780152,1942.8,1022.2,678.0,,,
1780156,1943.3,1016.1,680.0,,,
1780160,1943.5,1010.0,683.0,,,
1780164,1943.5,1005.0,685.0,,,
1780168,1943.3,1004.7,686.0,,,
1780172,1943.9,1006.9,687.0,,,
1780176,1944.9,1009.4,688.0,,,
1780180,1945.5,1011.3,689.0,,,
1780184,1945.6,1012.5,691.0,,,
1780188,1945.3,1012.3,691.0,,,
1780192,1945.5,1011.8,692.0,,,
1780196,1945.4,1011.1,694.0,,,
1780200,1944.9,1010.6,696.0,,,
1780204,1944.4,1008.6,697.0,,,
1780208,1944.6,1003.7,698.0,,,
1780212,1945.4,998.7,699.0,,,
1780216,1946.1,997.3,700.0,,,
1780220,1946.2,999.8,700.0,,,
1780224,1946.0,1001.2,701.0,,,
1780228,1945.8,1001.7,702.0,,,
1780232,1945.7,1000.5,703.0,,,
1780236,1945.5,1000.6,704.0,,,
1780240,1945.1,1002.0,705.0,,,
1780244,1944.2,1000.9,706.0,,,
1780248,1942.9,1000.2,708.0,,,
1780252,1941.5,1000.9,710.0,,,
1780256,1940.6,1000.9,713.0,,,
1780260,1940.7,1000.0,715.0,,,
1780264,1941.1,997.2,717.0,,,
1780268,1941.8,994.9,719.0,,,
1780272,1942.1,995.2,720.0,,,
1780276,1941.9,996.8,720.0,,,
1780280,1940.6,998.4,721.0,,,
1780284,1939.0,998.7,722.0,,,
1780288,1938.0,995.9,723.0,,,
1780292,1938.9,992.3,725.0,,,
1780296,1940.9,989.6,727.0,,,
1780300,1942.5,988.5,729.0,,,
1780304,1943.2,989.3,730.0,,,
1780308,1941.7,990.7,731.0,,,
1780312,1939.2,992.8,732.0,,,
1780316,1937.2,994.7,733.0,,,
1780320,1936.4,996.0,735.0,,,
1780324,1937.2,995.7,738.0,,,
1780328,1938.5,994.4,740.0,,,
1780332,1939.1,991.4,742.0,,,
1780336,1938.6,990.9,744.0,,,
1780340,1937.8,991.1,744.0,,,
1780344,1937.4,990.3,745.0,,,
1780348,1937.9,988.8,745.0,,,
1780352,1938.9,986.4,747.0,,,
1780356,1939.5,985.3,748.0,,,
1780360,1939.0,986.6,749.0,,,
1780364,1938.2,986.3,751.0,,,
1780368,1938.0,983.7,753.0,,,
1780372,1938.4,980.9,754.0,,,
1780376,1939.2,978.6,755.0,,,
1780380,1939.5,977.5,755.0,,,
1780384,1939.5,977.3,755.0,,,
1780388,1939.5,976.2,757.0,,,
1780392,1938.9,975.2,759.0,,,
1780396,1937.7,974.9,762.0,,,
1780400,1936.1,975.2,765.0,,,
1780404,1934.7,976.6,767.0,,,
1780408,1934.3,977.3,768.0,,,
1780412,1934.4,978.2,769.0,,,
1780416,1934.4,979.4,771.0,,,
1780420,1934.5,980.0,772.0,,,
1780424,1934.6,980.0,773.0,,,
1780428,1934.2,977.7,774.0,,,
1780432,1933.7,974.8,775.0,,,
1780436,1933.3,972.3,776.0,,,
1780440,1933.4,970.8,778.0,,,
1780444,1933.9,970.9,780.0,,,
1780448,1933.7,972.6,781.0,,,
1780452,1933.1,973.7,783.0,,,
1780456,1931.7,973.9,784.0,,,
1780460,1931.2,970.8,786.0,,,
1780464,1931.6,966.9,788.0,,,
1780468,1932.2,963.6,789.0,,,
1780472,1933.0,961.1,791.0,,,
1780476,1932.8,961.3,792.0,,,
1780480,1932.0,962.9,793.0,,,
1780484,1931.1,965.3,794.0,,,
1780488,1930.4,967.4,796.0,,,
1780492,1930.5,967.7,797.0,,,
1780496,1931.3,966.1,798.0,,,
1780500,1932.1,964.4,799.0,,,
1780504,1932.8,963.3,800.0,,,
1780508,1933.2,962.6,803.0,,,
1780512,1933.5,959.6,805.0,,,
1780516,1934.0,955.9,808.0,,,
1780520,1934.6,952.3,809.0,,,
1780524,1935.1,950.4,810.0,,,
1780528,1935.2,949.6,811.0,,,
1780532,1934.4,948.5,812.0,,,
1780536,1933.5,946.6,814.0,,,
1780540,1932.5,945.0,815.0,,,
