trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
1,1371072,1372078,,1390646.0,1372094,1372344,1372844,1387629
2,1387632,1390896,,1406481.0,1390912,1391162,1391663,1402981
3,1402983,1406731,,1480638.0,1406747,1407014,1407514,1413749
4,1413751,1414748,,1576146.0,1414765,1415031,1415531,1424382
5,1424386,1424882,,1678657.0,1424899,1425149,1425650,1433885
6,1433887,1435384,,1765265.0,1435400,1435650,1436150,1442350
7,1442352,1442851,,1786734.0,1442867,1443117,1443617,1449151
8,1449153,1449651,,1804452.0,1449668,1449935,1450435,1458669
9,1458671,1459169,,1937114.0,1459186,1459435,1459936,1466969
10,1466971,1467469,,1944498.0,1467486,1467753,1468253,1477637
11,1477639,1480888,,2007321.0,1480905,1481154,1481655,1485955
12,1485957,1486955,,2029324.0,1486972,1487238,1487738,1494622
13,1494624,1495122,,2038124.0,1495139,1495389,1495889,1500373
14,1500375,1500873,,2046675.0,1500889,1501156,1501657,1506690
15,1506692,1507190,,2080328.0,1507207,1507457,1507957,1512974
16,1512976,1513474,,2111381.0,1513491,1513757,1514257,1521858
17,1521860,1522359,,2155152.0,1522375,1522625,1523125,1529208
18,1529210,1529709,,2170320.0,1529726,1529976,1530476,1536126
19,1536128,1537126,,2211240.0,1537143,1537409,1537909,1547677
20,1559759,1560262,,2224958.0,1560279,1560545,1561045,1568262
21,1568264,1568762,,2298882.0,1568779,1569029,1569529,1573646
22,1573648,1576396,,2354554.0,1576413,1576664,1577163,1588682
23,1588684,1589181,,2363338.0,1589198,1589465,1589965,1595748
24,1595750,1596248,,2382524.0,1596265,1596532,1597032,1601832
25,1601834,1602833,,2441913.0,1602849,1603116,1603616,1607683
26,1607685,1608183,,2478999.0,1608200,1608450,1608950,1614383
27,1614385,1614884,,2499851.0,1614901,1615167,1615667,1622868
28,1622870,1623368,,2522053.0,1623384,1623635,1624135,1630268
29,1630270,1630769,,2553356.0,1630785,1631052,1631552,1637552
30,1637554,1638053,,2610628.0,1638069,1638319,1638819,1644386
31,1644388,1644887,,2637414.0,1644903,1645153,1645653,1650987
32,1650989,1651487,,2695587.0,1651504,1651771,1652271,1656071
33,1656073,1656571,,2715972.0,1656588,1656838,1657338,1665655
34,1665657,1666155,,2752675.0,1666172,1666421,1666922,1675656
35,1675658,1678907,,2773844.0,1678923,1679173,1679673,1686690
36,1686692,1687191,,2817482.0,1687207,1687458,1687957,1692008
37,1692010,1692508,,2918941.0,1692525,1692775,1693275,1698858
38,1698860,1699358,,2978463.0,1699375,1699625,1700125,1705592
39,1705594,1706092,,2986531.0,1706109,1706376,1706876,1712976
40,1718293,1718793,,3038686.0,1718810,1719077,1719577,1723627
41,1723629,1724127,,3049420.0,1724144,1724394,1724894,1731761
42,1731763,1732262,,3081673.0,1732278,1732528,1733028,1738862
43,1738864,1739363,,3105675.0,1739379,1739645,1740146,1745496
44,1745498,1745996,,3116960.0,1746013,1746279,1746780,1752263
45,1752265,1752764,,3127177.0,1752780,1753047,1753547,1756430
46,1756432,1756930,,3143479.0,1756947,1757197,1757697,1762264
47,1762266,1765515,,3156613.0,1765531,1765798,1766298,1771098
48,1771101,1771599,,3161114.0,1771616,1771881,1772382,1776898
49,1776900,1777399,,3180999.0,1777416,1777666,1778166,1784733
50,1784735,1786984,,3193868.0,1787000,1787267,1787767,1797768
51,1797770,1798268,,3226704.0,1798284,1798551,1799051,1801951
52,1801953,1804702,,3268424.0,1804719,1804968,1805468,1812536
53,1812538,1813036,,3276692.0,1813052,1813319,1813819,1820453
54,1820454,1820953,,3298110.0,1820970,1821237,1821737,1827954
55,1827956,1828454,,3302861.0,1828470,1828721,1829221,1836038
56,1836040,1836538,,3320329.0,1836555,1836821,1837321,1848339
57,1848341,1849839,,3407637.0,1849856,1850123,1850623,1868308
58,1868310,1868808,,3444641.0,1868825,1869091,1869592,1876142
59,1876144,1876642,,3448625.0,1876658,1876926,1877425,1882609
60,1887366,1888360,,3472760.0,1888376,1888643,1889143,1893010
61,1893012,1893510,,3490479.0,1893527,1893793,1894294,1898561
62,1898563,1899061,,3508998.0,1899077,1899344,1899844,1903594
63,1903596,1904095,,3516748.0,1904111,1904362,1904861,1909262
64,1909264,1910262,,3593005.0,1910279,1910529,1911029,1915928
