eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
R,460915,460991,80,2744.0,1616.7,855
R,461175,474895,13724,2000.9,1117.0,835
R,475103,484303,9204,1992.7,1112.5,831
R,484327,484383,60,2213.8,1104.6,908
R,484431,484711,284,2680.8,1407.5,622
R,484735,484883,152,2673.3,1630.5,509
R,485031,485571,544,1933.9,1177.9,612
R,485587,486099,516,2029.4,1152.7,765
R,486155,486303,152,2770.9,1575.4,782
R,486327,487103,780,2687.8,1466.3,668
R,487403,487471,72,3170.0,2158.5,326
R,487487,487527,44,3253.1,2199.3,261
R,487651,488567,920,2680.0,1314.8,803
R,488723,489103,384,2016.9,1116.6,816
R,489151,489171,24,2113.4,1558.1,665
R,489195,489411,220,2003.0,1101.3,794
R,489455,489707,256,2623.3,1116.9,797
R,489931,495211,5284,1991.1,1099.9,711
R,495287,498723,3440,2004.0,1109.2,869
R,498951,499291,344,1987.4,1150.1,758
R,499915,500011,100,1350.2,1039.2,889
R,500039,500311,276,1151.2,1218.7,896
R,500599,500863,268,1017.1,1323.3,766
R,500891,502095,1208,1197.7,1054.9,832
R,502411,502899,492,1920.7,1042.5,889
R,502943,503403,464,1179.9,1151.2,926
R,503447,503727,284,1984.5,1040.1,854
R,503775,504815,1044,1179.0,1050.0,881
R,504991,508599,3612,1949.2,1058.3,825
R,508623,511815,3196,1972.1,1123.3,773
R,511843,512023,184,1603.4,1039.4,597
R,512063,512203,144,2185.1,1120.7,451
R,512223,512383,164,2336.8,1177.9,384
R,512423,512575,156,1823.9,1034.4,417
R,512603,512759,160,1592.7,1143.1,500
R,512791,512923,136,2067.4,1198.3,565
R,513139,513415,280,1082.7,350.1,519
R,515499,515595,100,1628.1,1043.5,661
R,515627,515951,328,1987.5,1110.5,566
R,515967,516163,200,2025.4,1197.6,415
R,516183,516811,632,1997.2,1051.5,444
R,517031,517223,196,1944.3,1168.3,499
R,517247,517559,316,1681.6,1095.7,642
R,517587,521927,4344,1985.0,1094.2,736
R,522183,524159,1980,2000.1,1042.5,850
R,524195,524603,412,2637.0,1121.2,871
R,524627,524719,96,2681.0,1398.0,791
R,524883,528435,3556,1981.5,1129.2,786
R,528475,528843,372,2558.2,1304.2,637
R,529087,529411,328,2350.4,1306.2,673
R,529443,533799,4360,1965.4,1113.8,775
R,533855,534503,652,1151.0,1024.6,588
R,534535,534687,156,1092.6,1243.1,710
R,534947,546483,11540,1984.2,1122.6,874
R,546731,546739,12,2081.9,1380.1,905
R,546755,547715,964,1989.5,1100.3,954
R,547751,547987,240,1530.4,1012.1,915
R,548019,548975,960,1968.3,1112.8,909
R,549791,551131,1344,1982.2,1106.7,931
R,551179,551367,192,1248.1,1120.3,903
R,551467,555763,4300,1979.1,1121.7,813
R,555811,555863,56,2138.3,1704.5,661
R,555915,566003,10092,1975.3,1118.3,805
R,566263,570263,4004,1963.8,1090.3,804
R,570303,570347,48,2594.7,1269.5,622
R,570443,570467,28,3124.9,2094.1,200
R,570487,570623,140,3113.4,2361.7,169
R,571107,577239,6136,1938.4,1125.4,633
R,577279,577675,400,1161.8,1145.4,804
R,577963,579347,1388,1928.3,1103.6,717
R,579403,579811,412,995.2,1236.3,820
R,580007,580287,284,1040.0,1210.2,818
R,580339,584307,3972,1964.3,1127.9,726
R,584639,585051,416,2085.3,1384.6,688
R,585107,585519,416,2120.8,1928.0,522
R,585611,585631,24,2101.8,1809.0,381
R,585647,585695,52,2087.1,1652.5,409
R,585727,588615,2892,1971.2,1112.3,676
R,588635,588847,216,1895.1,1166.6,556
R,588871,589091,224,2089.2,1204.7,557
R,589131,589439,312,2579.7,1365.9,594
R,589463,589583,124,2678.1,1457.4,621
R,589727,589971,248,1952.5,1152.4,632
R,590027,590599,576,2712.3,1406.8,673
R,590947,590995,52,3141.7,2485.4,257
R,591023,591071,52,3194.2,2517.7,234
R,591099,591147,52,3270.0,2464.6,198
R,591163,591299,140,3264.6,2586.2,207
R,591319,591343,28,3270.0,2470.1,172
R,591363,591395,36,3270.0,2657.0,192
R,591831,592039,212,3220.9,2495.3,207
R,592063,592147,88,3270.0,2327.9,157
R,592167,592195,32,3270.0,2480.3,114
R,592483,592503,24,3147.2,1893.3,43
R,592555,597831,5280,1967.7,1140.2,638
R,597891,597919,32,2875.9,1500.2,672
R,597951,598023,76,3171.0,2072.5,329
R,598079,598143,68,3270.0,2434.5,142
R,598203,598231,32,3166.7,2445.7,256
R,598267,598775,512,2682.7,1546.4,635
R,598791,598819,32,2679.1,1654.0,564
R,598839,598879,44,2717.5,1880.6,473
R,598911,599123,216,3080.4,2337.9,260
R,599151,599175,28,3249.7,2634.5,124
R,599475,599499,28,3030.9,1612.7,50
R,599531,602139,2612,1911.0,1120.0,619
R,602175,602279,108,2380.6,1215.6,719
R,602295,602479,188,2507.7,1321.2,547
R,602495,602523,32,2606.3,1701.2,334
R,602887,605083,2200,1971.8,1167.5,646
R,605099,605123,28,2042.0,1419.8,639
R,605151,608051,2904,1927.5,1105.6,667
R,608111,608135,28,2164.0,2078.7,360
R,608183,612079,3900,1924.9,1122.7,537
R,612111,612463,356,2469.7,1266.1,627
R,612519,612567,52,2727.4,1640.6,470
R,612623,612971,352,3068.4,2198.3,195
R,613003,613063,64,3073.0,2270.2,195
R,613291,613315,28,3270.0,2488.6,128
R,613331,613663,336,3163.1,2309.2,211
R,613803,614127,328,2697.1,1415.7,650
R,614323,617123,2804,1901.8,1136.0,604
R,617139,617203,68,2159.6,1151.3,768
R,617259,617451,196,2714.7,1374.2,759
R,617467,617815,352,2646.0,1432.5,625
R,617843,617899,60,3014.4,1988.7,219
R,617939,618039,104,2843.7,1671.7,296
R,618407,618431,28,3084.2,1677.2,278
R,618455,618487,36,3171.9,2114.2,186
R,618503,618527,28,3268.5,2161.4,157
R,619031,619171,144,3179.6,2399.9,196
R,619579,620295,720,1798.7,1090.7,667
R,620727,622371,1648,1921.3,1153.9,712
R,622387,622983,600,2014.7,1342.8,659
R,623003,624543,1544,2019.1,1163.3,744
R,624563,632359,7800,1927.1,1102.7,746
R,632399,632507,112,1316.3,1153.6,564
R,632527,632703,180,1150.3,1167.3,576
R,632963,633719,760,1984.9,1130.5,577
R,633779,635075,1300,1023.6,1202.4,702
R,635391,639619,4232,1872.6,1101.8,655
R,639671,639791,124,2692.9,1392.7,408
R,639823,639939,120,2999.6,1996.6,220
R,640227,645771,5548,1897.6,1092.9,688
R,646039,648411,2376,1907.2,1072.7,724
R,648435,648607,176,2032.2,1112.4,427
R,648679,648895,220,1233.4,271.0,377
R,660123,660259,140,1854.4,1287.8,522
R,660283,660787,508,2116.8,1152.3,342
R,660811,664071,3264,1869.9,1057.2,604
R,664119,664315,200,2623.7,906.3,794
R,664523,665515,996,1987.9,1083.2,877
R,665707,668447,2744,1960.3,1103.0,821
R,668499,668583,88,1161.6,1207.4,751
R,668603,669395,796,1003.9,1246.4,773
R,669699,670175,480,1912.1,1048.4,884
R,670191,672731,2544,1960.7,1087.7,830
R,672779,673071,296,2616.4,1375.1,710
R,673371,674883,1516,1949.2,1147.2,693
R,674935,675347,416,2635.2,1339.9,787
R,675671,675723,56,2608.6,1830.7,597
R,675775,675879,108,3123.9,2103.3,317
R,675947,676039,96,3152.5,2154.3,295
R,676059,676119,64,3171.4,2240.3,282
R,676159,677163,1008,2609.9,1301.0,710
R,677451,677475,28,2730.9,1715.0,547
R,677515,677599,88,3064.6,2323.9,279
R,677851,680891,3044,1946.5,1122.5,719
R,680923,681099,180,2536.2,1263.3,626
R,681131,681199,72,2615.0,1579.8,471
R,681495,681707,216,3100.2,2138.6,166
R,682083,682107,28,3143.3,1840.0,73
