eye,tStart,tEnd,duration
R,278591,278651,64
R,292031,292091,64
R,304863,304903,44
R,306459,306639,184
R,307355,307423,72
R,307923,308115,196
R,308843,309023,184
R,310127,310607,484
R,313139,313223,88
R,316523,318631,2112
R,322695,322803,112
R,328175,328311,140
R,330983,333759,2780
R,334711,334923,216
R,335739,335803,68
R,344727,344795,72
R,347715,347787,76
R,349415,349515,104
R,350183,350271,92
R,351383,351499,120
R,352403,352483,84
R,369775,369895,124
R,384343,384411,72
R,384835,384903,72
R,385567,385663,100
R,394831,394927,100
R,404767,404835,72
R,405875,405987,116
R,406711,406775,68
R,418815,418951,140
R,432243,432307,68
R,439487,439679,196
R,443971,444023,56
R,446979,447035,60
R,448107,448207,104
R,455823,455931,112
R,456607,456695,92
R,457687,458955,1272
R,461043,461107,68
R,474939,475031,96
R,484923,484975,56
R,487147,487279,136
R,488643,488651,12
R,489783,489811,32
R,498783,498859,80
R,499343,499843,504
R,500351,500467,120
R,502159,502335,180
R,504875,504927,56
R,512971,513063,96
R,513455,515455,2004
R,516859,516971,116
R,521975,522087,116
R,524775,524807,36
R,528887,529003,120
R,534743,534875,136
R,546559,546615,60
R,549027,549699,676
R,566059,566143,88
R,570663,570975,316
R,577727,577887,164
R,579879,579931,56
R,584383,584575,196
R,590651,590747,100
R,591443,591659,220
R,592219,592451,236
R,599203,599463,264
R,602571,602767,200
R,613107,613223,120
R,614211,614243,36
R,618151,618275,128
R,618587,618979,396
R,619215,619503,292
R,620351,620655,308
R,632751,632851,104
R,635151,635303,156
R,639963,640123,164
R,645835,645919,88
R,648947,660059,11116
R,664367,664443,80
R,665567,665639,76
R,669435,669623,192
R,673123,673315,196
R,675407,675603,200
R,677219,677347,132
R,677659,677751,96
R,681283,681439,160
R,681747,682043,300
R,682895,683083,192
R,687175,687395,224
R,688691,688875,188
R,689151,689375,228
R,692455,692707,256
R,701367,701599,236
R,702935,703107,176
R,707263,707479,220
R,711843,711955,116
R,716887,717011,128
R,728615,729639,1028
R,734575,734847,276
R,736535,736743,212
R,737631,737659,32
R,741459,741859,404
R,742363,742551,192
R,749111,749207,100
R,749487,749515,32
R,755107,755979,876
R,771427,771455,32
R,774323,774383,64
R,779983,780111,132
R,780263,780407,148
R,781023,781235,216
R,784455,785063,612
R,786831,794943,8116
R,798363,798571,212
R,802847,803067,224
R,807747,808167,424
R,812115,812359,248
R,813711,814695,988
R,822523,822523,4
R,826475,826619,148
R,840211,840415,208
R,847943,848143,204
R,848551,848771,224
R,859395,859447,56
R,863211,863283,76
R,863707,863715,12
R,863807,863931,128
R,864171,864171,4
R,864287,865267,984
R,866159,867399,1244
R,877599,881011,3416
R,886175,886343,172
R,890723,891031,312
R,891947,891979,36
R,895499,896731,1236
R,896875,896875,4
R,902331,903267,940
R,909543,910351,812
R,916743,916751,12
R,917467,917715,252
R,920067,920179,116
R,922371,922951,584
