eye,tStart,tEnd,duration
L,964490,964602,114
L,967422,967494,74
L,970642,970750,110
L,973796,973878,84
L,978300,978352,54
L,980480,980490,12
L,980978,981108,132
L,981822,981886,66
L,984772,985164,394
L,988798,989030,234
L,989956,989968,14
L,991516,991580,66
L,993026,999086,6062
L,999612,999656,46
L,999922,999988,68
L,1000530,1000684,156
L,1000828,1000928,102
L,1002568,1002584,18
L,1004214,1004242,30
L,1005750,1005816,68
L,1005992,1006100,110
L,1006212,1006288,78
L,1008020,1008098,80
L,1008512,1008628,118
L,1009386,1018492,9108
L,1019760,1019804,46
L,1020014,1020116,104
L,1020328,1020456,130
L,1021366,1021412,48
L,1023598,1023608,12
L,1028212,1029574,1364
L,1034784,1034826,44
L,1035798,1037734,1938
L,1038326,1038404,80
L,1041744,1041774,32
L,1042098,1043844,1748
L,1045068,1045118,52
L,1048578,1051202,2626
L,1054508,1055522,1016
L,1061182,1062904,1724
L,1064510,1064522,14
L,1068028,1068084,58
L,1069590,1071248,1660
L,1072120,1072166,48
L,1075550,1076350,802
L,1079778,1080580,804
L,1084136,1085352,1218
L,1091266,1092460,1196
L,1096092,1096202,112
L,1099198,1100024,828
L,1103648,1104158,512
L,1110516,1110586,72
L,1115682,1115818,138
L,1127252,1127278,28
L,1130952,1130974,24
L,1134958,1135092,136
L,1145340,1145360,22
L,1166572,1166642,72
L,1167006,1167072,68
L,1169856,1169888,34
L,1170246,1170302,58
L,1177506,1177510,6
L,1185594,1185632,40
L,1193118,1193154,38
L,1198784,1198928,146
L,1207092,1207122,32
L,1207454,1207530,78
L,1219770,1219850,82
L,1220058,1220176,120
L,1229046,1229120,76
L,1229350,1229468,120
L,1230126,1230984,860
L,1243464,1243538,76
L,1247782,1247908,128
L,1252414,1252462,50
L,1260024,1260090,68
L,1268112,1268134,24
L,1269092,1269166,76
L,1270168,1270214,48
L,1273540,1273562,24
L,1280542,1280600,60
L,1282822,1283034,214
L,1295468,1295512,46
L,1297152,1297166,16
L,1300340,1300436,98
L,1305558,1305568,12
L,1307752,1307796,46
L,1310716,1310734,20
L,1316758,1316826,70
L,1321136,1321256,122
L,1323274,1323396,124
L,1324360,1367866,43508
L,1370464,1371406,944
L,1373058,1373146,90
L,1374424,1374498,76
L,1374684,1375566,884
L,1381446,1381454,10
L,1382028,1387804,5778
L,1390520,1390586,68
L,1390714,1390790,78
L,1411714,1412980,1268
L,1420618,1420646,30
L,1427040,1427084,46
L,1428326,1430432,2108
L,1437662,1437688,28
L,1439700,1439756,58
L,1443492,1443538,48
L,1445356,1445410,56
L,1446488,1446656,170
L,1450750,1450758,10
L,1452362,1452418,58
L,1465042,1465068,28
L,1475166,1475212,48
L,1475410,1475518,110
L,1475964,1477870,1908
L,1479498,1479564,68
L,1496376,1496428,54
L,1537462,1537536,76
L,1547280,1547314,36
L,1554450,1558396,3948
L,1561504,1561546,44
L,1566196,1566236,42
L,1576684,1576762,80
L,1576916,1579076,2162
L,1580532,1644296,63766
L,1645104,1645980,878
L,1676530,1676590,62
L,1676982,1677116,136
L,1681100,1681156,58
L,1682654,1682840,188
L,1682976,1683952,978
L,1686882,1686934,54
L,1692480,1692588,110
L,1712998,1713074,78
L,1717662,1717694,34
L,1729678,1729764,88
L,1730070,1730166,98
L,1736854,1736936,84
L,1737542,1739964,2424
L,1740688,1746084,5398
L,1755042,1755074,34
L,1760616,1760666,52
L,1765084,1765096,14
L,1774308,1774334,28
L,1782518,1782558,42
L,1801626,1801662,38
