eye,tStart,tEnd,duration
L,4307312,4307400,92
L,4308284,4308588,308
L,4309216,4309364,152
L,4309992,4310088,100
L,4310364,4310464,104
L,4315792,4315864,76
L,4316220,4316276,60
L,4316676,4316752,80
L,4317952,4318000,52
L,4334004,4334088,88
L,4335192,4335208,20
L,4335580,4335688,112
L,4362668,4362732,68
L,4369556,4369556,4
L,4371324,4371452,132
L,4371740,4371844,108
L,4387416,4387532,120
L,4388016,4388152,140
L,4388344,4388580,240
L,4388800,4388900,104
L,4389240,4389308,72
L,4390084,4390092,12
L,4390796,4390848,56
L,4410740,4411016,280
L,4412328,4412488,164
L,4430508,4430556,52
L,4435240,4435332,96
L,4442244,4442244,4
L,4442632,4442680,52
L,4443760,4443812,56
L,4443968,4444060,96
L,4444492,4444596,108
L,4445296,4445324,32
L,4445584,4445696,116
L,4446052,4446176,128
L,4447260,4447828,572
L,4447992,4448588,600
L,4448880,4449076,200
L,4449580,4449732,156
L,4449916,4450056,144
L,4467000,4467156,160
L,4467344,4467448,108
L,4467780,4467864,88
L,4468448,4468760,316
L,4484268,4484292,28
L,4484592,4484700,112
L,4488888,4488964,80
L,4491072,4491116,48
L,4498700,4498832,136
L,4500292,4500500,212
L,4503092,4503208,120
L,4504880,4508900,4024
L,4509828,4509880,56
L,4510084,4510228,148
L,4512000,4512452,456
L,4524212,4524240,32
L,4529948,4530084,140
L,4545188,4545284,100
L,4551344,4551464,124
L,4551664,4553168,1508
L,4576048,4576104,60
L,4576396,4576472,80
L,4578900,4579612,716
L,4580104,4580136,36
L,4580232,4580264,36
L,4583916,4583916,4
L,4586128,4586196,72
L,4587076,4587876,804
L,4589916,4589996,84
L,4597568,4597624,60
L,4604004,4604048,48
L,4604496,4604616,124
L,4605368,4605680,316
L,4611644,4611816,176
L,4612124,4612212,92
L,4612828,4612984,160
L,4613196,4613760,568
L,4614104,4622272,8172
L,4622376,4622732,360
L,4623784,4623852,72
L,4629760,4629868,112
L,4636160,4636288,132
L,4640736,4641032,300
L,4641284,4642072,792
L,4645644,4645716,76
L,4646484,4646764,284
L,4646936,4647332,400
L,4650944,4651044,104
L,4651644,4652176,536
L,4654052,4654112,64
L,4654320,4654496,180
L,4657912,4657964,56
L,4659368,4659724,360
L,4662360,4662748,392
L,4674420,4674532,116
L,4678008,4678148,144
L,4678824,4678884,64
L,4680464,4680468,8
L,4680836,4680980,148
L,4685304,4685572,272
L,4687088,4687172,88
L,4691940,4692112,176
L,4697400,4697544,148
L,4701064,4701092,32
L,4702444,4702588,148
L,4705604,4705804,204
L,4707008,4707924,920
L,4709148,4709316,172
L,4712536,4712716,184
L,4714156,4714268,116
L,4715168,4715256,92
L,4715564,4715804,244
L,4720080,4720448,372
L,4724036,4724244,212
L,4727688,4727792,108
L,4728680,4728780,104
L,4733904,4733952,52
L,4735020,4735124,108
L,4739820,4739896,80
L,4740932,4740976,48
L,4742384,4742492,112
L,4742772,4742944,176
L,4744948,4745084,140
L,4748908,4748912,8
L,4750424,4750528,108
L,4750644,4751124,484
L,4751732,4752768,1040
L,4754252,4754400,152
L,4754556,4754584,32
L,4755296,4755660,368
L,4755744,4755948,208
L,4756372,4756456,88
L,4756640,4756916,280
L,4757104,4757752,652
L,4758280,4758548,272
L,4759444,4759516,76
L,4761056,4761076,24
L,4764176,4764856,684
L,4767052,4767520,472
L,4767908,4768080,176
L,4774244,4774852,612
L,4775736,4775872,140
L,4779640,4779744,108
L,4780848,4780932,88
L,4786784,4786800,20
L,4787280,4788568,1292
L,4789484,4789648,168
L,4792164,4792232,72
L,4796624,4798260,1640
L,4800264,4800388,128
L,4801956,4802224,272
L,4802508,4802616,112
L,4804452,4804464,16
L,4804864,4804908,48
L,4807740,4808172,436
L,4808912,4809060,152
L,4812764,4813524,764
L,4814624,4814716,96
L,4816048,4816168,124
L,4816492,4817132,644
L,4818248,4818368,124
L,4819284,4819500,220
L,4819568,4819804,240
L,4820036,4820212,180
L,4823268,4823884,620
L,4825384,4825520,140
L,4825916,4826020,108
L,4827700,4827796,100
L,4832076,4832120,48
L,4832716,4833384,672
L,4834308,4834716,412
L,4835044,4835236,196
L,4838704,4838744,44
L,4840160,4841112,956
L,4842820,4843056,240
L,4848272,4849140,872
L,4851928,4851960,36
L,4855124,4855292,172
L,4855448,4855512,68
L,4856852,4857012,164
L,4857432,4857628,200
L,4861852,4861984,136
L,4862136,4862276,144
L,4863516,4863708,196
L,4864172,4864212,44
L,4868888,4869044,160
L,4872916,4873876,964
L,4875016,4875148,136
L,4878436,4879236,804
L,4881476,4881592,120
L,4881868,4882076,212
L,4887940,4888036,100
L,4889892,4889952,64
L,4890404,4890464,64
L,4897272,4897344,76
L,4897532,4897684,156
L,4898024,4898116,96
L,4900988,4901028,44
L,4904428,4905508,1084
L,4906580,4906620,44
L,4911056,4911088,36
L,4912740,4912860,124
L,4913740,4913852,116
L,4914700,4914872,176
L,4915172,4915304,136
L,4915984,4923644,7664
L,4923720,4933404,9688
L,4933468,5028692,95228
L,5055528,5055568,44
L,5059224,5059248,28
