time,text
4143276,!CAL
4143277,!CAL Calibration points:
4143277,"!CAL -2.5, -26.3 1880, 4771"
4143277,"!CAL -3.8, -40.0 2022, 8012"
4143277,"!CAL -1.6, -11.9 1752, 1881"
4143277,"!CAL -37.2, -21.0 -1974, 4802"
4143277,"!CAL 28.4, -24.1 6040, 4763"
4143277,"!CAL eye check box: (L,R,T,B)"
4143277,"!CAL href cal range: (L,R,T,B)"
4143277,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
4143277,"!CAL Prenormalize: offx, offy = -2.545 -26.346"
4143277,!CAL Gains: cx:124.108 lx:111.704 rx:165.220
4143277,!CAL Gains: cy:148.155 ty:254.210 by:166.193
4143277,"!CAL Resolution (upd) at screen center: X=2.1, Y=1.8"
4143277,!CAL Gain Change Proportion: X: 0.479 Y: 0.530
4143277,!CAL Gain Ratio (Gy/Gx) = 1.194
4143277,"!CAL Cross-Gain Ratios: X=0.155, Y=0.039"
4143278,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
4143278,"!CAL CR gain match(x,y) = 1.000, 1.000"
4143278,!CAL Slip rotation correction OFF
4143279,!CAL CALIBRATION HV5 L LEFT GOOD
4153211,"!CAL VALIDATION HV5 L LEFT FAIR ERROR 0.77 avg. 1.86 max OFFSET 0.63 deg. -29.7,-51.1 pix."
4153212,"VALIDATE L POINT 0 LEFT at 1920,1080 OFFSET 0.17 deg. -19.7,4.3 pix."
4153212,"VALIDATE L POINT 1 LEFT at 1920,184 OFFSET 0.84 deg. 48.2,-64.5 pix."
4153212,"VALIDATE L POINT 2 LEFT at 1920,1975 OFFSET 0.99 deg. -94.5,-54.0 pix."
4153212,"VALIDATE L POINT 3 LEFT at 230,1080 OFFSET 1.86 deg. -35.9,-160.7 pix."
4153212,"VALIDATE L POINT 4 LEFT at 3609,1080 OFFSET 0.72 deg. -70.4,-37.1 pix."
4167264,!CAL VALIDATION L ABORTED
4212048,!CAL
4212048,!CAL Calibration points:
4212048,"!CAL -3.2, -26.6 1960, 4939"
4212048,"!CAL -3.4, -40.5 2102, 8315"
4212048,"!CAL -0.7, -11.5 1838, 1922"
4212048,"!CAL -34.8, -23.0 -2049, 4948"
4212048,"!CAL 27.8, -24.3 6307, 4957"
4212048,"!CAL eye check box: (L,R,T,B)"
4212048,"!CAL href cal range: (L,R,T,B)"
4212048,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
4212048,"!CAL Prenormalize: offx, offy = -3.201 -26.606"
4212048,!CAL Gains: cx:134.994 lx:123.923 rx:164.277
4212048,!CAL Gains: cy:151.201 ty:260.636 by:165.386
4212048,"!CAL Resolution (upd) at screen center: X=1.9, Y=1.7"
4212048,!CAL Gain Change Proportion: X: 0.326 Y: 0.576
4212049,!CAL Gain Ratio (Gy/Gx) = 1.120
4212049,"!CAL Cross-Gain Ratios: X=0.156, Y=0.018"
4212049,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
4212049,"!CAL CR gain match(x,y) = 1.000, 1.000"
4212049,!CAL Slip rotation correction OFF
4212050,!CAL CALIBRATION HV5 L LEFT GOOD
4221642,"!CAL VALIDATION HV5 L LEFT POOR ERROR 1.37 avg. 3.45 max OFFSET 0.35 deg. -37.3,12.3 pix."
4221642,"VALIDATE L POINT 0 LEFT at 1920,1080 OFFSET 1.01 deg. 33.0,81.9 pix."
4221643,"VALIDATE L POINT 1 LEFT at 1920,184 OFFSET 0.92 deg. -33.3,73.3 pix."
4221643,"VALIDATE L POINT 2 LEFT at 1920,1975 OFFSET 0.62 deg. -69.9,15.3 pix."
4221643,"VALIDATE L POINT 3 LEFT at 230,1080 OFFSET 3.45 deg. -278.6,-210.0 pix."
4221643,"VALIDATE L POINT 4 LEFT at 3609,1080 OFFSET 0.53 deg. 51.6,-24.7 pix."
4229567,!CAL VALIDATION L ABORTED
4248360,!CAL
4248361,!CAL Calibration points:
4248361,"!CAL -2.8, -26.0 1963, 4948"
4248361,"!CAL -4.6, -39.5 2106, 8334"
4248361,"!CAL -1.8, -13.8 1839, 1927"
4248361,"!CAL -36.6, -22.7 -2055, 4957"
4248361,"!CAL 26.5, -24.7 6317, 4966"
4248361,"!CAL eye check box: (L,R,T,B)"
4248361,"!CAL href cal range: (L,R,T,B)"
4248361,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
4248361,"!CAL Prenormalize: offx, offy = -2.7509 -25.961"
4248361,!CAL Gains: cx:135.412 lx:105.918 rx:179.506
4248362,!CAL Gains: cy:246.716 ty:252.478 by:247.711
4248362,"!CAL Resolution (upd) at screen center: X=1.9, Y=1.1"
4248362,!CAL Gain Change Proportion: X: 0.695 Y: 0.019
4248362,!CAL Gain Ratio (Gy/Gx) = 1.822
4248362,"!CAL Cross-Gain Ratios: X=0.182, Y=0.024"
