eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,3017427,3017539,116,1934.5,1102.8,1679.4,956.7,2.9,990
R,3017715,3017751,40,1688.9,928.9,1092.1,933.0,5.2,208
R,3017967,3018023,60,1051.4,934.1,2447.1,963.5,12.2,298
R,3018491,3018703,216,2524.9,1001.1,2155.8,1161.6,3.8,570
R,3019563,3019799,240,2212.5,1059.7,2412.9,1124.9,1.9,670
R,3020243,3020399,160,2448.2,1058.5,2265.4,1194.9,2.3,679
R,3020639,3020659,24,2245.5,1096.3,2025.0,1151.7,2.0,116
R,3021411,3021427,20,1968.4,1184.4,2165.0,1206.3,1.7,126
R,3021671,3021699,32,2176.4,1179.1,1809.3,1154.9,3.2,130
R,3021979,3021999,24,1736.4,1138.1,1924.9,999.0,2.4,141
R,3022199,3022239,44,2027.4,915.2,2871.3,948.6,7.4,229
R,3022751,3023183,436,2918.0,971.0,3270.0,1120.3,3.5,736
R,3023571,3024159,592,3270.0,1096.3,2133.3,1104.8,10.0,788
R,3024247,3024443,200,1961.5,1061.9,3270.0,1609.8,13.2,1012
R,3024575,3024607,36,3270.0,1622.7,2977.5,1332.0,4.4,257
R,3025183,3025231,52,2876.1,1222.7,1893.3,904.2,9.6,238
R,3025531,3025551,24,1845.5,871.0,2062.3,1048.9,2.9,184
R,3025891,3026051,164,2118.5,1176.2,1808.4,1229.0,2.8,971
R,3026439,3026459,24,1814.7,1182.5,2043.7,1169.7,2.0,114
R,3026731,3026751,24,2127.6,1165.0,1848.8,1163.5,2.5,143
R,3027239,3027251,16,1786.7,1158.6,1875.1,1159.9,0.8,70
R,3028151,3028163,16,1900.2,1171.5,1822.1,1167.4,0.7,61
R,3028775,3028791,20,1788.7,1189.4,1944.3,1131.2,1.6,115
R,3030947,3030987,44,1935.3,1132.4,1235.7,1228.8,6.2,208
R,3031239,3031247,12,1117.1,1273.6,1063.1,1302.1,0.6,72
R,3031411,3031607,200,1007.9,1373.0,2202.6,1136.6,10.8,959
R,3032423,3032439,20,2139.9,1048.8,2019.8,1041.4,1.1,75
R,3032651,3032695,48,1972.0,1051.5,1076.3,1051.1,7.8,222
R,3033383,3033403,24,1005.1,1062.4,1103.0,1250.4,2.4,155
R,3034331,3034355,28,1061.2,1322.9,1042.8,1034.4,3.5,176
R,3036379,3036467,92,1065.0,995.6,1971.3,1222.8,8.4,299
R,3038747,3038791,48,2028.3,1125.0,2788.0,1245.0,6.9,179
R,3039371,3039379,12,2882.5,1275.1,2827.8,1285.9,0.5,63
R,3040039,3040051,16,2789.3,1288.8,2863.2,1292.5,0.7,57
R,3040395,3040435,44,2845.2,1284.1,2029.2,1134.4,7.5,229
R,3040463,3040519,60,1966.8,1190.4,1971.3,1173.6,0.2,300
R,3043303,3043347,48,1983.9,1097.6,2913.3,1219.2,8.3,242
R,3044067,3044115,52,2951.8,1249.1,1997.6,1104.3,8.6,226
R,3046023,3046071,52,1919.3,1119.8,1015.8,1240.5,8.0,194
R,3047007,3047019,16,821.9,1271.1,741.9,1270.3,0.7,56
R,3048463,3048507,48,731.0,1282.6,1796.0,1148.6,9.3,290
R,3050207,3050267,64,1953.5,1126.5,966.0,1235.0,8.7,179
R,3051135,3051147,16,883.8,1237.5,792.1,1251.1,0.8,67
R,3052087,3052131,48,792.8,1288.9,1902.5,1128.9,9.8,300
R,3054859,3054875,20,1993.4,1099.3,2108.2,1149.9,1.2,82
R,3055103,3055135,36,2183.3,1161.6,2683.1,1253.2,4.6,181
R,3055567,3055579,16,2804.7,1274.6,2880.3,1278.5,0.7,60
R,3055939,3055979,44,2958.4,1287.1,2205.5,1165.0,6.8,194
R,3056175,3056187,16,2128.9,1153.7,2024.9,1115.0,1.0,95
R,3058687,3058727,44,2055.5,1116.8,2836.6,1125.4,6.9,213
R,3059291,3059307,20,2925.9,1091.2,2998.5,1155.3,1.0,70
R,3059815,3059859,48,3004.5,1199.0,2111.6,1115.7,8.0,215
R,3062099,3062115,20,1978.5,1126.4,2138.8,1158.4,1.5,106
R,3062515,3062535,24,2674.3,1321.2,2901.1,1327.3,2.0,112
R,3063767,3063815,52,2998.6,1324.3,2127.9,1167.5,7.9,204
R,3065311,3065375,68,1975.8,1115.1,2850.3,1265.0,7.9,161
R,3066335,3066347,16,2967.0,1293.5,2879.6,1281.0,0.8,70
R,3067743,3067799,60,2835.5,1277.0,2022.6,1117.5,7.4,167
R,3069583,3069643,64,1945.2,1134.3,1060.5,1254.7,7.8,160
R,3071039,3071051,16,830.4,1305.4,915.1,1301.4,0.7,61
R,3071455,3071499,48,966.4,1290.7,1862.5,1144.5,8.0,239
R,3073331,3073395,68,1947.4,1109.9,930.7,1272.4,9.0,168
R,3074983,3075035,56,738.6,1313.2,1871.4,1156.2,9.9,269
R,3076835,3076883,52,1932.4,1095.7,1117.2,1142.2,7.1,182
R,3078479,3078519,44,1037.6,1050.2,1959.8,1055.6,8.0,272
R,3083451,3083515,68,1909.4,1082.0,1078.8,1168.3,7.3,144
R,3083735,3083747,16,966.5,1203.9,877.6,1229.1,0.8,72
R,3084771,3084779,12,814.5,1285.7,872.1,1289.7,0.5,61
R,3085143,3085183,44,955.1,1280.4,1808.4,1106.4,7.7,260
R,3085371,3085383,16,1871.5,1082.3,1961.1,1085.7,0.8,70
R,3086955,3086971,20,2015.0,1075.9,2163.4,1099.0,1.3,98
R,3087111,3087131,24,2373.8,1121.4,2641.4,1179.4,2.5,142
R,3089487,3089547,64,2929.8,1261.1,1875.3,1103.6,9.5,187
R,3091167,3091179,16,1988.7,1114.8,2084.1,1125.6,0.8,75
R,3092267,3092311,48,1989.1,1065.8,2927.8,1094.4,8.3,241
R,3093015,3093063,52,2980.8,1099.9,2322.3,1091.7,5.8,134
R,3093211,3093231,24,2163.6,1091.4,1958.0,1076.9,1.8,109
R,3095071,3095139,72,1986.4,1088.1,2825.6,1197.8,7.5,141
R,3095915,3095923,12,2892.7,1257.6,2815.6,1256.2,0.7,85
R,3097043,3097091,52,2863.1,1250.6,2049.8,1101.7,7.4,187
R,3098679,3098691,16,1906.2,1064.9,1827.1,1042.4,0.8,67
R,3099047,3099099,56,1719.0,1033.7,1019.1,1046.5,6.0,150
R,3099279,3099287,12,958.4,1050.3,1005.8,1034.0,0.5,56
R,3099671,3099691,24,995.9,1034.4,1057.1,1165.0,1.6,92
R,3101019,3101071,56,1030.2,1337.2,1793.6,1113.6,7.1,177
R,3102739,3102751,16,1982.6,1104.6,2078.0,1092.3,0.8,76
R,3102867,3102915,52,2225.6,1076.1,2994.9,1120.7,6.8,172
R,3104671,3104731,64,3085.6,1177.2,2121.1,1053.2,8.6,171
R,3105367,3105383,20,1994.6,1039.7,1877.4,1023.3,1.1,70
R,3105663,3105695,36,1693.6,928.8,2273.1,945.9,5.1,200
R,3105831,3105895,68,2351.3,918.3,1219.1,327.5,12.0,225
R,3106127,3106195,72,1154.2,287.7,1747.1,1152.9,11.4,236
R,3106703,3106723,24,1884.5,1175.8,2134.7,1205.7,2.2,128
R,3106971,3107007,40,2246.0,1171.7,1644.8,1097.8,5.4,175
R,3107263,3107283,24,1590.0,1112.8,1903.9,1105.9,2.8,161
R,3107519,3107539,24,1999.6,1090.0,2213.3,1054.0,2.0,121
R,3108123,3108411,292,2228.5,1028.7,1799.7,1268.6,4.8,825
R,3108523,3108679,160,1813.9,1176.7,2157.6,1231.1,3.1,1215
R,3108987,3109015,32,2140.2,1190.3,1826.9,1021.5,3.5,159
R,3109531,3109547,20,1734.5,1006.3,1913.2,1107.0,2.0,143
R,3109819,3109995,180,1975.0,1125.8,1701.8,1305.5,3.3,952
R,3110223,3110247,28,1746.7,1200.2,2133.0,1207.3,3.4,168
R,3111159,3111175,20,2168.4,1191.3,2059.0,1154.0,1.1,76
R,3113327,3113375,52,1944.9,1104.5,1120.8,1159.8,7.2,167
R,3113927,3114095,172,1022.9,1266.0,990.7,1275.5,0.3,973
R,3114351,3114367,20,996.3,1176.1,1023.1,1056.3,1.4,102
R,3115247,3115267,24,1050.7,1012.9,1092.7,1190.3,2.1,129
R,3115811,3115887,80,1098.9,1260.7,1989.7,1037.7,8.2,154
R,3116183,3116191,12,2010.4,1041.4,1951.7,1061.3,0.6,71
R,3118999,3119039,44,1949.0,1100.0,1234.4,1068.0,6.2,185
R,3119243,3119251,12,1081.3,1113.7,1075.1,1164.2,0.6,76
R,3119423,3119435,16,1037.3,1246.6,1026.4,1345.3,1.2,102
R,3121967,3122011,48,1082.6,1414.1,1984.6,1152.0,8.5,255
R,3123643,3123699,60,2011.6,1105.4,2879.4,1192.8,7.7,164
R,3125435,3125483,52,3002.2,1190.5,2115.8,1095.9,7.9,195
R,3127115,3127163,52,2028.4,1092.8,2782.1,1230.4,6.9,173
R,3128815,3128863,52,2916.5,1252.6,2066.2,1095.4,7.8,203
R,3130415,3130431,20,2009.3,1099.3,2166.8,1123.1,1.4,103
R,3130567,3130607,44,2325.2,1124.1,2858.8,1239.0,4.9,172
R,3132723,3132771,52,3003.9,1265.5,2105.2,1108.7,8.2,203
R,3134235,3134295,64,1911.6,1072.4,1250.9,1027.1,5.8,112
R,3137771,3137807,40,1047.3,1024.8,1931.6,1108.7,7.7,290
R,3139519,3139571,56,1926.3,1081.5,1216.2,1042.9,6.2,129
R,3139715,3139727,16,1112.8,1066.8,999.3,1079.8,1.0,85
R,3141931,3141971,44,1064.8,1150.2,1845.9,1065.5,6.8,234
R,3143623,3143683,64,2016.0,1077.5,2984.4,1197.5,8.7,164
R,3144399,3144407,12,3109.1,1317.9,3050.5,1308.4,0.5,66
R,3145539,3145587,52,3049.2,1278.6,2154.0,1075.3,8.3,195
R,3145803,3145815,16,2027.3,1053.5,1947.4,1075.2,0.8,65
R,3147475,3147535,64,1982.9,1093.7,2645.6,1179.6,6.0,113
R,3149675,3149723,52,2746.2,1195.8,2095.4,1111.0,5.8,134
R,3150999,3151007,12,2011.0,1076.8,2071.9,1076.6,0.5,67
R,3151043,3151299,260,2215.9,1114.8,2239.2,1194.9,1.0,774
R,3152015,3152055,44,2201.4,1109.0,2948.4,1159.3,6.6,223
R,3154011,3154067,60,3075.9,1184.0,2097.6,1087.4,8.7,191
R,3155779,3155831,56,2061.2,1093.5,2717.8,1127.1,5.8,129
R,3155991,3156003,16,2925.4,1154.7,3040.6,1185.9,1.1,92
R,3157863,3157915,56,3040.6,1183.2,2182.3,1092.6,7.6,172
R,3158123,3158131,12,2101.4,1097.3,2042.6,1091.4,0.5,65
R,3159903,3159915,16,1965.6,1097.2,1875.5,1093.3,0.8,73
R,3159955,3159991,40,1563.3,1091.5,1088.0,1134.9,4.1,119
R,3160343,3160355,16,979.9,1163.5,978.1,1216.9,0.6,54
R,3160555,3160563,12,897.6,1260.8,863.0,1293.0,0.5,60
R,3161547,3161559,16,932.2,1299.5,1016.2,1286.3,0.7,64
R,3161987,3162039,56,1063.0,1260.1,2078.3,1112.3,9.0,212
R,3164831,3164871,44,1851.6,1045.5,1080.9,1077.4,6.7,206
R,3165635,3165703,72,1040.8,1127.0,1826.8,1079.4,6.8,121
R,3167403,3167467,68,1976.1,1078.5,2804.2,1145.6,7.3,133
R,3167891,3167899,12,2997.3,1180.0,3053.8,1188.3,0.5,63
R,3169415,3169435,24,2690.0,1076.5,2507.2,1060.8,1.6,91
R,3171155,3171167,16,2004.4,1059.9,2097.1,1064.3,0.8,72
R,3171375,3171387,16,2184.2,1074.7,2280.0,1088.9,0.9,74
R,3171459,3171651,196,2751.6,1205.7,2985.0,1418.9,3.3,767
R,3171895,3171907,16,2942.2,1310.2,3030.4,1366.4,1.0,94
R,3173519,3173539,24,3080.2,1363.4,3118.6,1202.5,2.0,113
R,3174131,3174151,24,3099.4,1063.5,3097.7,1301.9,2.9,190
R,3174435,3174447,16,3082.6,1362.8,3104.3,1271.4,1.1,97
R,3175159,3175199,44,3041.4,1103.4,2637.2,1067.1,3.6,108
R,3175611,3175627,20,2533.3,1049.6,2389.5,1032.0,1.3,91
R,3176747,3176759,16,2004.1,1042.8,1931.4,1090.7,0.9,78
R,3178535,3178543,12,1999.5,1089.6,2057.6,1088.5,0.5,64
R,3179263,3179303,44,1996.8,1078.7,2593.6,1030.0,5.3,157
R,3179443,3179463,24,2664.7,1009.8,2901.7,983.9,2.1,127
R,3179895,3179915,24,3049.8,970.6,3143.1,1170.8,2.5,156
R,3180451,3180503,56,3101.1,1317.7,2095.8,1096.3,9.2,215
R,3183955,3183995,44,1963.6,1072.1,1150.7,1040.2,7.1,205
R,3184323,3184371,52,1020.3,1040.5,2157.6,1041.4,9.8,295
R,3184563,3184579,20,2203.5,1035.4,2030.3,1032.6,1.5,107
R,3190231,3190295,68,1955.0,1104.1,1155.3,1151.8,7.0,132
R,3190495,3190503,12,948.1,1199.8,906.7,1224.4,0.5,57
R,3192111,3192155,48,902.1,1258.3,1828.7,1116.0,8.2,260
R,3193787,3193799,16,1991.3,1077.2,2104.8,1084.6,1.0,88
R,3193963,3193983,24,2837.5,1154.7,3024.3,1209.6,1.8,102
R,3195015,3195027,16,3099.1,1354.0,3100.4,1282.0,0.9,78
R,3195127,3195139,16,3096.1,1218.1,3097.9,1142.5,0.9,80
R,3195751,3195819,72,3044.7,1034.5,2205.4,1028.6,7.4,132
R,3196367,3196395,32,2011.7,1068.0,1673.4,917.5,3.5,146
R,3196579,3196615,40,1598.1,881.9,2229.5,912.8,5.5,190
R,3196743,3196791,52,2282.9,897.2,1475.6,391.4,9.2,229
R,3196835,3197419,588,1349.5,360.5,2520.4,828.0,11.5,473
R,3197487,3199291,1808,2452.8,883.9,2916.3,1580.4,9.4,864
R,3199351,3199403,56,2880.6,1505.8,1989.4,1032.9,9.7,256
R,3199819,3199835,20,1888.7,954.9,1793.4,1055.3,1.5,104
R,3200099,3200127,32,1709.7,1168.5,2208.2,1159.2,4.4,202
R,3200435,3200479,48,2288.8,1122.5,1608.9,1068.3,6.0,178
R,3201051,3201067,20,1610.6,1087.4,1809.9,1073.6,1.8,123
R,3202579,3202599,24,1906.1,1069.2,1729.0,1069.1,1.6,89
R,3202947,3202979,36,1501.4,1109.1,1143.2,1214.4,3.3,133
R,3203431,3203439,12,944.4,1271.6,892.0,1269.6,0.4,55
R,3204979,3205023,48,895.0,1272.8,1936.0,1070.0,9.3,286
R,3206171,3206215,48,1979.2,1064.5,1223.7,1064.0,6.6,180
R,3206527,3206543,20,1115.9,1096.9,989.2,1198.2,1.6,115
R,3207275,3207287,16,905.4,1358.6,1019.2,1366.5,1.0,86
R,3207523,3207535,16,1034.1,1330.5,1068.7,1221.6,1.3,117
R,3208519,3208539,24,1039.8,1204.2,1069.1,1022.2,2.2,126
R,3209163,3209203,44,1021.4,951.9,1884.2,1070.4,7.6,257
R,3210679,3210747,72,1930.8,1086.2,903.9,1197.9,8.9,155
R,3212291,3212299,12,810.4,1284.3,862.1,1282.3,0.4,54
R,3212699,3212723,28,904.4,1270.2,1228.9,1232.2,2.8,148
R,3212899,3212923,28,1380.3,1194.0,1850.6,1125.3,4.2,223
R,3214243,3214307,68,1944.2,1092.2,1146.8,1151.8,7.0,117
R,3214927,3214935,12,991.8,1296.1,939.3,1296.9,0.5,55
R,3216435,3216443,12,832.4,1295.2,885.7,1290.1,0.5,57
R,3216903,3216943,44,930.3,1271.8,1752.3,1103.1,7.3,249
R,3217291,3217299,12,1893.5,1069.3,1943.1,1072.5,0.4,55
R,3218343,3218395,56,1922.1,1082.3,1150.2,1088.0,6.7,139
R,3219559,3219575,20,1000.2,1067.2,1043.9,1183.7,1.4,99
R,3221399,3221435,40,1089.2,1276.5,1804.7,1128.7,6.4,228
R,3222987,3223063,80,1917.7,1091.6,1072.9,1136.8,7.3,112
R,3223367,3223379,16,1012.6,1147.3,1117.2,1187.1,1.0,91
R,3225575,3225583,12,1044.5,1260.4,1044.2,1218.3,0.5,63
R,3225983,3226019,40,1042.5,1039.1,1867.2,1052.8,7.1,250
R,3227895,3227911,20,2019.3,1068.7,2164.0,1098.8,1.3,95
R,3228231,3228283,56,2321.9,1127.8,3085.0,1168.4,6.7,155
R,3228859,3228871,16,3094.9,1192.9,3050.5,1242.6,0.7,62
R,3229407,3229459,56,3058.6,1308.7,2137.7,1107.7,8.4,216
R,3230915,3230927,16,1968.2,1050.2,1896.9,1041.5,0.6,55
R,3231043,3231055,16,1468.7,1035.8,1374.6,1036.9,0.8,71
R,3232491,3232507,20,982.2,1061.9,975.8,1151.8,1.1,69
R,3233003,3233063,64,1033.2,1266.7,1855.1,1123.2,7.3,146
R,3233391,3233403,16,1834.0,1048.9,1933.0,1057.9,0.9,77
R,3235339,3235379,44,2128.8,1059.9,2620.0,1112.2,4.4,126
R,3235583,3235591,12,2954.3,1087.2,3011.0,1097.8,0.5,64
R,3237867,3237923,60,3074.8,1125.2,2292.4,1030.4,7.0,139
R,3238043,3238055,16,2163.0,1027.6,2030.6,1029.3,1.2,101
R,3239607,3239683,80,2050.0,1018.9,2955.4,1014.6,7.9,133
R,3239983,3239991,12,3119.6,1093.3,3083.7,1116.6,0.4,52
R,3241559,3241615,60,3066.3,1193.2,2061.3,1102.4,8.8,197
R,3243355,3243375,24,1921.3,1074.4,1752.8,1098.8,1.5,86
R,3243483,3243515,36,1468.3,1138.8,1114.2,1239.5,3.3,124
R,3244559,3244567,12,897.7,1278.7,843.3,1277.0,0.5,57
R,3245251,3245263,16,824.4,1288.7,944.9,1293.5,1.0,89
R,3245971,3246023,56,1008.6,1264.8,1755.2,1139.3,6.6,154
R,3246223,3246231,12,1874.1,1107.8,1931.8,1104.9,0.5,63
R,3247903,3247911,12,1950.6,1085.6,1884.9,1090.8,0.6,72
R,3248299,3248319,24,1553.5,1191.7,1343.1,1192.7,1.8,97
R,3249067,3249079,16,851.9,1294.2,770.1,1299.6,0.7,61
R,3249863,3249919,60,748.0,1306.6,1936.1,1052.4,10.6,254
R,3251431,3251447,20,2135.5,1000.6,2247.8,998.9,1.0,68
R,3251563,3251635,76,3201.1,1188.1,3270.0,1374.5,2.3,332
R,3253511,3253575,68,3055.6,914.2,2315.7,939.0,6.5,110
R,3255875,3255927,56,1997.6,1066.4,2635.3,1195.7,5.8,128
R,3257479,3257499,24,3061.7,1124.9,2930.2,1075.1,1.3,73
R,3259787,3259855,72,2131.5,1102.1,2886.5,1146.7,6.6,111
R,3261183,3261195,16,3096.4,1247.6,3094.5,1335.1,1.1,89
R,3261543,3261555,16,3070.0,1431.1,3093.5,1501.3,0.9,76
R,3261759,3261819,64,3057.8,1553.6,2166.1,1106.6,9.5,179
R,3262047,3262059,16,2025.2,1078.9,1943.0,1060.5,0.8,65
R,3263463,3263535,76,1910.0,1094.9,1099.1,1116.2,7.0,118
R,3263687,3263699,16,953.5,1173.9,894.2,1236.8,0.9,78
R,3263855,3263867,16,889.9,1297.1,1033.3,1356.8,1.4,128
R,3264519,3264531,16,1036.7,1359.0,1039.4,1302.2,0.7,62
R,3266375,3266439,68,1041.6,1112.5,1992.0,1147.9,8.2,169
R,3267831,3267847,20,1970.6,1064.1,2145.5,1062.4,1.5,107
R,3267983,3268063,84,3063.6,1158.8,3270.0,2440.7,15.1,454
R,3268099,3268171,76,3270.0,2465.4,2981.0,1338.3,13.4,469
R,3271419,3271427,12,2839.6,1277.5,2902.5,1286.8,0.6,70
R,3271979,3272019,44,2906.7,1298.5,2135.5,1138.5,7.0,209
R,3273599,3273607,12,1979.9,1127.6,1927.2,1123.7,0.5,58
R,3274975,3275011,40,1916.4,1127.3,1453.0,1167.3,4.1,128
R,3275563,3275583,24,1137.8,1240.0,883.3,1303.3,2.3,145
R,3276599,3276643,48,850.6,1304.0,1918.6,1117.7,9.4,281
R,3277203,3277211,12,1966.2,1053.8,1916.0,1048.3,0.4,56
R,3278403,3278423,24,1984.8,1064.5,2236.1,1121.6,2.3,141
R,3278971,3278987,20,2545.6,1205.9,2693.0,1234.2,1.3,96
R,3280291,3280299,12,2831.9,1275.1,2879.4,1276.7,0.4,52
R,3281211,3281255,48,2862.4,1273.1,2024.0,1099.8,7.7,213
R,3285383,3285395,16,1892.2,1095.5,1901.6,1025.4,0.8,73
R,3285623,3285663,44,1868.8,907.7,1659.3,542.6,4.7,147
R,3285711,3286551,844,1597.0,426.4,3270.0,1651.1,20.4,502
R,3287119,3287191,76,2901.3,1776.1,2578.6,2886.0,13.1,285
R,3287247,3287259,16,2542.8,3050.0,2538.6,3132.1,0.9,84
R,3287543,3289767,2228,2533.3,3270.0,1797.9,973.9,26.3,923
R,3290087,3290103,20,1718.7,1004.8,1881.6,997.5,1.4,104
R,3290619,3290639,24,1937.3,1014.7,1941.6,1149.1,1.6,95
R,3293831,3293875,48,1996.1,1160.3,2983.0,1163.2,8.7,260
R,3294811,3294971,164,2985.8,1131.3,2181.1,1058.6,7.1,625
R,3295363,3295379,20,2236.2,999.7,2079.2,1006.1,1.4,97
R,3296835,3296855,24,2009.1,1008.8,2150.1,1112.4,1.8,109
R,3297655,3297683,32,2228.1,1181.1,2719.1,1230.5,4.4,187
R,3297875,3297887,16,2808.8,1257.0,2918.5,1281.3,1.0,88
R,3299131,3299179,52,2966.7,1267.5,2083.3,1054.3,8.2,197
R,3301131,3301175,48,2001.5,1075.0,2774.8,1286.0,7.3,209
R,3302771,3302823,56,2973.6,1275.5,2110.1,1046.9,8.1,188
R,3304299,3304307,12,2006.1,1065.9,1949.8,1081.0,0.5,66
R,3306231,3306251,24,1974.7,1083.6,2158.3,1113.3,1.7,99
R,3306943,3306951,12,2172.0,1133.3,2107.5,1122.1,0.6,73
R,3307083,3307095,16,2057.6,1111.9,1965.5,1098.8,0.8,73
R,3310139,3310195,60,1993.1,1103.9,2730.5,1216.4,6.6,135
R,3312131,3312179,52,2852.8,1225.8,1908.4,1045.0,8.6,227
R,3314139,3314203,68,1924.1,1068.6,1114.4,1156.7,7.1,131
R,3314459,3314467,12,994.6,1197.6,943.6,1222.9,0.5,66
R,3316787,3316795,12,877.1,1272.4,932.8,1264.2,0.5,60
R,3316991,3317051,64,979.8,1220.6,1863.9,1131.0,7.7,157
R,3318871,3318939,72,1990.7,1085.8,2825.8,1308.0,7.8,141
R,3320231,3320251,24,3029.8,1353.8,3064.4,1075.1,3.4,203
R,3320699,3320735,40,3064.1,953.4,3069.8,1379.4,5.1,178
R,3321151,3321187,40,3063.9,1452.8,3035.2,1020.1,5.2,208
R,3321535,3321579,48,3000.1,910.6,2373.7,972.8,5.5,139
R,3322195,3322203,12,2242.7,987.9,2189.0,990.5,0.5,59
R,3322471,3322479,12,2135.0,981.6,2077.8,978.3,0.5,63
R,3322639,3322651,16,2045.9,975.9,1974.9,995.8,0.7,60
R,3325283,3325339,60,1946.7,1096.7,2906.6,1000.4,8.5,171
R,3325643,3325659,20,3048.8,995.6,3110.8,1092.2,1.3,89
R,3327475,3327511,40,2591.6,1179.2,2119.9,1153.9,4.2,123
R,3329555,3329611,60,1926.6,1112.1,1031.3,1119.3,7.7,169
R,3331783,3331831,52,1051.0,1116.0,1740.5,1039.6,6.0,154
R,3332043,3332051,12,1899.3,1023.5,1961.5,1034.6,0.6,70
R,3333459,3333515,60,1934.5,1052.6,1150.8,1109.4,6.8,138
R,3333691,3333703,16,999.9,1142.1,905.1,1161.1,0.8,74
R,3335755,3335807,56,932.2,1158.3,1886.6,1064.8,8.3,217
R,3337327,3337587,264,1945.5,1114.6,1420.0,1160.5,4.6,1349
R,3337683,3337695,16,1210.6,1202.4,1099.4,1231.6,1.0,87
R,3340707,3340727,24,754.0,1348.7,742.7,1484.0,1.6,93
R,3340771,3340787,20,726.8,1620.9,727.5,1425.8,2.3,164
R,3341415,3341471,60,785.4,1277.5,2111.4,1069.9,11.6,255
R,3341655,3341667,16,2129.1,1042.2,2022.7,1046.8,0.9,85
R,3343291,3343339,52,1976.5,1073.0,2733.2,1223.2,6.8,176
R,3344903,3344931,32,2922.7,1237.4,2593.2,1158.5,3.0,128
R,3345079,3345095,20,2458.0,1124.8,2301.9,1099.1,1.4,96
R,3345499,3345515,20,2218.7,1051.2,2069.9,1038.5,1.3,90
R,3347591,3347663,76,1892.1,1041.5,988.1,1191.1,8.0,136
R,3347851,3347863,16,862.6,1228.2,987.1,1197.3,1.1,98
R,3348319,3348327,12,996.4,1045.3,1000.8,1093.6,0.6,72
R,3349415,3349459,48,1061.4,1148.7,1970.1,1074.6,7.9,257
R,3349763,3349771,12,2009.0,1070.6,1950.9,1067.2,0.5,64
R,3351411,3351471,64,1930.2,1088.0,1331.2,1109.4,5.2,105
R,3352711,3352719,12,849.4,1247.0,813.6,1275.5,0.5,56
R,3353731,3353795,68,911.0,1287.0,1886.9,1157.1,8.5,183
R,3355263,3355319,60,1923.2,1068.0,1319.1,1037.4,5.2,108
R,3355603,3355615,16,1092.0,1039.6,988.0,1032.3,0.9,79
R,3356047,3356055,12,957.0,1065.8,1022.8,1071.6,0.6,70
R,3358715,3358779,68,1076.3,1204.7,1866.5,1065.4,7.0,174
R,3360363,3360379,20,1941.4,1084.2,1809.7,1074.2,1.1,79
R,3360535,3360551,20,1374.8,1125.9,1252.0,1139.2,1.1,74
R,3360695,3360707,16,1064.8,1163.5,949.5,1184.0,1.0,85
R,3361815,3361827,16,907.2,1235.2,1014.7,1242.5,0.9,80
R,3362811,3362851,44,1088.3,1263.2,1995.1,1139.8,8.0,271
