eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
L,3759366,3759854,492,1122.4,1264.5,229
L,3759874,3760430,560,1297.8,1237.4,236
L,3760458,3761982,1528,1924.1,1089.1,316
L,3762062,3762130,72,1256.5,1613.0,343
L,3762166,3762426,264,1268.8,2032.2,343
L,3762446,3762658,216,1121.3,2092.2,350
L,3762698,3762866,172,1166.5,1492.3,356
L,3762894,3763182,292,1192.9,1262.0,288
L,3763206,3763394,192,1177.3,1124.0,219
L,3763494,3763754,264,1138.5,1051.1,193
L,3763866,3765374,1512,1147.9,1034.8,241
L,3765394,3765606,216,1375.3,1042.0,323
L,3765638,3767122,1488,1922.3,1055.6,324
L,3767150,3767386,240,2258.1,1089.5,350
L,3767446,3767610,168,2782.9,1569.6,374
L,3767638,3767994,360,2904.0,1785.7,403
L,3768030,3768058,32,2991.7,1370.0,402
L,3768086,3768294,212,3016.0,1120.3,357
L,3768310,3768410,104,3094.4,1158.4,288
L,3768558,3768706,152,3016.7,1168.5,234
L,3768834,3769014,184,2858.1,1118.8,230
L,3769174,3769374,204,2670.7,1155.2,266
L,3769530,3769702,176,2641.5,1117.8,252
L,3769734,3770122,392,3085.2,1133.1,253
L,3770238,3770470,236,3105.3,1116.3,234
L,3770574,3771258,688,2649.4,1118.2,274
L,3771286,3771506,224,3090.8,1156.4,272
L,3771606,3773242,1640,2669.2,1108.3,286
L,3773290,3774346,1060,1924.1,1091.5,320
L,3774382,3774642,264,1315.0,1212.3,333
L,3774690,3774990,304,1183.4,1905.9,333
L,3775038,3775142,108,1266.1,1365.2,352
L,3775158,3776166,1012,1167.1,1290.0,356
L,3776186,3776822,640,1296.9,1230.9,286
L,3776854,3778206,1356,1909.0,1090.5,328
L,3778274,3778386,116,1092.2,1371.5,363
L,3778518,3778530,16,-80.0,905.5,344
L,3778546,3779030,488,215.2,1015.2,349
L,3779086,3779174,92,884.5,1114.6,365
L,3779198,3779378,184,1160.0,1111.1,376
L,3779394,3779534,144,1216.8,1049.4,339
L,3779562,3780510,952,1204.2,1377.6,314
L,3780554,3781758,1208,1928.0,1058.3,363
L,3781802,3781994,196,1294.4,1203.0,392
L,3782026,3782230,208,1056.6,1508.4,389
L,3782262,3782550,292,1125.0,1869.8,402
L,3782594,3783278,688,1151.0,1354.4,407
L,3783298,3784254,960,1297.5,1251.7,310
L,3784290,3784494,208,1738.8,1103.7,320
L,3784514,3784694,184,1639.8,1013.6,328
L,3784806,3784926,124,2157.0,1004.7,269
L,3785054,3785278,228,2333.4,1010.9,268
L,3785402,3785598,200,1894.2,1175.3,297
L,3785758,3785842,88,1798.9,1211.9,292
L,3785914,3786210,300,1105.4,179.2,276
L,3786374,3786634,264,2113.1,1154.6,246
L,3786658,3786966,312,1867.1,1194.2,277
L,3787194,3787326,136,2015.6,1150.6,282
L,3787506,3787654,152,2298.6,1145.7,309
L,3787682,3788882,1204,1806.5,1174.3,336
L,3788902,3789366,468,1936.2,1199.5,343
L,3789386,3789942,560,1916.4,1096.6,341
L,3789978,3790218,244,2515.3,1121.3,364
L,3790282,3790422,144,3270.0,1249.6,369
L,3790446,3790670,228,3270.0,1320.7,383
L,3790710,3790794,88,3055.7,1157.2,414
L,3790818,3791150,336,2747.3,1131.3,423
L,3791174,3791346,176,2972.8,1095.2,419
