eye,tStart,tEnd,duration
L,3216602,3217262,664
L,3218022,3218370,352
L,3218738,3218930,196
L,3224106,3224194,92
L,3231606,3231682,80
L,3239566,3239730,168
L,3243806,3244094,292
L,3246210,3246646,440
L,3247534,3249094,1564
L,3250250,3250326,80
L,3267266,3267418,156
L,3273030,3273434,408
L,3273650,3273950,304
L,3274214,3274406,196
L,3274690,3274842,156
L,3277934,3278006,76
L,3303966,3304106,144
L,3312758,3312978,224
L,3315454,3315750,300
L,3317050,3318370,1324
L,3319866,3320014,152
L,3321294,3321486,196
L,3324534,3324734,204
L,3325862,3326466,608
L,3326730,3327118,392
L,3327330,3327666,340
L,3332690,3332750,64
L,3347546,3347702,160
L,3361394,3361546,156
L,3367634,3368726,1096
L,3372682,3372886,208
L,3373598,3374782,1188
L,3377942,3378030,92
L,3378878,3379046,172
L,3379338,3379538,204
L,3400314,3402242,1932
L,3405430,3405538,112
L,3411926,3412066,144
L,3415002,3415158,160
L,3420810,3420994,188
L,3428806,3429138,336
L,3430082,3430338,260
L,3431686,3431814,132
L,3432358,3432490,136
L,3436982,3437066,88
L,3455934,3456074,144
L,3459842,3461242,1404
L,3463598,3463646,52
L,3476026,3476306,284
L,3478338,3478606,272
L,3479074,3479202,132
L,3479802,3480038,240
L,3480214,3481398,1188
L,3481830,3482094,268
L,3484234,3484302,72
L,3511366,3511498,136
L,3520082,3520210,132
L,3521598,3523018,1424
L,3525070,3525190,124
L,3527922,3528062,144
L,3528666,3532094,3432
L,3532258,3532438,184
L,3533574,3533710,140
L,3535946,3536066,124
L,3539418,3539566,152
L,3557194,3557374,184
L,3564342,3564486,148
L,3569010,3569154,148
L,3572702,3572886,188
L,3583274,3583562,292
L,3584338,3584466,132
L,3588566,3588854,292
L,3590386,3591442,1060
L,3593962,3594122,164
L,3597474,3597614,144
L,3612478,3612810,336
L,3614094,3614150,60
L,3614382,3615318,940
L,3616650,3617874,1228
L,3620618,3620718,104
L,3633114,3633226,116
L,3633746,3633846,104
L,3634546,3636122,1580
L,3636814,3651478,14668
L,3651774,3652042,272
L,3652942,3653150,212
L,3653830,3653830,4
L,3653938,3653978,44
L,3654030,3654430,404
L,3655602,3656006,408
L,3656486,3656586,104
L,3657378,3659110,1736
L,3659274,3659554,284
L,3659982,3660078,100
L,3660806,3669014,8212
L,3669242,3680014,10776
L,3680090,3680514,428
L,3690874,3690962,92
L,3711222,3711318,100
L,3731174,3731310,140
L,3739718,3739878,164
L,3740210,3740310,104
