time,text
3971371,TRIAL_END 23
3971371,TRIALID 24
3971373,FIX_START
3972372,FIX_END
3972388,STIM_START
3972655,STIM_END
3973155,RESP_START
3975439,RESP_END
3975439,TRIAL_END 24
3975439,TRIALID 25
3975441,FIX_START
3976439,FIX_END
3976455,STIM_START
3976705,STIM_END
3977205,RESP_START
3980122,RESP_END
3980122,TRIAL_END 25
3980122,TRIALID 26
3980124,FIX_START
3981122,FIX_END
3981139,STIM_START
3981389,STIM_END
3981889,RESP_START
3983989,RESP_END
3983989,TRIAL_END 26
3983989,TRIALID 27
3983991,FIX_START
3984989,FIX_END
3985006,STIM_START
3985273,STIM_END
3985773,RESP_START
3987373,RESP_END
3987373,TRIAL_END 27
3987373,TRIALID 28
3987375,FIX_START
3988373,FIX_END
3988390,STIM_START
3988656,STIM_END
3989156,RESP_START
3990856,RESP_END
3990856,TRIAL_END 28
3990856,TRIALID 29
3990858,FIX_START
3991857,FIX_END
3991873,STIM_START
3992140,STIM_END
3992640,RESP_START
3994190,RESP_END
3994190,TRIAL_END 29
3994190,TRIALID 30
3994192,FIX_START
3995691,FIX FAILED
3996691,FIX_SUCCEED
3996941,FIX_END
3996957,STIM_START
3997207,STIM_END
3997707,RESP_START
4000124,RESP_END
4000124,TRIAL_END 30
4000124,TRIALID 31
4000126,FIX_START
4001124,FIX_END
4001141,STIM_START
4001408,STIM_END
4001908,RESP_START
4004325,RESP_END
4004325,TRIAL_END 31
4004325,TRIALID 32
4004326,FIX_START
4005325,FIX_END
4005342,STIM_START
4005592,STIM_END
4006092,RESP_START
4007958,RESP_END
4007958,TRIAL_END 32
4007958,TRIALID 33
4007960,FIX_START
4008959,FIX_END
4008975,STIM_START
4009242,STIM_END
4009742,RESP_START
4011225,RESP_END
4011225,TRIAL_END 33
4011225,TRIALID 34
4011227,FIX_START
4012225,FIX_END
4012242,STIM_START
4012493,STIM_END
4012992,RESP_START
4015492,RESP_END
4015492,TRIAL_END 34
4015492,TRIALID 35
4015495,FIX_START
4016492,FIX_END
4016509,STIM_START
4016759,STIM_END
4017259,RESP_START
4019292,RESP_END
4019292,TRIAL_END 35
4019292,TRIALID 36
4019295,FIX_START
4020293,FIX_END
4020309,STIM_START
4020576,STIM_END
4021076,RESP_START
4024660,RESP_END
4024660,TRIAL_END 36
4024660,TRIALID 37
4024662,FIX_START
4025660,FIX_END
4025677,STIM_START
4025927,STIM_END
4026427,RESP_START
4027960,RESP_END
4027960,TRIAL_END 37
4027960,TRIALID 38
4027962,FIX_START
4028960,FIX_END
4028977,STIM_START
4029227,STIM_END
4029727,RESP_START
4031127,RESP_END
4031127,TRIAL_END 38
4031127,TRIALID 39
4031129,FIX_START
4032128,FIX_END
4032144,STIM_START
4032411,STIM_END
4032911,RESP_START
4034777,RESP_END
4034777,TRIAL_END 39
4034777,TRIALID 40
4040427,FIX_START
4041428,FIX_END
4041445,STIM_START
4041695,STIM_END
4042195,RESP_START
4043745,RESP_END
4043745,TRIAL_END 40
4043745,TRIALID 41
4043747,FIX_START
4044745,FIX_END
4044762,STIM_START
4045028,STIM_END
4045529,RESP_START
4047095,RESP_END
4047095,TRIAL_END 41
4047095,TRIALID 42
4047097,FIX_START
4048095,FIX_END
4048112,STIM_START
4048379,STIM_END
4048879,RESP_START
4050579,RESP_END
4050579,TRIAL_END 42
