eye,tStart,tEnd,duration
R,1259061,1262881,3824
R,1268821,1268849,32
R,1272837,1273613,780
R,1273709,1274661,956
R,1285853,1285853,4
R,1286269,1286313,48
R,1286653,1286709,60
R,1287173,1287229,60
R,1287473,1287617,148
R,1320829,1321433,608
R,1384293,1384313,24
R,1384693,1384705,16
R,1449921,1450049,132
R,1480437,1480481,48
R,1482221,1482229,12
R,1534949,1535861,916
R,1665901,1665901,4
R,1673753,1673781,32
R,1675461,1675509,52
R,1676077,1676105,32
R,1676629,1676637,12
R,1699225,1700141,920
R,1734293,1734321,32
R,1870325,1870345,24
R,1872201,1872201,4
R,1934241,1934245,8
R,1954285,1954321,40
R,1954733,1954773,44
R,2016885,2016949,68
R,2074245,2074273,32
R,2074717,2074729,16
R,2093905,2093909,8
R,2094333,2094337,8
R,2106417,2106449,36
R,2115097,2115161,68
R,2146773,2146793,24
R,2185441,2185501,64
R,2193321,2193429,112
R,2193561,2193685,128
R,2195653,2195685,36
R,2207749,2207809,64
R,2262089,2262129,44
R,2263189,2263321,136
R,2264101,2264117,20
R,2264197,2264329,136
R,2315069,2315321,256
R,2315657,2315873,220
R,2318329,2318373,48
R,2344557,2344661,108
R,2444129,2444137,12
R,2444197,2444201,8
R,2444297,2444453,160
R,2501685,2501713,32
R,2502137,2502185,52
R,2515725,2515813,92
R,2579101,2579101,4
R,2580725,2580753,32
R,2602677,2602705,32
R,2603221,2603293,76
R,2605853,2605881,32
R,2609381,2609409,32
R,2728765,2728961,200
R,2729041,2729133,96
R,2729417,2729445,32
R,2729577,2743861,14288
R,2744849,2744877,32
R,2749185,2749269,88
R,2766577,2767253,680
R,2797501,2797597,100
R,2797809,2798325,520
R,2798497,2798773,280
R,2799557,2800033,480
R,2800105,2801433,1332
R,2851109,2851213,108
R,2853693,2853693,4
R,2901541,2901605,68
R,2901905,2901945,44
R,2955997,2956049,56
R,2956281,2956365,88
R,2960521,2960585,68
R,2963261,2963445,188
R,2964037,2964049,16
R,3016153,3016353,204
R,3016625,3017345,724
R,3019713,3019721,12
R,3021249,3021273,28
R,3034213,3034325,116
R,3034685,3034733,52
R,3037213,3037317,108
R,3037561,3037717,160
R,3038041,3038125,88
R,3038529,3038625,100
R,3038961,3039037,80
R,3043401,3043433,36
R,3072401,3072669,272
R,3072885,3073245,364
R,3073445,3081897,8456
R,3082237,3082297,64
R,3082701,3087661,4964
R,3088381,3088481,104
R,3088809,3088909,104
R,3089133,3089217,88
R,3089597,3089653,60
R,3094753,3095737,988
R,3096389,3096493,108
R,3097241,3097985,748
R,3146901,3146993,96
R,3147269,3147321,56
R,3147637,3147705,72
R,3148029,3148113,88
R,3148865,3148945,84
R,3179901,3180009,112
R,3194209,3194261,56
R,3198585,3198605,24
R,3198881,3198949,72
R,3238833,3238873,44
R,3241365,3241429,68
R,3244501,3244509,12
R,3254189,3254205,20
R,3258213,3258273,64
R,3258577,3258661,88
R,3258969,3259049,84
R,3259337,3259397,64
R,3260093,3260113,24
R,3273401,3273465,68
R,3286149,3286169,24
R,3288965,3288973,12
R,3293437,3293497,64
R,3302365,3302433,72
R,3315973,3315989,20
R,3316049,3316129,84
R,3316665,3316741,80
R,3317089,3317101,16
R,3323681,3323733,56
R,3325593,3325605,16
R,3335053,3335097,48
R,3336305,3336353,52
R,3338097,3338137,44
R,3338645,3338705,64
R,3341293,3341365,76
R,3342257,3342321,68
R,3345221,3345301,84
R,3349261,3349349,92
R,3353881,3354609,732
R,3355233,3355293,64
R,3360881,3360969,92
R,3370193,3370233,44
R,3376573,3376637,68
R,3378073,3378173,104
R,3380753,3380789,40
R,3383909,3383985,80
R,3387961,3387989,32
R,3389053,3389205,156
R,3392225,3392265,44
R,3399381,3399421,44
R,3400233,3400321,92
R,3413049,3413117,72
R,3413493,3414541,1052
R,3423561,3423581,24
R,3438137,3438213,80
R,3438461,3438637,180
R,3438821,3461473,22656
R,3462153,3462205,56
R,3465485,3465513,32
R,3467445,3469213,1772
R,3470273,3470365,96
R,3470765,3472829,2068
R,3473025,3473049,28
R,3485877,3485949,76
R,3486297,3486357,64
R,3486761,3486829,72
R,3488053,3488101,52
R,3488537,3488593,60
R,3496521,3496537,20
R,3506013,3506029,20
R,3506229,3506325,100
R,3506613,3506725,116
R,3506901,3506977,80
R,3507281,3507369,92
R,3507705,3507745,44
R,3509793,3509861,72
R,3510161,3510233,76
R,3544089,3545533,1448
