eye,tStart,tEnd,duration
R,1838121,1838373,256
R,1844333,1844805,476
R,1849653,1850025,376
R,1850629,1850813,188
R,1851293,1851517,228
R,1851945,1852501,560
R,1857745,1857753,12
R,1859101,1859597,500
R,1869645,1869701,60
R,1870205,1870277,76
R,1879013,1879353,344
R,1886389,1887097,712
R,1887761,1887833,76
R,1888569,1888965,400
R,1896533,1896569,40
R,1898277,1898317,44
R,1898441,1898645,208
R,1899857,1900293,440
R,1903793,1904773,984
R,1905949,1906177,232
R,1908413,1908485,76
R,1909953,1910025,76
R,1912817,1913041,228
R,1913381,1913925,548
R,1914181,1914345,168
R,1914625,1925361,10740
R,1925753,1925909,160
R,1926097,1926685,592
R,1926829,1931177,4352
R,1931613,1931753,144
R,1935969,1936025,60
R,1937865,1937961,100
R,1942809,1942885,80
R,1945413,1945417,8
R,1947409,1947417,12
R,1954741,1955197,460
R,1962397,1962429,36
R,1962949,1963045,100
R,1966213,1966213,4
R,1971093,1971577,488
R,1976525,1976893,372
R,1984289,1984457,172
R,1991121,1991385,268
R,1991701,1991869,172
R,1997969,1998085,120
R,2002901,2002945,48
R,2006517,2006849,336
R,2007893,2008217,328
R,2014501,2014841,344
R,2015201,2015733,536
R,2019901,2019945,48
R,2024281,2024493,216
R,2030973,2031565,596
R,2031805,2032033,232
R,2038133,2038433,304
R,2046409,2046433,28
R,2047985,2048049,68
R,2054781,2054821,44
R,2055969,2056541,576
R,2057457,2057549,96
R,2057941,2058105,168
R,2064469,2064501,36
R,2065677,2065709,36
R,2066717,2066749,36
R,2081033,2081157,128
R,2081481,2081653,176
R,2082609,2082705,100
R,2088749,2088833,88
R,2089097,2098997,9904
R,2099685,2099841,160
R,2100093,2100185,96
R,2100437,2100701,268
R,2100913,2101033,124
R,2101349,2101457,112
R,2102225,2102257,36
R,2103705,2103737,36
R,2104293,2104325,36
R,2105689,2105721,36
R,2107301,2107381,84
R,2107933,2107965,36
R,2110285,2110389,108
R,2113869,2114017,152
R,2114509,2114777,272
R,2120449,2120481,36
