time,text
878693,!CAL
878694,!CAL Calibration points:
878694,"!CAL 5.5, -20.6 1973, 4803"
878694,"!CAL 2.5, -33.6 2058, 8072"
878694,"!CAL 7.8, -8.5 1904, 1912"
878694,"!CAL -16.9, -16.0 -1817, 4751"
878694,"!CAL 30.1, -21.4 6222, 4884"
878694,"!CAL eye check box: (L,R,T,B)"
878694,"!CAL href cal range: (L,R,T,B)"
878694,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
878694,"!CAL Prenormalize: offx, offy = 5.4543 -20.585"
878694,!CAL Gains: cx:167.923 lx:174.540 rx:176.865
878694,!CAL Gains: cy:225.568 ty:259.346 by:234.461
878694,"!CAL Resolution (upd) at screen center: X=1.6, Y=1.2"
878694,!CAL Gain Change Proportion: X: 0.013 Y: 0.106
878694,!CAL Gain Ratio (Gy/Gx) = 1.343
878694,"!CAL Cross-Gain Ratios: X=0.245, Y=0.108"
878694,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
878694,"!CAL CR gain match(x,y) = 1.000, 1.000"
878694,!CAL Slip rotation correction OFF
878697,!CAL CALIBRATION HV5 R RIGHT GOOD
887042,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.37 avg. 0.47 max OFFSET 0.26 deg. 8.1,21.8 pix."
887042,"VALIDATE R 4POINT 0 RIGHT at 1920,1080 OFFSET 0.47 deg. 5.6,40.2 pix."
887042,"VALIDATE R 4POINT 1 RIGHT at 1920,184 OFFSET 0.39 deg. -36.8,20.8 pix."
887042,"VALIDATE R 4POINT 2 RIGHT at 1920,1975 OFFSET 0.29 deg. 32.5,-8.3 pix."
887042,"VALIDATE R 4POINT 3 RIGHT at 230,1080 OFFSET 0.12 deg. 12.1,5.0 pix."
887043,"VALIDATE R 4POINT 4 RIGHT at 3609,1080 OFFSET 0.18 deg. 15.1,-10.6 pix."
891449,"DRIFTCORRECT R RIGHT at 1920,1080 OFFSET 1.07 deg. -102.1,52.0 pix."
892021,RECCFG CR 500 2 1 R
892021,ELCLCFG RTABLER
892021,GAZE_COORDS 0.00 0.00 3839.00 2159.00
892021,THRESHOLDS R 48 140
892021,ELCL_PROC ELLIPSE (5)
892021,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
892022,!MODE RECORD CR 500 2 1 R
900759,TRIALID 1
900766,FIX_START
901259,FIX_END
901276,STIM_START
901526,STIM_END
902026,RESP_START
905393,RESP_END
905394,TRIAL_END 1
905394,TRIALID 2
905397,FIX_START
905893,FIX_END
905909,STIM_START
906160,STIM_END
906660,RESP_START
911044,RESP_END
