eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,3695094,3695114,24,1574.5,1098.4,1359.3,1070.4,2.0,115
L,3695386,3695414,32,1257.5,1052.7,1561.5,1004.6,2.8,108
L,3695578,3695594,20,1680.9,1003.8,1847.6,995.6,1.5,100
L,3695770,3695794,28,1979.0,999.8,2298.4,990.4,2.9,146
L,3696062,3696086,28,2457.1,978.5,2721.5,989.8,2.4,109
L,3696322,3696390,72,2778.4,1002.7,1779.1,1144.5,9.1,167
L,3696886,3696922,40,1659.7,1233.8,2165.4,1194.4,4.6,163
L,3697154,3697178,28,2218.4,1195.6,1816.1,1222.9,3.6,202
L,3697498,3697510,16,1725.4,1215.3,1844.7,1187.5,1.1,100
L,3699018,3699038,24,1908.0,1185.3,1683.0,1223.4,2.1,122
L,3699298,3699318,24,1569.3,1236.9,1805.0,1133.5,2.5,156
L,3700682,3700726,48,1971.8,1119.1,2479.2,1098.7,4.6,123
L,3701258,3701298,44,2574.8,1131.1,2803.8,1661.8,6.8,199
L,3701658,3701690,36,2797.2,1698.3,2865.9,1218.8,5.9,246
L,3702074,3702090,20,2858.0,1175.8,2646.3,1142.0,1.9,141
L,3702338,3702370,36,2145.9,1098.1,2541.2,1096.2,3.5,128
L,3702426,3702442,20,2656.3,1098.4,2828.4,1120.6,1.6,113
L,3702990,3703034,48,2894.5,1135.9,2023.1,1111.0,7.8,253
L,3704938,3705010,76,1892.4,1111.0,1194.5,2055.8,13.1,242
L,3705334,3705366,36,1157.9,2071.7,1132.2,1684.2,4.7,165
L,3705642,3705662,24,1136.0,1628.7,1149.4,1395.7,2.9,178
L,3705906,3705918,16,1202.3,1333.0,1280.5,1306.8,0.8,66
L,3706262,3706270,12,1249.8,1291.9,1194.1,1296.9,0.5,62
L,3707522,3707534,16,1195.0,1278.7,1272.5,1235.0,0.9,76
L,3708058,3708094,40,1325.5,1230.5,1749.3,1193.9,3.8,124
L,3709174,3709194,24,1889.8,1106.0,1621.7,1152.3,2.5,153
L,3709366,3709406,44,1474.4,1205.9,1166.6,1750.7,7.2,217
L,3709806,3709830,28,1159.5,1787.8,1168.2,1533.7,3.1,168
L,3710470,3710482,16,1147.3,1388.7,1250.7,1350.8,1.0,91
L,3710626,3710638,16,1263.7,1340.8,1169.2,1323.8,0.9,77
L,3711126,3711138,16,1166.3,1273.6,1257.1,1237.1,0.9,80
L,3711818,3711866,52,1342.7,1217.3,1790.9,1097.7,4.3,121
L,3713130,3713858,732,1887.1,1079.7,218.8,1053.6,14.5,910
L,3714070,3714110,44,234.0,1042.5,1145.5,1050.0,7.9,559
L,3714434,3714458,28,1232.0,1057.9,1171.9,1337.2,3.5,176
L,3714710,3714730,24,1160.6,1370.0,1187.0,1187.5,2.3,129
L,3716190,3716234,48,1276.0,1082.1,1718.5,1024.1,4.0,118
L,3716266,3716314,52,1930.7,1090.2,1950.1,1154.1,0.8,293
