trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
1,727422,728417,,867798.0,728434,728701,729201,736536
2,736538,737535,,1109254.0,737552,737802,738301,742854
3,742856,743353,,1158492.0,743369,743635,744136,751387
4,751390,751886,,1176077.0,751903,752153,752653,755837
5,755841,756337,,1423718.0,756354,756603,757104,765690
6,765692,766188,,1595667.0,766204,766455,766954,773722
7,773724,774222,,1749598.0,774238,774505,775005,779555
8,779558,780056,,1805854.0,780072,780322,780822,787006
9,787008,787507,,1992821.0,787523,787790,788290,794857
10,794859,795357,,2107616.0,795374,795624,796124,799807
11,799809,801308,,2189474.0,801324,801591,802091,807658
12,807661,808158,,2361773.0,808175,808425,808925,813325
13,813328,813826,,2485668.0,813842,814109,814609,820576
14,820578,821076,,2514571.0,821093,821343,821843,825460
15,825462,825960,,2616331.0,825977,826243,826744,830827
16,830829,831328,,,831344,831594,832094,835478
17,835480,835978,,,835994,836261,836761,842112
18,842114,842612,,,842628,842895,843395,847178
19,847180,847679,,,847696,847945,848446,852880
20,864284,868048,,,868064,868314,868814,876381
21,876383,876882,,,876898,877165,877665,882015
22,882017,882516,,,882533,882799,883299,887866
23,887868,888366,,,888382,888649,889149,895150
24,895152,895650,,,895667,895933,896433,900917
25,900919,902417,,,902434,902684,903184,906101
26,906103,906601,,,906618,906884,907384,911018
27,911020,911518,,,911535,911785,912285,917352
28,917354,917852,,,917869,918119,918619,922519
29,922522,923519,,,923536,923803,924302,928837
30,928839,929337,,,929353,929620,930120,933420
31,933423,933920,,,933937,934187,934687,938337
32,938339,939337,,,939354,939605,940104,943104
33,943106,943605,,,943621,943888,944388,948005
34,948007,948505,,,948522,948789,949288,953022
35,953024,954023,,,954039,954289,954789,959723
36,959725,961223,,,961240,961489,961990,969940
37,969943,970941,,,970957,971207,971708,975074
38,975076,976074,,,976091,976341,976841,984094
39,984098,985092,,,985109,985359,985859,989109
40,994254,995243,,,995259,995509,996009,1002977
41,1002979,1003477,,,1003494,1003760,1004260,1007461
42,1007463,1007961,,,1007977,1008244,1008744,1012244
43,1012246,1013245,,,1013261,1013511,1014011,1017495
44,1017497,1017995,,,1018012,1018279,1018778,1023962
45,1023964,1024462,,,1024479,1024746,1025246,1030013
46,1030015,1030513,,,1030530,1030796,1031296,1037864
47,1037866,1038364,,,1038380,1038647,1039147,1044897
48,1044899,1045398,,,1045414,1045664,1046164,1051215
49,1051217,1051715,,,1051732,1051998,1052498,1058099
50,1058101,1059599,,,1059616,1059882,1060382,1063799
51,1063801,1064800,,,1064816,1065067,1065566,1068883
52,1068885,1069383,,,1069400,1069667,1070167,1073817
53,1073819,1074817,,,1074834,1075101,1075601,1079151
54,1079153,1079651,,,1079668,1079918,1080418,1083985
55,1083987,1084485,,,1084502,1084768,1085268,1090102
56,1090104,1091102,,,1091118,1091385,1091885,1096569
57,1096571,1097070,,,1097086,1097336,1097836,1101153
58,1101155,1102153,,,1102170,1102437,1102937,1106753
59,1106755,1109504,,,1109521,1109787,1110287,1117404
60,1122343,1122839,,,1122855,1123122,1123622,1131572
61,1131574,1132073,,,1132089,1132356,1132856,1142523
62,1142525,1143524,,,1143540,1143807,1144307,1148441
63,1148442,1149941,,,1149957,1150208,1150707,1155491
64,1155493,1158742,,,1158759,1159008,1159509,1164709
65,1164711,1165709,,,1165726,1165976,1166476,1173076
66,1173078,1176327,,,1176343,1176594,1177093,1182427
67,1182430,1183427,,,1183444,1183694,1184194,1188328
68,1188330,1189328,,,1189345,1189611,1190111,1195229
69,1195231,1195729,,,1195745,1196012,1196512,1201162
70,1201164,1201663,,,1201680,1201946,1202446,1208263
71,1208265,1209264,,,1209280,1209530,1210030,1213248
72,1213252,1214247,,,1214264,1214530,1215031,1218247
73,1218249,1218747,,,1218764,1219014,1219514,1223365
74,1223367,1223865,,,1223881,1224131,1224631,1228648
75,1228650,1229149,,,1229165,1229415,1229915,1234116
76,1234117,1234616,,,1234632,1234882,1235383,1237916
77,1237918,1238916,,,1238933,1239199,1239700,1243283
78,1243286,1244283,,,1244300,1244567,1245067,1249850
79,1249852,1250851,,,1250867,1251134,1251634,1256618
80,1262296,1263285,,,1263302,1263568,1264068,1268336
81,1268337,1269336,,,1269352,1269619,1270119,1273303
82,1273305,1273804,,,1273820,1274069,1274570,1277337
83,1277338,1278337,,,1278353,1278603,1279103,1283054
84,1283057,1283553,,,1283570,1283837,1284337,1287771
85,1287774,1289271,,,1289288,1289538,1290038,1293054
86,1293057,1293555,,,1293571,1293838,1294338,1297238
87,1297240,1297738,,,1297755,1298005,1298505,1302972
88,1302977,1303472,,,1303489,1303739,1304239,1309256
89,1309258,1310756,,,1310773,1311040,1311540,1315507
90,1315509,1316507,,,1316523,1316790,1317290,1320341
91,1320342,1320841,,,1320857,1321107,1321608,1325058
92,1325060,1325558,,,1325574,1325841,1326342,1331992
