eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
L,63332,63560,232,1829.9,1007.3,627
L,63588,63892,308,1410.2,999.5,583
L,63948,64112,168,2505.9,1039.9,412
L,64144,64292,152,2953.1,979.5,378
L,64352,64732,384,1744.8,1200.9,375
L,64760,65064,308,1644.9,944.9,405
L,65332,65500,172,1783.9,997.4,446
L,65920,66368,452,1899.2,1154.5,456
L,66384,68256,1876,1895.9,1089.8,544
L,68300,68516,220,1138.2,1157.9,550
L,68612,70508,1900,1943.6,1090.2,512
L,70672,71380,712,1923.5,1083.7,563
L,71436,71652,220,847.9,1215.7,568
L,71672,71840,172,1105.9,1194.0,556
L,71884,72620,740,1908.3,1073.7,546
L,72668,74484,1820,1120.0,1192.9,556
L,74508,74984,480,891.7,1232.9,561
L,75240,75316,80,1041.9,1179.1,576
L,75392,75580,192,1587.1,366.6,573
L,75612,75816,208,1162.0,355.4,539
L,75884,76092,212,2505.7,346.1,461
L,76116,76312,200,2787.2,376.3,452
L,76360,76532,176,1946.7,339.4,465
L,76572,76760,192,1398.4,106.4,479
L,76796,76928,136,1891.6,145.7,493
L,77208,77404,200,994.4,1262.7,504
L,77448,77560,116,1740.9,1117.5,526
L,78160,78252,96,933.0,1187.3,510
L,78428,80724,2300,1904.0,1079.1,569
L,80772,81436,668,2805.5,1115.7,527
L,81924,83880,1960,2990.1,1151.1,543
L,83940,84108,172,2010.3,1127.7,612
L,84160,84700,544,2890.2,1043.2,589
L,84752,84968,220,2109.1,1070.4,610
L,84992,87372,2384,1934.4,1071.8,641
L,87420,87752,336,1058.3,1229.5,570
L,87952,89100,1152,1041.0,1195.1,556
L,89116,89924,812,1040.9,1135.9,627
L,90156,90264,112,1891.4,1052.5,644
L,90288,90444,160,1746.5,1064.8,686
L,90464,93484,3024,1926.5,1089.0,670
L,93540,93828,292,965.1,939.2,462
L,93952,94900,952,1872.7,1081.0,491
L,94940,95040,104,1242.0,1180.6,517
L,95084,101868,6788,1906.2,1076.1,524
L,101920,102160,244,1055.8,1186.0,405
L,102288,102376,92,1857.6,1087.0,394
L,102644,103360,720,1904.6,1070.6,511
L,103412,103708,300,950.2,1205.3,531
L,103760,104760,1004,1869.1,1101.2,530
L,104808,105084,280,968.5,1245.3,543
L,105124,105316,196,1708.1,1196.5,541
L,105364,105552,192,799.9,1272.6,527
L,105616,110416,4804,1912.5,1088.2,515
L,110468,110648,184,1006.5,1053.0,531
L,110712,110948,240,1967.9,1104.4,523
L,111344,111416,76,2266.3,2208.2,431
L,111696,111868,176,1790.5,1080.9,506
L,111884,112368,488,1898.5,1092.8,514
L,112420,112628,212,972.8,1189.4,496
L,112648,113064,420,1039.7,1107.8,510
L,113116,113544,432,1920.2,1093.4,542
L,113596,113796,204,1016.5,942.7,528
L,113848,117680,3836,1895.4,1082.8,529
L,117716,117828,116,1326.4,1101.3,510
L,117868,118600,736,1921.2,1089.0,522
L,118660,118768,112,980.1,1440.8,525
L,118836,118880,48,1377.9,1956.6,43
L,118960,126944,7988,1925.9,1074.5,525
L,126996,127176,184,2890.9,1154.7,496
L,127232,127372,144,1848.8,1147.3,429
L,127388,128260,876,1945.2,1101.2,440
L,128312,128404,96,2652.9,1159.2,468
L,128472,131784,3316,1924.2,1090.8,472
L,132504,132832,332,1868.3,1066.5,415
L,132872,133076,208,1256.9,1172.8,425
L,133108,137988,4884,1939.8,1076.7,442
L,138192,140716,2528,1936.9,1058.9,502
L,140764,140916,156,1212.2,1152.8,361
L,140972,141144,176,2043.1,1107.7,361
L,141160,142448,1292,1937.2,1051.5,430
L,142760,143528,772,1913.1,1051.1,480
L,143584,143688,108,897.8,1177.1,467
L,143708,143740,36,1181.4,1183.4,458
L,143772,144308,540,1923.1,1074.1,447
L,145116,151536,6424,1951.7,1096.5,534
L,151664,168164,16504,1929.9,1089.6,533
L,168468,168900,436,1888.5,1042.8,442
L,168928,169148,224,1625.9,957.0,422
L,169192,169424,236,2441.8,913.7,369
L,169472,169684,216,1686.4,1220.4,395
L,169712,169864,156,2076.0,1141.8,420
L,169932,170416,488,1142.4,350.2,422
L,176992,177144,156,1673.0,1109.3,740
L,177176,177588,416,2113.3,1026.6,665
L,177612,184916,7308,1922.3,1098.0,601
L,185024,185184,164,1235.1,1235.4,558
L,185228,185884,660,1897.8,1124.9,601
L,185928,186280,356,1140.3,1228.1,603
L,186328,190312,3988,1909.3,1093.9,588
L,190552,192548,2000,1897.5,1079.4,565
L,192836,197464,4632,1919.3,1082.8,567
L,197520,197636,120,1007.3,1103.8,599
L,197700,199932,2236,1926.4,1079.5,588
L,199984,200292,312,2870.0,1129.4,623
L,200312,200540,232,2976.1,1080.6,533
L,200576,201000,428,3059.1,1441.6,430
L,201016,201180,168,2950.2,1387.8,440
L,201204,201896,696,3005.4,1178.7,462
L,202180,202516,340,2977.6,1087.9,499
L,202572,202724,156,1806.8,1126.7,512
L,202740,206268,3532,1914.4,1076.1,499
L,206480,208564,2088,1927.3,1082.4,493
L,208984,210112,1132,1115.6,1204.4,356
L,210164,213028,2868,1950.7,1064.7,456
L,213276,213456,184,961.3,1171.8,388
L,213768,214048,284,988.7,1173.9,393
L,214076,214820,748,1335.1,1159.6,428
L,214840,215080,244,1197.4,1206.7,455
L,215440,217028,1592,1157.6,1178.6,523
L,217080,219044,1968,1922.3,1067.5,559
L,219068,219336,272,2203.9,1026.4,705
L,219360,228172,8816,1932.2,1064.2,578
L,228228,228408,184,2687.0,1216.6,653
L,228444,228656,216,2055.7,1127.8,673
L,228680,229928,1252,1936.7,1060.4,502
L,230128,230784,660,1903.9,1041.1,535
L,230800,232884,2088,1921.8,1041.2,569
L,232948,233172,228,3070.8,1253.9,571
L,233236,234604,1372,1925.4,1039.4,542
L,234752,236008,1260,1927.1,1077.2,568
L,236028,236112,88,1835.2,1092.2,454
L,236132,236612,484,1980.7,1076.9,495
L,236664,236844,184,1281.1,1177.5,560
L,236884,243272,6392,1899.3,1077.8,597
L,243308,243424,120,1351.6,1187.3,550
L,243520,243540,24,2240.1,1255.8,443
L,243556,244424,872,1918.0,1075.2,517
L,244772,247120,2352,1908.3,1055.6,541
L,247236,251052,3820,1919.6,1089.9,615
L,251112,251292,184,2896.4,1273.6,493
L,251348,251584,240,1881.5,1115.4,521
L,251760,252316,560,1862.6,1085.3,536
L,252376,252556,184,2861.0,1306.1,558
L,252576,252996,424,2970.5,1279.1,535
L,253232,253368,140,1868.3,1071.4,508
L,253432,253700,272,2931.8,1357.1,535
L,253724,253844,124,2641.7,1255.9,553
L,253896,255704,1812,1896.4,1067.9,536
L,255724,256080,360,1601.7,1137.9,576
L,256128,256372,248,729.9,1233.5,441
L,256392,256596,208,932.7,1194.6,368
L,256796,257812,1020,907.0,1227.8,405
L,257836,258064,232,1126.2,1191.5,459
L,258228,259780,1556,1949.3,1093.4,540
L,259892,260732,844,2953.2,1042.5,636
L,260760,261160,404,2974.7,1466.5,481
L,261188,261432,248,2949.9,1188.7,462
L,261456,261840,388,2959.3,1030.1,512
L,261900,263364,1468,1905.7,1075.6,596
L,263380,263952,576,1835.3,1067.1,625
L,263984,264604,624,1011.5,987.1,607
L,264628,265488,864,908.6,1208.8,414
L,265688,266020,336,921.4,1265.4,451
L,266260,266468,212,967.0,1219.4,463
L,266536,266676,144,2252.4,1067.7,482
L,266692,266880,192,2314.2,1092.2,492
L,266920,267192,276,1673.8,928.9,437
L,267388,267648,264,1260.6,241.6,363
L,270400,271016,620,1876.4,1016.3,520
L,271180,271464,288,1844.0,1059.1,435
L,271664,273924,2264,1927.8,1049.8,521
L,273972,274176,208,2799.8,1058.4,613
L,274200,274376,180,2992.5,1033.9,617
L,274436,275224,792,1948.8,1073.4,467
L,275288,275612,328,2861.7,1021.6,468
L,275652,280572,4924,1925.0,1048.2,507
L,280676,281220,548,1957.3,1055.5,590
L,281248,282224,980,2405.7,1089.6,515
L,282252,285816,3568,1923.0,1063.4,570
L,285832,285908,80,1798.3,1091.7,427
L,285924,286212,292,1090.3,1216.3,434
L,286512,286552,44,1816.6,1166.5,364
L,287304,287724,424,843.6,1216.3,452
L,287740,288056,320,1047.8,1207.0,420
L,288680,288924,248,736.2,1193.7,429
