trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
300,148883,149383,,205689.0,149399,149666,150166,151182
301,151185,151683,,209307.0,151700,151949,152449,153262
302,153264,153766,,244811.0,153783,154050,154550,155326
303,155328,155816,,273932.0,155833,156083,156583,157518
304,157523,158018,,303935.0,158034,158301,158801,159503
305,159505,160000,,307635.0,160017,160283,160784,163214
306,163216,163717,,317386.0,163735,164001,164501,165389
307,165392,166385,,356441.0,166401,166651,167151,168606
308,168608,169102,,367443.0,169118,169368,169868,171134
309,171136,171635,,388729.0,171652,171902,172402,173182
310,173184,173686,,415249.0,173702,173969,174469,175422
311,175425,175919,,473173.0,175936,176202,176702,178735
312,178737,179236,,561984.0,179253,179503,180003,181199
313,181201,182203,,743573.0,182220,182487,182987,183903
314,183905,184403,,751357.0,184420,184670,185170,186335
315,186337,186837,,,186854,187120,187621,189263
316,189265,189754,,,189771,190037,190538,191551
317,191553,192554,,,192571,192838,193338,194592
318,194594,195088,,,195105,195371,195871,196864
319,196866,197855,,,197872,198122,198622,199776
320,203685,205690,,,205706,205956,206456,207313
321,207315,209307,,,209323,209573,210073,210976
322,210979,212473,,,212491,212757,213257,214305
323,214307,214808,,,214824,215091,215590,218273
324,218275,219275,,,219291,219557,220058,220993
325,220995,221491,,,221508,221775,222275,223297
326,223300,224292,,,224308,224558,225058,226274
327,226276,227776,,,227792,228059,228559,230418
328,230420,231409,,,231426,231693,232193,233474
329,233476,233976,,,233993,234243,234743,235762
330,235764,237260,,,237277,237527,238027,239314
331,239316,240810,,,240827,241077,241577,242818
332,242821,244811,,,244828,245077,245577,246707
333,246709,248211,,,248228,248494,248995,251075
334,251077,252079,,,252095,252362,252862,253923
335,253925,255429,,,255445,255696,256195,258324
336,258326,259829,,,259846,260096,260597,261940
337,261942,262946,,,262963,263230,263730,264788
338,264790,266280,,,266297,266547,267047,267940
339,267942,273932,,,273948,274198,274698,277301
340,279628,281132,,,281149,281399,281899,282725
341,282727,283215,,,283233,283499,283999,284725
342,284727,286216,,,286233,286483,286983,290822
343,290824,291817,,,291833,292100,292600,293862
344,293864,294867,,,294884,295150,295651,296342
345,296345,296834,,,296850,297101,297601,298311
346,298313,299301,,,299317,299584,300084,300934
347,300936,303936,,,303952,304218,304719,305638
348,305640,307635,,,307652,307919,308419,309271
349,309273,309769,,,309786,310053,310553,311719
350,311721,312219,,,312236,312502,313003,313895
351,313897,317386,,,317403,317670,318170,319079
352,319081,319570,,,319587,319854,320353,321127
353,321130,321620,,,321637,321887,322387,323496
354,323498,323987,,,324004,324271,324771,325784
355,325786,326287,,,326304,326571,327071,328136
356,328138,328638,,,328655,328905,329405,330409
357,330411,331905,,,331922,332172,332672,333720
358,333722,334222,,,334239,334505,335006,338089
359,338091,339089,,,339106,339356,339856,340953
360,342411,343907,,,343923,344190,344690,345529
361,345531,347024,,,347040,347307,347807,348841
362,348843,350340,,,350357,350607,351107,352441
363,352444,356441,,,356458,356725,357225,357979
364,357981,358975,,,358992,359242,359742,360987
365,360989,362492,,,362509,362759,363259,364443
366,364445,367443,,,367459,367726,368226,369051
367,369054,370043,,,370060,370327,370827,371610
368,371613,372110,,,372127,372393,372894,373819
369,373821,375311,,,375327,375594,376094,377019
370,377022,377510,,,377528,377777,378278,379195
371,379197,379694,,,379711,379961,380461,381307
372,381309,381811,,,381828,382078,382578,383627
373,383629,384628,,,384645,384912,385412,386732
374,386734,388729,,,388745,389012,389512,390348
375,390350,390845,,,390862,391112,391612,392604
376,392606,393096,,,393113,393379,393879,394684
377,394686,395180,,,395196,395446,395946,396972
378,396974,397463,,,397480,397730,398230,399116
379,399118,399613,,,399630,399897,400397,401389
380,402735,403231,,,403247,403497,403998,404717
381,404720,405214,,,405231,405497,405997,407230
