eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,278547,278711,168,2021.7,1057.2,2073.6,1199.8,1.8,1462
R,282167,282183,20,2160.7,1045.2,2312.8,1087.1,1.5,103
R,282275,282335,64,2388.0,1081.5,3095.6,1031.5,6.4,142
R,282735,282847,116,3122.3,1119.7,977.3,841.4,19.1,224
R,283291,283383,96,846.1,849.5,2821.6,791.1,17.3,303
R,283791,283923,136,3147.6,1110.3,730.1,855.0,21.2,230
R,284171,284191,24,370.0,917.6,0.5,911.6,3.0,174
R,284791,284939,152,1.2,1031.6,3270.0,1133.3,27.4,369
R,285135,285187,56,3270.0,1226.5,2062.3,928.5,11.4,288
R,286779,286787,12,1980.9,1059.3,2028.0,1065.5,0.4,54
R,291991,292143,156,2037.2,1008.0,2038.1,988.0,0.2,1436
R,294463,294495,36,1916.0,1160.1,1421.9,1048.3,4.6,176
R,294663,294691,32,1432.7,1052.6,1941.1,1141.5,4.7,210
R,295655,295671,20,2048.5,1152.3,2223.2,1203.3,1.7,111
R,295795,295815,24,2376.8,1284.4,2521.3,1379.9,1.8,103
R,295847,295883,40,2548.8,1421.1,2542.6,1356.5,0.8,130
R,295915,295923,12,2527.9,1442.1,2519.9,1506.9,0.8,102
R,295975,296043,72,2481.7,1361.0,1562.5,1249.8,8.3,287
R,296347,296371,28,1527.4,1079.9,1909.9,1120.1,3.4,169
R,297023,297047,28,1963.4,1133.1,2285.0,1192.0,3.0,147
R,297323,297339,20,2328.6,1249.3,2152.4,1160.8,1.9,136
R,304815,304987,176,2046.6,1090.1,2094.9,1139.6,0.8,1170
R,305215,305243,32,1973.7,1079.2,1564.3,1047.1,3.7,147
R,305519,305547,32,1514.4,1066.4,1990.4,1135.5,4.3,197
R,305971,306007,40,2006.7,1141.5,2477.8,1263.8,4.5,154
R,306155,306171,20,2551.1,1350.2,2710.6,1373.1,1.5,104
R,306323,306339,20,2877.9,1417.4,3117.9,1998.1,7.5,531
R,306371,306647,280,3236.5,1962.1,3270.0,2492.1,6.3,246
R,306683,306731,52,2953.6,1643.6,1876.9,1243.8,10.9,450
R,306883,306923,44,1739.8,1098.5,969.7,1115.8,6.8,224
R,307303,307503,204,925.1,1132.8,1734.7,1147.4,7.1,1444
R,307871,308203,336,1722.3,1119.4,2188.9,1222.1,4.4,1394
R,308795,309087,296,2164.9,1178.0,1853.1,1143.5,2.8,913
R,310083,310691,612,1988.4,1154.6,2365.6,1408.8,4.7,592
R,310891,310911,24,2246.9,1083.7,2066.7,1049.0,1.7,95
R,313095,313291,200,2029.7,1076.7,2134.5,1134.1,1.2,1184
R,314399,314543,148,2139.2,1087.2,2174.5,1047.5,0.6,659
R,314935,314963,32,2076.2,1007.7,1746.8,997.0,3.0,131
R,315035,315067,36,1613.3,1036.1,1122.0,1063.4,4.3,158
R,315223,315259,40,1042.1,1073.1,538.1,1121.4,4.3,142
R,315495,315551,60,520.0,1113.7,2063.7,1127.8,13.4,358
R,315727,315771,48,2059.6,1153.1,2774.8,1372.7,7.0,182
R,315967,315991,28,2812.4,1359.3,3100.1,1281.7,2.8,131
R,316171,316211,44,3124.7,1290.2,2463.1,1263.8,6.0,207
R,316479,318711,2236,2519.3,1344.9,2008.2,1330.6,4.6,851
R,319443,319483,44,1855.1,1142.8,1206.6,1161.1,5.8,179
R,319739,319811,76,1213.2,1151.9,1838.3,1144.3,5.6,437
R,320207,320223,20,1789.8,1127.5,1970.5,1142.4,1.6,109
