eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
R,2584919,2584943,28,2662.2,2345.1,284
R,2585163,2585287,128,1828.5,1074.0,402
R,2585311,2585599,292,1571.3,968.6,332
R,2585655,2585923,272,2593.9,912.3,179
R,2585955,2586095,144,3086.8,920.0,133
R,2587931,2588059,132,2082.3,1307.3,366
R,2588083,2590731,2652,1835.4,1077.4,268
R,2590775,2591039,268,916.4,1014.1,289
R,2591067,2591087,24,868.8,1532.4,145
R,2591115,2591323,212,934.0,1283.5,225
R,2591355,2592747,1396,940.6,840.1,267
R,2592883,2594975,2096,1873.7,1063.7,352
R,2595031,2595219,192,2833.7,1175.6,363
R,2595243,2595715,476,2946.2,1344.0,273
R,2596159,2596351,196,3063.9,1311.1,207
R,2596367,2597063,700,2888.5,1322.6,235
R,2597115,2598603,1492,1905.8,1102.7,301
R,2598655,2599263,612,2758.4,1095.5,337
R,2599287,2599507,224,2940.6,1061.8,321
R,2599551,2599747,200,3270.0,1307.1,187
R,2599911,2600863,956,3009.2,1243.6,232
R,2600899,2601011,116,2362.9,1244.5,291
R,2601039,2602767,1732,1930.2,1116.1,359
R,2602815,2603183,372,1105.2,1148.5,456
R,2603203,2603947,748,867.2,1157.7,294
R,2603999,2604263,268,1772.7,1104.4,257
R,2604283,2606259,1980,1901.6,1065.6,337
R,2606307,2607323,1020,928.9,1123.5,327
R,2607367,2608479,1116,1854.3,1070.2,271
R,2608495,2608547,56,2018.4,1082.7,328
R,2608691,2609527,840,2854.6,1179.5,328
R,2609543,2610523,984,2856.6,1237.5,231
R,2610579,2612291,1716,1889.1,1089.2,344
R,2612343,2612879,540,2852.4,1033.9,330
R,2612899,2613519,624,2963.3,1060.4,304
R,2613575,2613727,156,1801.1,1073.0,240
R,2613743,2615339,1600,1919.8,1067.2,324
R,2615415,2615667,256,2815.5,1267.6,344
R,2615687,2616143,460,2942.6,1328.7,353
R,2616163,2616323,164,3010.7,1426.6,340
R,2616455,2617139,688,2978.5,1236.9,219
R,2617195,2618515,1324,1899.1,1065.3,302
R,2618639,2619099,464,2607.4,1247.3,335
R,2619123,2619603,484,2752.7,1229.6,366
R,2619627,2620119,496,2897.1,1267.0,215
R,2620171,2620411,244,1942.9,1107.8,251
R,2620427,2621403,980,1861.4,1086.2,296
R,2621427,2621731,308,1656.5,1221.1,351
R,2621759,2621931,176,1962.4,1082.2,354
R,2621983,2622275,296,1093.2,1244.2,381
R,2622295,2622859,568,867.1,1231.1,327
R,2622883,2623375,496,1124.0,1174.9,216
R,2623419,2625119,1704,1908.3,1075.7,324
R,2625163,2625699,540,1041.8,1125.9,397
R,2625719,2626431,716,1123.1,1170.3,340
R,2626475,2627555,1084,1882.6,1076.9,270
R,2627627,2627931,308,566.8,799.6,348
R,2627959,2629027,1072,915.9,854.4,336
R,2629079,2630195,1120,1874.5,1100.6,290
R,2630247,2630319,76,796.4,1192.4,333
R,2630339,2630631,296,470.0,1141.4,386
R,2630659,2631103,448,796.5,1282.0,391
R,2631123,2631755,636,942.7,1302.8,293
R,2631775,2631911,140,943.1,1159.8,229
R,2631955,2633047,1096,1900.3,1087.0,266
R,2633243,2633507,268,1568.7,1067.5,335
R,2633539,2634639,1104,1005.4,1070.1,319
R,2634663,2635187,528,814.2,1190.5,231
R,2635207,2635775,572,955.7,1175.2,252
R,2635795,2636575,784,1089.6,1193.3,264
R,2636619,2637739,1124,1915.5,1046.8,299
R,2638031,2638091,64,2425.6,1240.8,296
R,2638119,2639095,980,2739.7,1254.9,294
R,2639119,2640051,936,2957.8,1289.1,189
R,2640103,2641203,1104,1900.9,1105.6,296
R,2641347,2641607,264,2050.2,1068.9,318
R,2641659,2642131,476,2750.7,1243.1,329
R,2642159,2642359,204,2978.8,1561.9,288
R,2642379,2643579,1204,3001.8,1373.7,191
R,2643643,2645315,1676,1897.3,1097.6,362
R,2645359,2645607,252,2426.4,1138.5,414
R,2645635,2646811,1180,2785.8,1222.3,349
R,2646863,2648343,1484,1891.3,1116.3,363
R,2648359,2650707,2352,1773.6,1074.0,354
R,2650723,2652623,1904,1908.7,1084.7,379
R,2652651,2652867,220,2392.6,1030.3,396
R,2652895,2653091,200,2783.6,989.1,372
R,2653111,2654519,1412,2918.8,1018.4,246
R,2654647,2654795,152,1822.7,1089.4,329
R,2654811,2655127,320,1901.0,1071.3,344
R,2655155,2655419,268,1606.8,933.9,276
R,2655467,2655655,192,2493.3,964.9,214
R,2656035,2656059,28,3270.0,3071.0,182
R,2656247,2657235,992,3270.0,2738.0,322
R,2657467,2657763,300,1877.3,1159.2,365
R,2657839,2658023,188,1231.3,510.6,253
R,2662875,2663103,232,1800.3,1053.9,382
R,2663127,2663471,348,1578.0,1002.9,266
R,2663507,2663803,300,2119.7,1030.4,176
R,2663827,2664103,280,1892.8,1037.8,166
R,2664255,2664603,352,1728.3,1185.1,203
R,2664631,2665323,696,1776.9,990.6,219
R,2665343,2666631,1292,1891.1,1103.9,315
R,2666651,2667351,704,1787.9,1060.7,399
R,2667371,2667647,280,1643.7,1034.1,422
R,2667687,2667867,184,1073.0,945.3,366
R,2667907,2669215,1312,1711.6,1128.3,276
R,2669311,2671223,1916,1898.9,1109.4,351
R,2671247,2671599,356,1610.1,1045.0,399
R,2671631,2673787,2160,1880.1,1121.9,296
R,2674207,2674403,200,2429.4,1244.6,343
R,2674643,2675503,864,1890.3,1145.3,286
R,2675563,2676671,1112,2978.3,1223.9,198
R,2676727,2678611,1888,1892.1,1093.3,313
R,2678631,2678899,272,2069.0,1091.4,372
R,2678947,2679603,660,2825.3,1287.0,224
R,2679695,2679827,136,2065.9,1116.9,208
R,2679851,2679987,140,1869.3,1087.7,261
R,2680171,2683175,3008,1923.0,1101.5,293
R,2683235,2684191,960,2889.8,1281.9,233
R,2684247,2684443,200,1978.4,1053.2,309
R,2684459,2685755,1300,1902.4,1087.0,347
R,2685847,2685947,104,1907.0,1061.4,341
R,2686119,2694515,8400,1891.5,1098.2,349
R,2694651,2696075,1428,1926.5,1072.5,320
R,2696131,2696331,204,2646.8,1312.5,210
R,2696375,2696771,400,1955.1,1105.8,243
R,2696811,2697027,220,2655.1,1229.4,233
R,2697067,2698491,1428,1929.2,1068.1,324
R,2698791,2699059,272,1992.4,1055.0,343
R,2699095,2699283,192,2575.8,1098.6,365
R,2699307,2700355,1052,2890.9,1108.7,255
R,2700411,2702091,1684,1896.8,1094.4,332
R,2702107,2702219,116,1994.2,1089.6,350
R,2702583,2703515,936,2915.7,1265.0,271
R,2703579,2703715,140,1848.9,1104.4,223
R,2703731,2705111,1384,1912.6,1086.5,320
R,2705439,2705967,532,1946.3,1098.8,349
R,2706015,2707627,1616,990.1,1165.3,271
R,2707779,2708575,800,898.4,1180.5,336
R,2708635,2708791,160,2020.5,1108.7,325
R,2708807,2711127,2324,1926.5,1106.2,395
R,2711183,2711811,632,963.3,917.5,298
R,2711847,2712311,468,918.0,1346.2,288
R,2712359,2713487,1132,1910.9,1080.6,350
R,2713755,2714219,468,3270.0,1075.7,326
R,2714247,2715223,980,3016.1,1026.3,267
R,2715387,2716871,1488,1892.9,1100.3,337
R,2717131,2717567,440,2844.0,1441.8,327
R,2717591,2718415,828,2937.0,1356.2,255
R,2718475,2720039,1568,1926.8,1098.3,354
R,2720435,2720635,204,2712.9,1395.2,348
R,2720659,2720979,324,2905.1,1326.4,368
R,2721007,2722219,1216,2974.5,1075.2,231
R,2722279,2722443,168,1957.5,1071.4,291
R,2722459,2723699,1244,1930.4,1090.4,354
R,2723943,2724079,140,1700.7,950.1,355
R,2724095,2724679,588,1810.2,1009.0,386
R,2724735,2725799,1068,947.1,961.1,265
R,2725819,2725835,20,1126.3,1005.5,268
R,2726131,2726307,180,1927.3,1078.2,261
R,2726335,2726767,436,1233.5,1141.0,311
R,2726807,2727923,1120,1917.7,1050.7,335
R,2728191,2728339,152,3270.0,1072.3,305
R,2728359,2728543,188,3270.0,1117.5,303
R,2728571,2729019,452,3078.6,1043.3,331
R,2729039,2729387,352,2972.5,1033.5,235
R,2729439,2730967,1532,1899.8,1107.9,350
R,2731251,2731303,56,1950.6,1258.1,333
R,2731615,2731935,324,911.1,1285.2,401
R,2731955,2732475,524,953.5,1253.0,304
R,2732519,2732715,200,1749.3,1111.5,241
R,2732739,2734067,1332,1857.2,1082.9,331
R,2734283,2734799,520,2149.2,1061.1,399
R,2734839,2735227,392,2760.6,1118.2,402
R,2735251,2736063,816,2921.9,1260.1,268
R,2736123,2736247,128,2024.5,1178.8,308
R,2736267,2736539,276,1875.8,1080.7,338
R,2736567,2736663,100,1600.9,980.1,315
R,2736759,2736871,116,2417.0,978.0,231
R,2737059,2737131,76,1339.0,408.0,174
R,2737663,2737899,240,1851.6,1097.7,314
R,2737971,2738179,212,1264.7,406.8,299
R,2738199,2738371,176,1253.9,251.5,265
R,2739583,2739751,172,2050.9,1212.5,348
R,2740051,2740083,36,1811.9,1003.2,205
R,2740103,2740871,772,1922.2,988.2,226
R,2740891,2742163,1276,1863.6,1080.5,275
R,2742183,2742371,192,1817.6,1147.8,353
R,2742583,2744835,2256,1907.5,1056.6,308
R,2744943,2745931,992,1841.9,1010.7,379
R,2745983,2746199,220,954.5,979.5,325
R,2746227,2746807,584,969.1,1291.8,279
R,2746851,2747991,1144,926.6,872.5,317
R,2748047,2749447,1404,1874.8,1083.4,381
R,2749875,2750099,228,800.6,1962.4,383
R,2750239,2751263,1028,893.3,1195.1,302
R,2751315,2752399,1088,1887.3,1082.2,345
R,2752503,2752855,356,1849.9,1118.8,419
R,2752947,2753167,224,724.5,2078.9,455
R,2753223,2753715,496,926.3,1203.7,406
R,2753739,2754315,580,1104.5,1211.0,283
