trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
1,4309385,4312639,,4312389.0,4312656,4312906,4313406,4317424
2,4317427,4319673,,4319423.0,4319690,4319940,4320440,4324025
3,4324027,4324524,,4337459.0,4324540,4324790,4325291,4334957
4,4334959,4337708,,4364961.0,4337725,4337991,4338492,4343542
5,4343544,4344042,,4379428.0,4344059,4344309,4344809,4348425
6,4348427,4349426,,4392646.0,4349443,4349693,4350193,4354893
7,4354895,4355393,,4438768.0,4355410,4355676,4356176,4361960
8,4361962,4365211,,4451253.0,4365227,4365477,4365978,4371045
9,4371047,4372545,,4469771.0,4372561,4372828,4373328,4376428
10,4376430,4379678,,4485922.0,4379696,4379946,4380446,4387146
11,4387149,4392896,,4492406.0,4392913,4393180,4393680,4399664
12,4399666,4400664,,4504774.0,4400681,4400931,4401431,4405898
13,4405900,4406398,,4513525.0,4406415,4406665,4407165,4411998
14,4412000,4413498,,4519709.0,4413515,4413782,4414283,4417199
15,4417201,4417699,,4525476.0,4417716,4417983,4418482,4421249
16,4421251,4422250,,4531893.0,4422266,4422533,4423033,4425599
17,4425601,4426600,,4546578.0,4426617,4426867,4427367,4429983
18,4429985,4431484,,4556046.0,4431501,4431767,4432267,4434767
19,4434769,4439018,,4565896.0,4439034,4439301,4439801,4442918
20,4449262,4451502,,4580815.0,4451519,4451786,4452286,4457936
21,4457938,4459436,,4591732.0,4459453,4459720,4460220,4466770
22,4466772,4470021,,4598900.0,4470037,4470304,4470804,4473804
23,4473806,4475305,,4606384.0,4475321,4475588,4476088,4479221
24,4479223,4480722,,4627386.0,4480738,4480989,4481488,4483922
25,4483923,4486172,,4638537.0,4486189,4486456,4486956,4490406
26,4490408,4492656,,4648721.0,4492672,4492940,4493439,4502774
27,4502776,4505024,,4655789.0,4505041,4505291,4505791,4509524
28,4509526,4513775,,4666573.0,4513792,4514041,4514541,4517708
29,4517711,4519959,,4675857.0,4519975,4520225,4520725,4523475
30,4523477,4525727,,4683125.0,4525743,4526010,4526510,4529393
31,4529395,4532143,,4716894.0,4532160,4532410,4532910,4537410
32,4537412,4538911,,4731846.0,4538927,4539194,4539694,4544578
33,4544580,4546828,,4746681.0,4546844,4547095,4547595,4551045
34,4551047,4556296,,4761982.0,4556312,4556562,4557062,4560896
35,4560898,4566146,,4771867.0,4566163,4566413,4566913,4575814
36,4575816,4581064,,4777417.0,4581081,4581348,4581848,4585732
37,4585734,4591982,,4784567.0,4591999,4592266,4592766,4596900
38,4596902,4599150,,4793568.0,4599167,4599417,4599916,4603383
39,4603386,4606634,,4805719.0,4606651,4606901,4607401,4610417
40,4623398,4627636,,4810636.0,4627652,4627902,4628402,4631369
41,4631371,4631870,,4821021.0,4631886,4632136,4632636,4635536
42,4635538,4638787,,4829106.0,4638803,4639054,4639554,4646221
43,4646223,4648971,,4837522.0,4648987,4649255,4649755,4653788
44,4653790,4656039,,4853007.0,4656055,4656305,4656805,4662072
45,4662074,4666823,,4858574.0,4666839,4667090,4667590,4670156
46,4670158,4671156,,4865492.0,4671173,4671440,4671940,4673856
47,4673858,4676107,,4884760.0,4676124,4676374,4676874,4680124
