eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,3566454,3566466,16,1904.0,1072.9,1873.8,1003.7,0.9,81
R,3566638,3566658,24,1861.0,991.4,2163.3,974.5,2.8,173
R,3566778,3566798,24,2206.9,954.5,2526.8,960.3,2.9,179
R,3566982,3567018,40,2546.1,959.1,1791.8,1117.1,7.1,243
R,3567214,3567226,16,1679.2,1134.6,1527.7,1158.3,1.4,118
R,3567418,3567442,28,1504.4,1148.9,1910.7,1142.6,3.6,184
R,3567622,3567638,20,2004.2,1152.8,2210.2,1162.2,1.9,136
R,3567930,3567950,24,2193.7,1152.2,1909.5,1072.2,2.8,165
R,3570890,3570902,16,2009.1,1144.0,1905.0,1126.2,1.0,89
R,3571330,3571366,40,1891.6,1118.2,2593.7,1220.1,6.5,234
R,3571618,3571630,16,2696.0,1256.8,2815.1,1277.1,1.1,103
R,3572358,3572430,76,2830.7,1292.6,2049.8,1174.7,7.2,265
R,3573218,3573262,48,2048.9,1117.3,2968.5,1264.9,8.6,260
R,3573530,3573682,156,2970.9,1294.1,1850.9,1187.2,10.2,359
R,3576578,3576614,40,1953.1,1115.5,2573.0,1202.0,5.7,217
R,3576754,3576950,200,2623.2,1278.2,2296.7,1191.8,3.2,452
R,3577186,3577218,36,2266.8,1136.6,2849.8,1247.3,5.5,227
R,3578062,3578110,52,2915.0,1289.2,1963.8,1116.9,8.9,220
R,3581942,3581978,40,1829.1,1101.1,1208.0,1146.6,5.5,171
R,3582210,3582222,16,1041.0,1179.2,935.8,1208.2,1.0,84
R,3582898,3582914,20,881.4,1231.3,725.5,1237.6,1.3,91
R,3583510,3583518,12,740.6,1266.6,809.9,1264.3,0.6,73
R,3583982,3584074,96,849.5,1311.5,693.9,1352.6,1.4,311
R,3584286,3584294,12,721.5,1303.0,778.7,1317.8,0.5,64
R,3584938,3584986,52,793.4,1310.5,1836.6,1071.9,9.5,271
R,3585194,3585202,12,1893.2,1049.0,1846.0,1055.0,0.4,54
R,3587850,3587890,44,1847.7,1124.2,1086.5,1208.3,6.8,206
R,3587942,3587950,12,938.7,1248.6,864.4,1247.7,0.6,78
R,3588166,3588302,140,785.0,1311.6,827.2,1304.6,0.4,341
R,3590054,3590094,44,987.3,1263.3,1841.9,1053.3,7.9,269
R,3590342,3590350,12,1911.7,1031.4,1862.0,1043.2,0.5,59
R,3592690,3592702,16,1887.4,1110.0,1998.8,1098.5,1.0,94
R,3594270,3594286,20,1804.3,1046.8,1963.3,1036.4,1.4,99
R,3594654,3594734,84,1720.5,1142.8,1778.4,1207.9,1.0,219
R,3595018,3595058,44,1896.1,1154.1,2787.5,1272.1,8.2,270
R,3595858,3595930,76,2849.5,1284.9,2077.8,1068.2,7.5,140
R,3596290,3596338,52,2056.1,1050.7,2881.0,1065.2,7.5,205
R,3597318,3597374,60,2941.8,1099.4,1915.4,1085.3,9.3,218
R,3600050,3600086,40,1851.0,1108.3,1270.2,1233.4,5.4,178
R,3600306,3600318,16,1114.9,1248.5,988.0,1265.9,1.1,97
R,3600486,3600502,20,917.7,1278.8,722.1,1312.1,1.7,117
R,3600922,3600930,12,690.8,1320.7,746.4,1315.7,0.5,58
R,3601746,3601758,16,760.4,1344.2,867.4,1335.9,0.9,80
R,3602358,3602398,44,850.4,1327.7,1742.2,1134.6,8.1,296
R,3606258,3606306,52,1889.6,1090.5,2756.2,1217.5,8.0,234
R,3606690,3606894,208,2824.8,1283.0,2642.7,1322.3,1.7,336
R,3607558,3607578,24,2653.0,1249.0,2923.6,1295.5,2.5,160
R,3608058,3608106,52,2962.8,1292.6,1969.7,1104.5,9.3,229
R,3610662,3610714,56,1923.1,1124.3,2826.1,1237.1,8.3,225
R,3611546,3611598,56,2903.1,1285.1,1933.5,1107.8,9.1,205
R,3612866,3612926,64,1925.1,1108.2,3094.7,1283.3,10.8,248
R,3613094,3613306,216,3120.9,1316.0,1718.5,1151.3,12.8,386
R,3613470,3613482,16,1697.8,1114.3,1827.7,1104.9,1.2,112
R,3615682,3615726,48,1842.9,1119.1,1037.1,1281.7,7.3,200
R,3618406,3618478,76,896.2,1265.3,1907.3,1163.0,8.9,194
R,3623734,3623790,60,1926.4,1125.5,2889.4,1323.9,9.1,227
R,3623990,3624142,156,2983.4,1396.1,3049.5,1359.7,0.8,339
R,3624498,3624618,124,2993.3,1310.3,1715.9,1175.6,11.6,224
R,3625630,3625682,56,1776.2,1104.5,2869.0,1217.1,10.0,252
R,3625958,3626014,60,2926.5,1265.2,2269.7,1135.5,6.2,141
R,3626986,3627002,20,2120.0,1090.4,1918.2,1110.4,1.8,132
R,3630294,3630302,12,1804.2,1093.5,1864.6,1073.9,0.6,74
R,3633978,3634014,40,1873.0,1099.5,2469.1,1218.1,5.6,189
R,3634534,3634574,44,2506.3,1232.4,1975.5,1115.5,5.0,156
R,3638334,3638354,24,1706.5,1071.5,1481.3,1075.7,2.0,104
R,3638490,3638670,184,1257.3,1101.5,1852.3,1175.9,5.3,276
R,3643034,3643042,12,1857.6,1073.5,1917.9,1071.7,0.5,68
R,3643514,3643674,164,1830.3,1123.9,1835.0,1156.6,0.4,277
R,3644786,3644826,44,1795.0,1109.6,1026.7,1019.9,6.8,194
R,3644994,3645154,164,947.4,1047.8,1784.8,1137.0,7.3,427
R,3652406,3652446,44,1804.0,1152.4,1146.5,1244.5,5.9,162
R,3652670,3652686,20,984.7,1286.6,854.5,1424.5,2.0,144
R,3653446,3653462,20,785.3,1404.5,842.1,1249.4,1.9,143
R,3653882,3653898,20,838.7,1252.7,838.9,1403.2,1.8,131
R,3654146,3654190,48,901.5,1424.4,1802.1,1101.9,8.7,294
R,3656462,3656586,128,1822.4,1131.9,1814.2,1201.6,0.9,368
R,3659422,3659462,44,1908.5,1046.8,2522.5,1030.0,5.5,173
R,3659490,3659758,272,2684.4,1089.8,1825.0,1134.4,7.8,245
R,3660326,3660338,16,1840.7,1101.1,1942.3,1091.6,0.9,81
R,3663082,3663242,164,1843.8,1160.7,1845.5,1178.7,0.2,290
R,3665582,3665622,44,1851.4,1103.0,1269.6,1191.3,5.2,159
R,3665722,3665738,20,1137.5,1216.0,939.4,1249.9,1.7,124
R,3666370,3666518,152,848.2,1305.6,1813.6,1163.6,8.5,240
R,3671462,3671474,16,1857.7,1114.8,1934.6,1169.9,1.0,89
R,3672142,3672186,48,1942.0,1169.7,2757.5,1210.1,7.4,192
R,3672478,3672498,24,2825.5,1278.1,2912.1,1461.5,2.4,146
