eye,tStart,tEnd,duration
L,1778316,1778440,128
L,1780772,1780868,100
L,1782348,1782460,116
L,1789732,1790244,516
L,1791172,1791232,64
L,1793012,1793108,100
L,1795880,1796812,936
L,1798972,1801452,2484
L,1804584,1804648,68
L,1805260,1805392,136
L,1805632,1806124,496
L,1809728,1809760,36
L,1811696,1811708,16
L,1812028,1812176,152
L,1818668,1818776,112
L,1819068,1819376,312
L,1819824,1820100,280
L,1827148,1827272,128
L,1829048,1829128,84
L,1837380,1837424,48
L,1839656,1839724,72
L,1841624,1841720,100
L,1843100,1843216,120
L,1844476,1844548,76
L,1852172,1852312,144
L,1863000,1863088,92
L,1869124,1869216,96
L,1871612,1871784,176
L,1873056,1873164,112
L,1873828,1875088,1264
L,1885196,1885408,216
L,1891968,1891984,20
L,1895856,1896040,188
L,1899592,1899744,156
L,1904276,1904408,136
L,1907300,1907432,136
L,1908444,1908536,96
L,1926588,1926652,68
L,1929448,1929520,76
L,1929676,1929888,216
L,1930976,1931104,132
L,1932468,1932720,256
L,1940872,1940964,96
L,1947488,1947608,124
L,1950396,1950560,168
L,1954656,1954844,192
L,1958812,1958980,172
L,1966700,1966840,144
L,1967040,1967412,376
L,1973820,1973872,56
L,1980400,1980524,128
L,1984852,1985008,160
L,1985748,1985860,116
L,1987524,1987684,164
L,1989260,1990252,996
L,1994712,1994880,172
L,1997524,1997640,120
L,2002320,2002468,152
L,2006620,2007116,500
L,2009976,2010116,144
L,2016424,2016512,92
L,2026200,2026392,196
L,2036792,2037024,236
L,2040292,2040964,676
L,2051660,2051832,176
L,2053860,2053972,116
L,2057508,2057616,112
L,2058384,2058592,212
L,2062112,2062268,160
L,2067096,2067176,84
L,2068376,2068492,120
L,2068884,2069268,388
L,2074416,2074496,84
L,2080456,2080672,220
L,2082376,2082548,176
L,2086360,2086588,232
L,2088160,2088352,196
L,2097456,2097556,104
L,2101296,2101440,148
L,2102284,2102500,220
L,2104508,2104696,192
L,2105976,2106124,152
L,2106628,2107280,656
L,2114384,2114576,196
L,2120972,2121444,476
L,2122180,2122600,424
L,2128736,2128972,240
L,2137092,2137216,128
L,2139360,2139520,164
L,2140632,2141556,928
L,2143776,2143956,184
L,2144208,2144312,108
L,2144900,2144992,96
L,2145424,2147076,1656
L,2150816,2150932,120
L,2151568,2156288,4724
L,2157932,2158036,108
L,2158652,2158748,100
L,2160540,2162872,2336
L,2163268,2163324,60
L,2166072,2166172,104
L,2170136,2170160,28
L,2173524,2173608,88
L,2175200,2175212,16
L,2175316,2175424,112
L,2175768,2175940,176
L,2176100,2176296,200
L,2187172,2187232,64
L,2193592,2193704,116
L,2231440,2231528,92
L,2247612,2247700,92
L,2249056,2249104,52
