time,text
4631214,!CAL
4631214,!CAL Calibration points:
4631214,"!CAL 1.0, -27.1 2043, 5049"
4631214,"!CAL -2.2, -47.6 2161, 8506"
4631214,"!CAL 2.4, -11.3 1942, 1934"
4631214,"!CAL -40.9, -26.7 -2055, 4995"
4631214,"!CAL 31.2, -28.8 6546, 5121"
4631214,"!CAL eye check box: (L,R,T,B)"
4631214,"!CAL href cal range: (L,R,T,B)"
4631214,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
4631214,"!CAL Prenormalize: offx, offy = 0.97798 -27.111"
4631214,!CAL Gains: cx:118.148 lx:57.994 rx:178.796
4631215,!CAL Gains: cy:224.918 ty:147.983 by:214.969
4631215,"!CAL Resolution (upd) at screen center: X=2.2, Y=1.2"
4631215,!CAL Gain Change Proportion: X: 2.083 Y: 0.453
4631215,!CAL X Nonlinearity Proportion too large
4631215,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
4631215,"!CAL CR gain match(x,y) = 1.000, 1.000"
4631215,!CAL Slip rotation correction OFF
4631216,!CAL CALIBRATION HV5 R RIGHT GOOD
4634744,!CAL VALIDATION R ABORTED
4646289,!CAL
4646290,!CAL Calibration points:
4646290,"!CAL 1.0, -26.5 2047, 5060"
4646290,"!CAL -2.5, -46.9 2167, 8532"
4646290,"!CAL 2.4, -10.6 1943, 1938"
4646290,"!CAL -38.0, -24.3 -2060, 5012"
4646290,"!CAL 30.8, -29.1 6559, 5133"
4646290,"!CAL eye check box: (L,R,T,B)"
4646290,"!CAL href cal range: (L,R,T,B)"
4646290,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
4646290,"!CAL Prenormalize: offx, offy = 0.98995 -26.451"
4646291,!CAL Gains: cx:123.432 lx:68.990 rx:177.879
4646291,!CAL Gains: cy:222.017 ty:149.376 by:213.396
4646291,"!CAL Resolution (upd) at screen center: X=2.1, Y=1.2"
4646291,!CAL Gain Change Proportion: X: 1.578 Y: 0.429
4646291,!CAL Gain Ratio (Gy/Gx) = 1.799
4646291,"!CAL Cross-Gain Ratios: X=0.176, Y=0.064"
4646291,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
4646291,"!CAL CR gain match(x,y) = 1.000, 1.000"
4646291,!CAL Slip rotation correction OFF
4646292,!CAL CALIBRATION HV5 L LEFT GOOD
4654146,"!CAL VALIDATION HV5 L LEFT POOR ERROR 0.59 avg. 2.04 max OFFSET 0.48 deg. -24.3,-35.4 pix."
4654150,"VALIDATE L POINT 0 LEFT at 1920,1080 OFFSET 0.06 deg. -6.9,0.7 pix."
4654150,"VALIDATE L POINT 1 LEFT at 1920,184 OFFSET 0.22 deg. 24.9,-4.1 pix."
4654150,"VALIDATE L POINT 2 LEFT at 1920,1975 OFFSET 0.35 deg. -1.7,-28.4 pix."
4654150,"VALIDATE L POINT 3 LEFT at 230,1080 OFFSET 2.04 deg. -89.6,-154.7 pix."
4654150,"VALIDATE L POINT 4 LEFT at 3609,1080 OFFSET 0.39 deg. -35.2,20.1 pix."
4665745,"!CAL VALIDATION HV5 L LEFT POOR ERROR 0.67 avg. 2.23 max OFFSET 0.60 deg. -22.9,-46.5 pix."
4665745,"VALIDATE L POINT 0 LEFT at 1920,1080 OFFSET 0.23 deg. 12.7,-16.9 pix."
4665746,"VALIDATE L POINT 1 LEFT at 1920,184 OFFSET 0.32 deg. 0.1,-26.7 pix."
4665746,"VALIDATE L POINT 2 LEFT at 1920,1975 OFFSET 0.08 deg. -2.0,-6.2 pix."
4665746,"VALIDATE L POINT 3 LEFT at 230,1080 OFFSET 2.23 deg. -117.6,-163.2 pix."
4665746,"VALIDATE L POINT 4 LEFT at 3609,1080 OFFSET 0.20 deg. -19.7,8.1 pix."
4703772,!CAL
4703772,!CAL Calibration points:
4703773,"!CAL 0.0, -26.6 1972, 5221"
4703773,"!CAL -5.2, -46.8 2197, 8824"
4703773,"!CAL 2.2, -10.5 1778, 2034"
4703773,"!CAL -42.8, -24.4 -2325, 5326"
4703773,"!CAL 29.5, -29.5 6475, 5138"
4703773,"!CAL eye check box: (L,R,T,B)"
4703773,"!CAL href cal range: (L,R,T,B)"
4703773,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
4703773,"!CAL Prenormalize: offx, offy = 0.04895 -26.565"
4703773,!CAL Gains: cx:120.805 lx:58.882 rx:182.845
