eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,2064461,2064509,52,2204.6,1382.5,2089.0,1258.9,1.8,0
R,2064673,2064757,88,1991.3,1138.2,1941.1,1129.7,0.5,489
R,2065669,2065717,52,1991.3,1138.2,1941.1,1129.7,0.5,0
R,2066709,2066757,52,1991.3,1138.2,1941.1,1129.7,0.5,0
R,2067321,2067361,44,1949.3,1190.3,2719.2,1346.2,7.1,237
R,2067797,2067809,16,2911.6,1361.8,3009.7,1383.7,0.9,81
R,2069965,2069985,24,3113.2,1379.5,2917.3,1261.3,2.3,133
R,2070305,2070349,48,2847.9,1193.5,2031.5,1160.6,7.3,186
R,2070725,2070773,52,1902.2,1115.5,829.2,2338.2,16.9,563
R,2070801,2070897,100,825.4,2318.6,1988.7,1183.8,16.5,413
R,2072209,2072257,52,1984.0,1192.9,2664.9,1335.9,6.3,160
R,2072489,2072505,20,2828.3,1354.6,2983.9,1403.1,1.5,105
R,2074225,2074429,208,3134.3,1357.1,1969.8,1039.5,11.0,545
R,2074641,2074649,12,2003.5,1150.2,1946.4,1158.8,0.5,64
R,2076777,2076817,44,1948.2,1185.6,2668.0,1236.7,6.4,207
R,2077141,2077157,20,2841.3,1261.1,2979.0,1310.9,1.4,97
R,2080669,2080817,152,3097.4,1337.2,3017.4,1509.7,2.2,540
R,2080961,2081253,296,3078.3,1279.4,2918.0,1808.2,6.6,735
R,2081405,2081765,364,3048.3,1355.7,2907.4,1879.1,6.5,719
R,2082553,2082829,280,3106.8,1320.0,1919.8,1341.3,10.5,765
R,2086057,2086101,48,1947.5,1088.0,2765.9,1250.9,7.6,228
R,2088101,2088145,48,2965.2,1345.4,2131.4,1194.5,7.7,213
R,2088709,2088881,176,1954.9,1213.7,2119.1,575.1,8.0,634
R,2088949,2088965,20,2131.8,584.0,2116.5,488.0,1.2,82
R,2089021,2099093,10076,2119.1,407.9,1818.9,1701.1,15.1,3270
R,2099133,2099141,12,1846.8,1507.7,1858.2,1441.5,0.8,101
R,2099629,2099949,324,1856.6,1114.5,1890.5,1621.3,6.1,769
R,2100029,2100313,288,1941.8,1411.5,1565.3,1494.3,3.4,774
R,2100373,2100793,424,1604.3,1313.7,1913.7,1981.3,8.4,681
R,2100865,2101129,268,1906.2,1970.3,2146.5,1641.6,4.4,1245
R,2101237,2101265,32,2233.1,1276.3,2123.6,1610.6,4.1,194
R,2101297,2101569,276,2084.5,1766.5,1921.4,1566.6,2.7,729
R,2102029,2102037,12,1962.2,1013.6,1908.1,1020.3,0.5,59
R,2102217,2102265,52,1962.2,1013.6,1908.1,1020.3,0.5,0
R,2102673,2102689,20,1953.8,1074.5,2128.2,1077.0,1.5,110
R,2103061,2103077,20,2153.6,964.3,2041.7,1097.7,1.9,139
R,2103605,2103745,144,1984.0,1123.2,2035.0,1649.2,6.4,443
R,2104217,2104249,36,2178.1,1070.6,2745.7,1139.0,5.0,188
R,2104285,2104333,52,2178.1,1070.6,2745.7,1139.0,5.0,0
R,2104605,2104621,20,2822.0,1212.2,2990.6,1198.7,1.5,103
R,2104885,2104901,20,3068.8,1228.0,2966.9,1376.2,2.0,151
R,2105681,2105729,52,3068.8,1228.0,2966.9,1376.2,2.0,0
R,2106669,2106825,160,3039.2,1336.6,3004.3,1647.9,3.8,518
R,2107189,2107197,12,2994.1,1263.0,2937.2,1262.7,0.5,63
R,2107225,2107521,300,2893.2,1298.2,2063.4,1437.8,7.5,1146
R,2107781,2107821,44,2090.2,1139.8,2795.9,1147.3,6.2,213
R,2107925,2107973,52,2090.2,1139.8,2795.9,1147.3,6.2,0
R,2108781,2108825,48,2944.0,1206.6,2091.5,1089.0,7.6,212
R,2110149,2110185,40,1886.2,1003.0,1240.2,1159.6,5.8,216
R,2110277,2110397,124,1138.8,1184.1,1131.8,1181.0,0.1,11
R,2112121,2112217,100,649.7,1336.2,385.5,1917.4,7.0,361
R,2112749,2112805,60,575.2,1504.6,194.2,2441.7,10.9,275
R,2112833,2112853,24,238.9,2435.8,314.2,2184.1,2.8,175
R,2112889,2112905,20,614.1,2034.6,640.6,1868.6,1.9,130
R,2113325,2113345,24,746.6,1393.4,959.1,1435.4,1.8,120
R,2113405,2113417,16,1009.5,1400.5,919.6,1456.3,1.0,87
R,2113769,2114173,408,926.0,1429.4,1279.5,1960.7,6.9,2430
R,2114205,2114221,20,1354.6,1886.9,1570.0,1998.5,2.2,175
R,2114421,2114785,368,1769.5,1491.3,753.7,2511.5,14.4,1779
R,2116209,2116253,48,1903.2,1033.4,964.4,1326.5,8.8,258
R,2116641,2116649,12,874.2,1368.8,815.6,1344.0,0.6,71
R,2119653,2119689,40,917.5,1294.6,990.2,2526.7,14.1,701
R,2119729,2119813,88,971.5,2467.7,971.2,1224.1,14.3,391
R,2120081,2120157,80,1002.6,1157.2,125.7,3156.6,22.7,526
R,2120201,2120317,120,64.0,3204.7,1127.8,1400.0,21.1,371
R,2120441,2120489,52,64.0,3204.7,1127.8,1400.0,23.4,0
R,2120569,2120589,24,1092.1,1156.3,1295.3,1071.0,2.0,114
R,2121261,2121289,32,1378.0,1167.7,1829.7,977.3,4.5,210
R,2122617,2122661,48,1986.7,963.5,2838.5,1117.7,7.7,221
R,2123461,2123469,12,3104.5,1228.7,3107.3,1265.3,0.5,56
R,2124717,2124761,48,3142.2,1224.2,2617.5,1199.6,4.6,129
R,2125117,2125189,76,2319.2,1183.2,1810.6,2168.6,12.5,311
R,2125217,2125265,52,1781.2,2086.0,1853.2,1561.4,6.2,187
R,2125541,2125873,336,1951.0,1105.8,1991.9,1065.9,0.6,752
R,2127525,2127561,40,1967.8,1069.0,2729.9,1167.4,6.8,232
R,2127881,2127893,16,2933.5,1181.2,3039.6,1240.9,1.2,103
R,2130361,2130541,184,3110.1,1255.3,1792.8,1963.5,14.2,2528
R,2130573,2130745,176,1872.1,1929.6,1944.4,1435.4,5.9,1357
R,2132273,2132317,48,1964.9,1119.6,2740.9,1102.9,6.8,201
R,2132669,2132681,16,2941.6,1148.5,3023.4,1152.4,0.7,62
R,2133945,2133953,12,3054.2,1209.8,3100.5,1208.4,0.4,51
R,2135169,2135217,52,3028.1,1209.5,2518.2,1095.5,4.7,117
R,2135629,2135913,288,2293.1,1088.4,1999.2,1354.3,4.1,654
R,2136129,2136529,404,1980.2,1033.0,1937.6,1774.4,8.9,652
R,2137941,2137989,52,1980.2,1033.0,1937.6,1774.4,8.9,0
R,2138133,2138185,56,1897.5,1100.2,992.9,1293.7,8.0,179
R,2138589,2138601,16,877.6,1333.4,788.1,1340.8,0.7,63
R,2138853,2138901,52,877.6,1333.4,788.1,1340.8,0.7,0
R,2139565,2139613,52,877.6,1333.4,788.1,1340.8,0.7,0
R,2141397,2141445,52,877.6,1333.4,788.1,1340.8,0.7,0
R,2142557,2142565,12,863.9,1202.1,857.2,1142.6,0.7,87
