subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV025,L,1,2,0,1,0,1,Fixation,,,,,,,,,,,,
SV025,L,2,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,3,2,3,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,4,2,3,0,1,2,Fixation,,,,,,,,,,,,
SV025,L,5,2,3,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,6,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,7,2,3,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,8,2,0,0,1,2,Fixation,,,,,,,,,,,,
SV025,L,9,3,0,0,0,3,Fixation,,,,,,,,,,,,
SV025,L,10,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV025,L,11,2,3,1,0,2,Fixation,,,,,,,,,,,,
SV025,L,12,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,13,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,14,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,15,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV025,L,16,3,3,1,0,2,Fixation,,,,,,,,,,,,
SV025,L,17,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,18,2,0,0,1,2,Fixation,,,,,,,,,,,,
SV025,L,19,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,20,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,21,2,3,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,22,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV025,L,23,3,0,0,1,1,Fixation,,,,,,,,,,,,
SV025,L,24,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV025,L,25,3,3,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,26,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,27,3,3,1,0,2,Fixation,,,,,,,,,,,,
SV025,L,28,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV025,L,29,3,0,1,1,3,Fixation,,,,,,,,,,,,
SV025,L,30,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,31,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,32,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,33,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,34,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,35,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,36,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,37,3,3,0,0,3,Fixation,,,,,,,,,,,,
SV025,L,38,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV025,L,39,3,0,1,1,3,Fixation,,,,,,,,,,,,
SV025,L,40,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV025,L,41,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV025,L,42,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV025,L,43,2,3,0,1,2,Fixation,,,,,,,,,,,,
SV025,L,44,2,3,1,1,2,Fixation,,,,,,,,,,,,
SV025,L,45,2,0,1,0,2,Fixation,,,,,,,,,,,,
