subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV021,R,321,2,0,1,1,0,Response,,,,,,,,,,,,
SV021,R,322,2,3,1,1,3,Response,,,,,,,,,,,,
SV021,R,323,3,0,0,1,0,Response,,,,,,,,,,,,
SV021,R,324,3,3,1,1,3,Response,,,,,,,,,,,,
SV021,R,325,2,0,0,0,0,Response,,,,,,,,,,,,
SV021,R,326,3,3,1,1,3,Response,,,,,,,,,,,,
SV021,R,327,3,3,0,0,3,Response,,,,,,,,,,,,
SV021,R,328,3,2,1,1,2,Response,,,,,,,,,,,,
SV021,R,329,3,3,0,1,3,Response,,,,,,,,,,,,
SV021,R,330,3,0,0,0,0,Response,,,,,,,,,,,,
SV021,R,331,2,2,0,1,2,Response,,,,,,,,,,,,
SV021,R,332,3,3,0,1,3,Response,,,,,,,,,,,,
SV021,R,333,2,2,0,1,2,Response,,,,,,,,3.3,3.3,1035.0,1035.0,276.0
SV021,R,334,2,3,1,1,3,Response,,,,,,,,4.0,4.0,897.0,897.0,308.0
SV021,R,335,3,3,0,1,3,Response,,,,,,,,,,,,
SV021,R,336,3,0,0,1,0,Response,,,,,,,,,,,,
SV021,R,337,2,3,1,0,3,Response,,,,,,,,,,,,
SV021,R,338,2,2,1,0,3,Response,,,,,,,,,,,,
SV021,R,339,2,0,1,0,0,Response,,,,,,,,,,,,
SV021,R,340,3,2,0,1,2,Response,,,,,,,,0.6,0.6,69.0,69.0,12.0
SV021,R,341,2,0,1,0,0,Response,,,,,,,,,,,,
SV021,R,342,3,0,0,0,0,Response,,,,,,,,,,,,
SV021,R,343,2,2,0,0,2,Response,,,,,,,,,,,,
SV021,R,344,2,2,1,1,2,Response,,,,,,,,,,,,
SV021,R,345,3,3,1,1,3,Response,,,,,,,,,,,,
SV021,R,346,3,3,0,0,3,Response,,,,,,,,,,,,
SV021,R,347,3,2,0,1,2,Response,,,,,,,,,,,,
SV021,R,348,3,3,0,1,3,Response,,,,,,,,,,,,
SV021,R,349,2,0,1,0,0,Response,,,,,,,,,,,,
SV021,R,350,3,0,0,0,0,Response,,,,,,,,,,,,
SV021,R,351,3,3,0,0,3,Response,,,,,,,,,,,,
SV021,R,352,3,3,0,1,3,Response,,,,,,,,,,,,
SV021,R,353,2,2,0,0,2,Response,,,,,,,,,,,,
SV021,R,354,3,0,0,1,0,Response,,,,,,,,,,,,
SV021,R,355,3,2,0,1,2,Response,,,,,,,,,,,,
SV021,R,356,2,3,0,0,3,Response,,,,,,,,,,,,
SV021,R,357,2,2,0,0,2,Response,,,,,,,,4.9,4.9,842.0,842.0,296.0
SV021,R,358,2,2,0,0,2,Response,,,,,,,,,,,,
SV021,R,359,3,3,0,0,3,Response,,,,,,,,,,,,
SV021,R,360,2,0,0,0,0,Response,2088.375,3270.0,1713.0,2330.4,543.875,773.0,289.0,5.2555555555555555,17.5,478.6666666666667,1599.0,175.11111111111111
SV021,R,361,3,2,0,1,2,Response,,,,,,,,,,,,
SV021,R,362,3,0,1,0,0,Response,,,,,,,,,,,,
SV021,R,363,3,3,1,0,3,Response,,,,,,,,,,,,
SV021,R,364,2,2,1,0,2,Response,,,,,,,,,,,,
SV021,R,365,2,2,0,1,2,Response,,,,,,,,,,,,
SV021,R,366,2,3,0,0,3,Response,,,,,,,,,,,,
SV021,R,367,2,2,1,1,2,Response,,,,,,,,,,,,
SV021,R,368,3,2,1,0,2,Response,,,,,,,,,,,,
SV021,R,369,3,3,1,0,3,Response,,,,,,,,2.5,2.5,803.0,803.0,272.0
