subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV032,L,1,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,2,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,3,2,3,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,4,3,2,1,0,3,Fixation,,,,,,,,,,,,
SV032,L,5,3,0,1,0,3,Fixation,,,,,,,,,,,,
SV032,L,6,3,3,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,7,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,8,2,0,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,9,3,3,1,1,1,Fixation,,,,,,,,,,,,
SV032,L,10,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,11,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,12,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,13,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,14,3,3,1,0,3,Fixation,,,,,,,,,,,,
SV032,L,15,2,3,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,16,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,17,3,3,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,18,2,3,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,19,2,3,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,20,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,21,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,22,3,3,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,23,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,24,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,25,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,26,3,0,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,27,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,28,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV032,L,29,3,3,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,30,3,3,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,31,3,3,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,32,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,33,2,0,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,34,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,35,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,36,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,37,2,0,0,1,1,Fixation,,,,,,,,,,,,
SV032,L,38,2,0,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,39,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,40,2,0,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,41,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,42,3,3,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,43,3,0,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,44,3,3,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,45,3,3,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,46,3,3,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,47,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV032,L,48,2,3,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,49,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,50,2,0,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,51,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV032,L,52,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV032,L,53,3,3,0,1,2,Fixation,,,,,,,,,,,,
