subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV024,L,1,3,3,1,1,3,Fixation,,,,,,,,,,,,
SV024,L,2,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV024,L,3,3,3,0,1,3,Fixation,,,,,,,,,,,,
SV024,L,4,2,2,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,5,2,0,0,1,3,Fixation,,,,,,,,,,,,
SV024,L,6,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,7,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,8,2,0,0,1,3,Fixation,,,,,,,,,,,,
SV024,L,9,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,10,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV024,L,11,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,12,2,0,0,0,3,Fixation,,,,,,,,,,,,
SV024,L,13,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,14,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV024,L,15,3,0,1,0,3,Fixation,,,,,,,,,,,,
SV024,L,16,2,0,0,0,3,Fixation,,,,,,,,,,,,
SV024,L,17,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,18,3,3,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,19,2,2,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,20,2,3,1,1,3,Fixation,,,,,,,,,,,,
SV024,L,21,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,22,3,3,0,0,3,Fixation,,,,,,,,,,,,
SV024,L,23,3,0,0,1,3,Fixation,,,,,,,,,,,,
SV024,L,24,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV024,L,25,2,0,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,26,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,27,2,3,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,28,2,3,0,0,2,Fixation,,,,,,,,,,,,
SV024,L,29,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV024,L,30,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,31,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV024,L,32,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV024,L,33,3,2,1,1,2,Fixation,,,,,,,,,,,,
