subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV023,L,1,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV023,L,2,3,3,1,1,2,Fixation,,,,,,,,,,,,
SV023,L,3,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,4,3,0,1,1,1,Fixation,,,,,,,,,,,,
SV023,L,5,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV023,L,6,3,0,0,0,1,Fixation,,,,,,,,,,,,
SV023,L,7,2,0,0,0,1,Fixation,,,,,,,,,,,,
SV023,L,8,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV023,L,9,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV023,L,10,3,3,0,1,4,Fixation,,,,,,,,,,,,
SV023,L,11,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,12,3,3,1,1,3,Fixation,,,,,,,,,,,,
SV023,L,13,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV023,L,14,3,3,0,1,3,Fixation,,,,,,,,,,,,
SV023,L,15,3,3,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,16,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV023,L,17,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV023,L,18,2,2,0,1,2,Fixation,,,,,,,,,,,,
SV023,L,19,2,2,0,1,2,Fixation,,,,,,,,,,,,
SV023,L,20,3,3,0,1,3,Fixation,,,,,,,,,,,,
SV023,L,21,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV023,L,22,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV023,L,23,2,0,1,0,2,Fixation,,,,,,,,,,,,
SV023,L,24,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV023,L,25,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV023,L,26,3,3,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,27,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV023,L,28,3,0,0,0,1,Fixation,,,,,,,,,,,,
SV023,L,29,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV023,L,30,3,0,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,31,2,0,0,1,3,Fixation,,,,,,,,,,,,
SV023,L,32,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV023,L,33,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV023,L,34,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV023,L,35,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV023,L,36,3,3,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,37,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV023,L,38,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV023,L,39,3,3,1,1,3,Fixation,,,,,,,,,,,,
SV023,L,40,2,3,1,1,3,Fixation,,,,,,,,,,,,
SV023,L,41,3,3,1,0,3,Fixation,,,,,,,,,,,,
SV023,L,42,3,3,0,1,3,Fixation,,,,,,,,,,,,
SV023,L,43,3,3,1,1,3,Fixation,,,,,,,,,,,,
SV023,L,44,2,3,1,1,3,Fixation,,,,,,,,,,,,
SV023,L,45,3,3,1,0,3,Fixation,,,,,,,,,,,,
SV023,L,46,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,47,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV023,L,48,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV023,L,49,2,0,0,1,3,Fixation,,,,,,,,,,,,
