subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV018,L,1,3,0,0,0,3,Fixation,,,,,,,,,,,,
SV018,L,2,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV018,L,3,3,0,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,4,3,0,1,1,3,Fixation,,,,,,,,,,,,
SV018,L,5,3,0,1,0,3,Fixation,,,,,,,,,,,,
SV018,L,6,3,0,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,7,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV018,L,8,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,9,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV018,L,10,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV018,L,11,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV018,L,12,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV018,L,13,3,2,1,0,3,Fixation,,,,,,,,,,,,
SV018,L,14,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV018,L,15,3,3,1,0,3,Fixation,,,,,,,,,,,,
SV018,L,16,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV018,L,17,2,0,1,0,3,Fixation,,,,,,,,,,,,
SV018,L,18,3,2,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,19,2,0,0,1,2,Fixation,,,,,,,,,,,,
SV018,L,20,2,0,1,1,3,Fixation,,,,,,,,,,,,
SV018,L,21,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV018,L,22,3,0,0,0,3,Fixation,,,,,,,,,,,,
SV018,L,23,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,24,2,0,1,0,2,Fixation,,,,,,,,,,,,
SV018,L,25,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV018,L,26,2,0,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,27,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV018,L,28,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,29,3,3,1,1,3,Fixation,,,,,,,,,,,,
SV018,L,30,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,31,3,0,0,1,3,Fixation,,,,,,,,,,,,
SV018,L,32,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV018,L,33,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV018,L,34,2,3,1,0,3,Fixation,,,,,,,,,,,,
SV018,L,35,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV018,L,36,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV018,L,37,3,0,0,1,3,Fixation,,,,,,,,,,,,
