subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response
SV029,L,1,2,2,0,1,2
SV029,L,2,3,2,1,0,2
SV029,L,3,3,3,1,0,2
SV029,L,4,2,0,1,1,2
SV029,L,5,3,3,1,1,2
SV029,L,6,3,0,0,1,2
SV029,L,7,3,2,1,1,2
SV029,L,8,2,0,1,1,2
SV029,L,9,3,0,0,1,2
SV029,L,10,2,2,1,1,2
SV029,L,11,3,2,0,1,2
SV029,L,12,3,2,1,0,2
SV029,L,13,3,3,0,0,3
SV029,L,14,3,3,1,1,3
SV029,L,15,3,3,1,0,2
SV029,L,16,3,2,1,1,2
SV029,L,17,3,3,1,0,3
SV029,L,18,3,2,0,0,3
SV029,L,19,3,2,0,0,2
SV029,L,20,2,2,1,0,2
SV029,L,21,2,2,1,0,2
SV029,L,22,3,3,1,0,3
SV029,L,23,2,2,1,0,2
SV029,L,24,3,0,0,1,2
SV029,L,25,3,0,1,1,2
SV029,L,26,3,0,0,1,2
SV029,L,27,3,0,1,1,2
SV029,L,28,2,2,1,1,2
SV029,L,29,2,3,1,1,2
SV029,L,30,2,0,1,0,2
SV029,L,31,3,2,0,0,2
SV029,L,32,2,3,0,0,3
SV029,L,33,2,0,1,1,2
SV029,L,34,2,3,1,1,2
SV029,L,35,3,2,1,0,2
SV029,L,36,3,0,1,0,2
SV029,L,37,2,3,0,0,2
SV029,L,38,2,2,0,0,2
SV029,L,39,3,3,1,0,2
SV029,L,40,2,3,0,1,3
SV029,L,41,3,3,0,0,3
SV029,L,42,3,3,0,0,3
SV029,L,43,2,2,1,1,2
SV029,L,44,3,3,0,1,3
SV029,L,45,2,3,0,1,3
SV029,L,46,2,0,1,1,2
SV029,L,47,3,3,0,0,2
SV029,L,48,3,3,1,1,3
SV029,L,49,2,2,1,1,2
SV029,L,50,3,3,1,1,2
SV029,L,51,3,2,0,1,3
SV029,L,52,2,2,0,1,2
SV029,L,53,2,0,0,0,2
SV029,L,54,2,2,1,1,2
SV029,L,55,2,3,0,1,2
SV029,L,56,3,3,1,1,2
SV029,L,57,2,3,1,0,2
SV029,L,58,3,2,0,0,2
SV029,L,59,3,3,1,1,3
SV029,L,60,2,0,1,0,2
SV029,L,61,3,0,1,1,2
SV029,L,62,2,3,1,1,2
SV029,L,63,2,0,0,1,2
SV029,L,64,3,3,1,0,2
SV029,L,65,3,0,0,0,2
SV029,L,66,2,0,0,0,2
SV029,L,67,3,2,1,1,2
SV029,L,68,2,0,0,1,2
SV029,L,69,3,0,0,0,2
SV029,L,70,3,3,0,1,3
SV029,L,71,2,2,0,1,2
SV029,L,72,3,2,1,1,2
SV029,L,73,3,2,1,0,2
SV029,L,74,2,0,1,1,2
SV029,L,75,2,3,0,0,2
SV029,L,76,3,0,0,0,3
SV029,L,77,2,2,1,1,2
SV029,L,78,2,2,1,0,2
SV029,L,79,2,3,1,1,2
SV029,L,80,2,2,1,1,2
SV029,L,81,3,0,1,0,2
SV029,L,82,2,3,0,0,3
SV029,L,83,2,2,1,0,2
SV029,L,84,2,3,0,0,0
SV029,L,85,2,3,1,1,2
SV029,L,86,2,2,0,1,2
SV029,L,87,2,2,0,0,2
SV029,L,88,2,2,0,0,2
SV029,L,89,2,2,0,1,2
SV029,L,90,3,3,0,1,3
SV029,L,91,2,2,1,1,2
SV029,L,92,3,0,1,0,2
SV029,L,93,2,3,1,0,2
SV029,L,94,2,3,1,0,2
SV029,L,95,2,3,0,1,2
SV029,L,96,2,2,1,0,2
SV029,L,97,3,3,1,1,2
SV029,L,98,3,0,0,0,3
SV029,L,99,2,0,0,0,2
SV029,L,100,3,3,0,1,2
SV029,L,101,3,3,0,1,2
SV029,L,102,3,0,1,0,2
SV029,L,103,3,0,0,1,2
SV029,L,104,3,2,0,1,2
SV029,L,105,3,2,0,1,2
SV029,L,106,2,0,0,1,2
SV029,L,107,2,2,0,0,2
SV029,L,108,2,2,0,0,2
SV029,L,109,2,3,1,0,2
SV029,L,110,2,0,1,1,2
SV029,L,111,3,2,1,0,2
SV029,L,112,3,2,0,1,2
SV029,L,113,3,2,1,1,2
SV029,L,114,3,3,0,0,2
SV029,L,115,2,0,1,0,2
SV029,L,116,3,2,1,1,2
SV029,L,117,3,0,0,0,2
SV029,L,118,3,3,1,0,2
SV029,L,119,3,2,1,1,2
SV029,L,120,3,0,0,0,2
SV029,L,121,3,0,0,1,2
SV029,L,122,2,2,0,0,2
SV029,L,123,3,0,1,1,2
SV029,L,124,2,0,1,0,2
SV029,L,125,2,2,1,0,1
SV029,L,126,2,3,0,1,2
SV029,L,127,3,3,0,1,3
SV029,L,128,3,0,1,0,3
SV029,L,129,2,2,0,1,3
SV029,L,130,2,3,1,0,2
SV029,L,131,2,3,1,1,2
SV029,L,132,2,3,0,1,2
SV029,L,133,3,2,0,1,2
SV029,L,134,3,0,0,1,2
SV029,L,135,3,2,0,1,2
SV029,L,136,2,3,0,1,2
SV029,L,137,2,0,0,1,2
SV029,L,138,3,3,1,1,2
SV029,L,139,2,2,1,0,2
SV029,L,140,2,2,1,0,2
SV029,L,141,3,2,1,0,2
SV029,L,142,3,0,0,0,2
SV029,L,143,3,0,0,1,2
SV029,L,144,2,3,0,0,2
SV029,L,145,3,2,1,0,2
SV029,L,146,2,3,0,0,2
SV029,L,147,2,3,0,0,2
SV029,L,148,3,0,1,0,2
SV029,L,149,3,3,1,0,2
SV029,L,150,3,0,1,1,2
SV029,L,151,3,3,1,1,2
SV029,L,152,2,3,0,0,2
SV029,L,153,3,0,1,1,2
SV029,L,154,2,2,0,1,2
SV029,L,155,2,0,0,1,2
SV029,L,156,3,3,0,0,2
SV029,L,157,3,2,0,0,2
SV029,L,158,3,0,1,1,2
SV029,L,159,2,2,1,0,2
SV029,L,160,3,3,0,1,2
SV029,L,161,2,2,0,0,3
SV029,L,162,3,2,0,0,2
SV029,L,163,2,0,0,0,2
SV029,L,164,3,2,1,0,2
SV029,L,165,2,3,1,1,2
SV029,L,166,3,0,1,0,2
SV029,L,167,2,3,1,0,2
SV029,L,168,2,3,1,1,2
SV029,L,169,2,0,1,1,2
SV029,L,170,3,3,1,1,2
SV029,L,171,3,3,1,0,2
SV029,L,172,3,0,0,1,2
SV029,L,173,2,0,1,0,2
SV029,L,174,2,0,0,1,2
SV029,L,175,3,0,0,0,2
SV029,L,176,2,0,1,1,1
SV029,L,177,2,3,1,0,2
SV029,L,178,3,3,0,0,2
SV029,L,179,3,3,0,1,3
SV029,L,180,3,0,0,0,3
SV029,L,181,3,3,0,1,2
SV029,L,182,2,0,0,1,2
SV029,L,183,3,2,0,0,2
SV029,L,184,2,0,0,0,2
SV029,L,185,2,0,1,0,2
SV029,L,186,2,0,0,1,2
SV029,L,187,3,2,0,1,2
SV029,L,188,3,3,1,0,3
SV029,L,189,2,3,1,0,2
SV029,L,190,3,3,0,0,3
SV029,L,191,2,3,1,1,3
SV029,L,192,2,2,0,1,2
SV029,L,193,2,0,0,1,2
SV029,L,194,3,0,1,0,2
SV029,L,195,3,2,0,0,2
SV029,L,196,2,3,0,1,3
SV029,L,197,2,2,1,1,2
SV029,L,198,2,0,1,0,2
SV029,L,199,2,2,0,0,2
SV029,L,200,3,3,0,0,2
SV029,L,201,3,3,0,1,2
SV029,L,202,2,3,1,0,2
SV029,L,203,2,0,0,0,2
SV029,L,204,2,3,0,1,2
SV029,L,205,3,0,1,0,2
SV029,L,206,3,0,0,1,2
SV029,L,207,3,0,1,0,2
SV029,L,208,3,2,1,1,2
SV029,L,209,2,0,1,0,2
SV029,L,210,2,0,0,0,2
SV029,L,211,3,0,1,1,2
SV029,L,212,2,0,1,1,2
SV029,L,213,3,0,1,1,2
SV029,L,214,2,3,1,0,2
SV029,L,215,3,2,0,0,3
SV029,L,216,3,2,1,0,2
SV029,L,217,2,0,1,1,2
SV029,L,218,2,3,0,1,3
SV029,L,219,2,3,0,0,2
SV029,L,220,2,3,1,1,2
SV029,L,221,2,0,0,1,2
SV029,L,222,3,2,1,0,2
SV029,L,223,3,2,0,0,2
SV029,L,224,3,0,0,0,2
SV029,L,225,2,0,1,0,2
SV029,L,226,3,3,0,0,2
SV029,L,227,3,2,0,1,2
SV029,L,228,3,2,1,1,2
SV029,L,229,3,0,1,1,2
SV029,L,230,2,2,0,1,2
SV029,L,231,2,0,1,0,2
SV029,L,232,2,2,0,0,2
SV029,L,233,2,0,0,0,3
SV029,L,234,3,2,0,1,2
SV029,L,235,2,0,0,0,2
SV029,L,236,2,2,0,0,2
SV029,L,237,2,2,0,1,2
SV029,L,238,2,0,0,0,2
SV029,L,239,3,2,1,1,2
SV029,L,240,2,2,1,1,2
SV029,L,241,3,2,1,1,2
SV029,L,242,3,3,0,1,3
SV029,L,243,2,0,1,0,0
