subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response
SV021,L,1,2,3,0,0,3
SV021,L,2,2,3,1,0,3
SV021,L,3,3,3,0,1,3
SV021,L,4,3,0,0,0,3
SV021,L,5,2,2,1,1,2
SV021,L,6,2,0,1,1,2
SV021,L,7,2,0,1,1,2
SV021,L,8,3,0,0,1,3
SV021,L,9,2,0,1,1,2
SV021,L,10,3,2,1,1,2
SV021,L,11,2,2,1,0,2
SV021,L,12,3,2,0,1,2
SV021,L,13,2,0,1,0,2
SV021,L,14,3,2,1,1,2
SV021,L,15,2,2,0,0,2
SV021,L,16,3,0,0,1,2
SV021,L,17,2,0,0,0,2
SV021,L,18,2,0,0,0,2
SV021,L,19,3,0,0,0,2
SV021,L,20,3,3,1,1,3
SV021,L,21,2,2,1,1,2
SV021,L,22,2,0,0,0,2
SV021,L,23,3,3,1,0,3
SV021,L,24,3,0,1,1,2
SV021,L,25,3,2,0,0,2
SV021,L,26,2,0,0,1,2
SV021,L,27,3,0,1,1,3
SV021,L,28,2,3,1,0,3
SV021,L,29,3,0,1,1,3
SV021,L,30,2,0,0,0,2
SV021,L,31,2,2,0,1,2
SV021,L,32,3,2,1,1,2
SV021,L,33,2,3,0,0,3
SV021,L,34,2,3,0,1,3
SV021,L,35,2,0,0,0,2
SV021,L,36,2,2,1,0,2
SV021,L,37,2,3,0,1,3
SV021,L,38,2,3,1,0,3
SV021,L,39,3,2,0,1,2
SV021,L,40,3,2,1,0,2
SV021,L,41,2,3,1,1,3
SV021,L,42,2,0,0,0,2
SV021,L,43,3,3,0,1,3
SV021,L,44,3,2,1,1,2
SV021,L,45,3,2,1,0,2
SV021,L,46,2,3,1,1,3
SV021,L,47,3,0,0,1,3
SV021,L,48,3,3,1,0,3
SV021,L,49,2,2,0,1,2
SV021,L,50,3,0,1,0,2
SV021,L,51,3,0,0,0,2
SV021,L,52,2,3,0,1,3
SV021,L,53,3,0,1,0,3
SV021,L,54,3,3,1,0,3
SV021,L,55,2,2,0,0,2
SV021,L,56,3,0,1,0,3
SV021,L,57,3,2,0,0,2
SV021,L,58,3,3,0,1,3
SV021,L,59,3,3,0,0,3
SV021,L,60,3,3,1,1,3
SV021,L,61,3,3,1,1,3
SV021,L,62,3,0,1,1,3
SV021,L,63,2,2,0,1,2
SV021,L,64,2,3,0,1,3
SV021,L,65,2,3,0,1,3
SV021,L,66,2,2,0,1,2
SV021,L,67,2,0,0,1,0
SV021,L,68,3,0,0,0,3
SV021,L,69,2,3,0,0,3
SV021,L,70,3,0,0,0,3
SV021,L,71,3,2,0,0,2
SV021,L,72,2,2,1,0,2
SV021,L,73,2,2,0,0,2
SV021,L,74,2,3,0,1,3
SV021,L,75,2,3,1,1,3
SV021,L,76,2,2,1,0,2
SV021,L,77,3,2,0,1,2
SV021,L,78,3,3,0,0,1
SV021,L,79,3,2,1,0,2
SV021,L,80,3,0,0,1,2
SV021,L,81,3,2,1,0,2
SV021,L,82,2,0,1,0,3
SV021,L,83,2,2,1,1,2
SV021,L,84,3,0,0,0,3
SV021,L,85,2,0,1,0,2
SV021,L,86,3,0,1,1,2
SV021,L,87,2,0,0,1,2
SV021,L,88,2,0,0,1,3
SV021,L,89,3,0,1,0,3
SV021,L,90,3,2,1,1,2
SV021,L,91,2,3,1,0,3
SV021,L,92,3,0,0,1,2
SV021,L,93,3,0,0,1,3
SV021,L,94,3,3,1,1,3
SV021,L,95,3,0,1,0,3
SV021,L,96,2,2,1,0,2
SV021,L,97,2,3,1,1,3
SV021,L,98,3,3,1,1,3
SV021,L,99,2,0,1,1,3
SV021,L,100,3,3,0,0,3
SV021,L,101,2,2,0,0,2
SV021,L,102,3,0,1,1,3
SV021,L,103,3,2,1,1,2
SV021,L,104,3,2,0,0,2
SV021,L,105,3,0,1,1,2
SV021,L,106,3,2,0,0,2
SV021,L,107,3,0,1,0,3
SV021,L,108,2,2,0,0,2
SV021,L,109,3,0,1,0,3
SV021,L,110,3,2,0,1,2
SV021,L,111,2,2,1,1,2
SV021,L,112,3,2,1,0,2
SV021,L,113,2,3,0,0,3
SV021,L,114,2,2,1,1,2
SV021,L,115,3,3,0,1,3
SV021,L,116,2,3,0,0,3
SV021,L,117,3,3,0,1,3
SV021,L,118,3,0,0,0,3
SV021,L,119,2,2,1,0,2
SV021,L,120,3,3,1,0,3
SV021,L,121,2,2,1,0,2
SV021,L,122,3,0,0,1,3
SV021,L,123,3,0,0,0,3
SV021,L,124,3,3,0,0,3
SV021,L,125,3,3,1,1,3
SV021,L,126,2,0,1,1,3
SV021,L,127,3,2,1,1,2
SV021,L,128,2,2,0,1,2
SV021,L,129,2,3,0,1,3
SV021,L,130,3,3,0,0,3
SV021,L,131,3,2,0,1,2
SV021,L,132,3,3,0,1,3
SV021,L,133,3,3,1,1,3
SV021,L,134,3,0,0,0,3
SV021,L,135,2,2,1,0,2
SV021,L,136,2,3,1,0,3
SV021,L,137,3,3,1,0,3
SV021,L,138,2,3,0,0,3
SV021,L,139,3,3,0,0,3
SV021,L,140,3,0,0,1,2
SV021,L,141,2,0,0,1,2
SV021,L,142,2,3,1,0,3
SV021,L,143,3,0,1,1,3
SV021,L,144,3,0,1,0,3
SV021,L,145,2,3,1,0,3
SV021,L,146,2,0,1,0,3
SV021,L,147,3,0,0,1,3
SV021,L,148,3,2,0,0,3
SV021,L,149,2,3,0,0,3
SV021,L,150,2,2,1,0,2
SV021,L,151,2,2,0,1,2
SV021,L,152,3,3,1,0,3
SV021,L,153,3,3,0,0,3
SV021,L,154,2,0,1,0,2
SV021,L,155,3,2,0,0,2
SV021,L,156,2,0,1,0,2
SV021,L,157,3,0,1,1,2
SV021,L,158,3,2,1,0,2
SV021,L,159,3,0,0,0,2
SV021,L,160,3,2,0,1,2
SV021,L,161,3,3,1,0,3
SV021,L,162,2,3,1,1,3
SV021,L,163,3,2,0,1,2
SV021,L,164,3,3,0,1,3
SV021,L,165,2,3,1,0,3
SV021,L,166,2,2,0,1,2
SV021,L,167,2,2,1,1,2
SV021,L,168,2,3,1,1,3
SV021,L,169,2,0,1,1,3
SV021,L,170,3,2,0,0,3
SV021,L,171,2,0,0,1,3
SV021,L,172,3,2,0,1,3
SV021,L,173,2,0,0,0,3
SV021,L,174,2,0,1,1,2
SV021,L,175,2,0,0,1,3
SV021,L,176,2,0,1,1,3
SV021,L,177,2,0,0,1,3
SV021,L,178,3,3,0,0,3
SV021,L,179,3,3,0,0,3
SV021,L,180,3,0,0,1,3
SV021,L,181,2,3,1,1,3
SV021,L,182,3,3,0,1,3
SV021,L,183,2,2,0,0,2
SV021,L,184,2,0,0,1,2
SV021,L,185,2,0,1,0,3
SV021,L,186,2,2,0,1,2
SV021,L,187,2,3,1,0,3
SV021,L,188,2,2,1,1,2
SV021,L,189,2,0,1,1,2
SV021,L,190,2,0,0,0,3
SV021,L,191,3,3,0,1,3
SV021,L,192,2,0,1,0,3
SV021,L,193,3,3,0,1,3
SV021,L,194,3,2,1,1,2
SV021,L,195,2,0,1,1,3
SV021,L,196,2,3,1,0,3
SV021,L,197,3,2,1,0,2
SV021,L,198,2,2,1,1,2
SV021,L,199,2,0,0,0,2
SV021,L,200,3,3,0,0,3
SV021,L,201,3,2,1,0,2
SV021,L,202,2,0,0,1,3
SV021,L,203,2,2,0,0,2
SV021,L,204,3,0,1,0,3
SV021,L,205,3,2,0,1,2
SV021,L,206,2,3,1,1,3
SV021,L,207,2,2,0,0,2
SV021,L,208,2,0,1,0,3
SV021,L,209,2,2,0,1,2
SV021,L,210,3,2,1,0,2
SV021,L,211,2,2,1,1,2
SV021,L,212,3,3,1,1,3
SV021,L,213,2,3,0,0,3
SV021,L,214,2,2,0,0,2
SV021,L,215,3,3,1,0,3
SV021,L,216,2,2,0,1,2
SV021,L,217,3,2,1,1,2
SV021,L,218,3,3,1,1,3
SV021,L,219,3,3,1,0,3
SV021,L,220,2,3,0,0,3
SV021,L,221,2,3,0,0,3
SV021,L,222,2,0,1,0,3
SV021,L,223,3,3,1,0,3
SV021,L,224,3,2,0,0,3
SV021,L,225,2,3,0,1,3
SV021,L,226,3,2,0,1,2
SV021,L,227,2,3,1,1,3
SV021,L,228,2,2,1,0,2
SV021,L,229,3,2,1,0,2
SV021,L,230,3,2,1,1,2
